applicationId,projectId,applicationCategory,organization_name,name,has_github,has_contracts,has_venture_funding,has_revenue,past_grants,past_retrofunding,team_usernames,num_badgeholders
0x32e7213faa7fb7919426ae3e3445d47d252677d00a772641c5e4f1626134dd75,0x5decc7c7bb5ac6448be3408fd18e5c75738725d739711985e2c55026d2fa1391,GOVERNANCE_INFRA_AND_TOOLING,Giveth,DeVouch powered by Giveth,True,True,False,False,58000.0,0.0,"['marcelorefi.eth', 'divine-comedian', 'griff.eth', 'markop', 'mateodaza', 'freshelle', 'givethjake', 'hanners717', 'koday', 'krati', 'geleeroyale', 'whyldwanderer', 'karmaticacid']",2
0x3351f219689dbf84d1eb2ea357e964127af554464f0e9618a07806bf40af5935,0x4201a4ad6468dff549edc3096367ac4beec946b701f94da7abc11182320d15a3,GOVERNANCE_ANALYTICS,GovGraph,GovGraph.fyi,True,False,False,False,0.0,0.0,"['maxsemenchuk', 'krati']",0
0x69b17781325f29bcedf54ed26df4a346171c6edefd111ea071175fb86c619a45,0x7949ba6d89f7352a58920e22fa88f619ed3deb4d2dc1e5d78e0ecec27c226135,GOVERNANCE_LEADERSHIP,GovNERDs,GovNERDs [Season 5],False,False,False,False,40500.0,0.0,"['gonna', 'brichis', 'dmars300']",3
0xd435790e11a5ec7d0f8dcb57dc6870af1ce2636e410983d33310ec657af5485f,0xe201af5c5e4ab6b35a0a7b740d614497736ae5631650c6f7847c113628a0c74e,GOVERNANCE_LEADERSHIP,GovNERDs,GovNERDs [Season 6],False,False,False,False,36000.0,0.0,"['gonna', 'dmars300', 'brichis']",3
0x7cfc058d21a44d62f3fe2d54a6124907e03e9f45b0d2f2a5d2f678909ead6908,0xff70c6ae94fa0b644e08bab08e1f91f3d596ba9b7facbdf3e63fa83668dd000d,GOVERNANCE_LEADERSHIP,Grants Council,Grants Council [Season 5],False,False,False,False,440000.0,0.0,"['gonna', 'bunnic', 'mastermojo', 'katiegarcia', 'moneymandoug', 'v3naru', 'pgov', 'mmurthy', 'jackanorak', 'mattgov.eth', 'opmichael', 'joxes', 'krst']",8
0x297c7878e1911034233762d2fe74d1c9920c45339c5dbc2435bf6485fa4bfb88,0xb1008ff614a6942ab770dbbf4f2978d58bdc51b6b7386223b12fb5bc46b7bb29,GOVERNANCE_LEADERSHIP,Grants Council,Grants Council [Season 6],False,False,False,False,610000.0,0.0,"['gonna', 'kevinknielsen', 'mastermojo', 'sov', 'katiegarcia', 'brichis', 'jrocki', 'moneymandoug', 'takeshi', 'v3naru', 'pgov', 'mmurthy', '0xbroze', 'm4rio', 'jackanorak', 'bunnic', 'mattgov.eth', 'opmichael']",7
0x7cd33b33b9613b99777adca81c61ca0014122882b85c76cb9a97d9ab3452a487,0x941a54c065d6e191d7816a63c83648764e6d219db0a2fe804706576a957fcc4d,GOVERNANCE_INFRA_AND_TOOLING,IDriss,Governance widget for X and Farcaster,True,False,False,False,0.0,0.0,"['chandresh.eth', 'levertz', 'geoist', 'nemmtor', 'just-daniel', 'tommy37']",0
0xe350166cd629459e7dbceada8de9e6f5e579d0b9ee542e8d33d7b726f8aa2a3d,0xe1c04b37660084b206fb3b851acc5f930ce88672787cd869ec84114244bcd33b,GOVERNANCE_LEADERSHIP,InBest,Optimism Governance in Costa Rica,True,False,False,False,2500.0,9937.0,"['inbestprogram', 'criptocosi', 'robertramdev', 'brolag', 'andyguzmaneth', '0xbeja']",0
0x41ffd2b13c3b0b5e0314e55d4c316d014dff5211cf2a2f6d490f4e750fd6560f,0xd77daddc2108d9ea5d87b66d2ec5a8dd6265084b2a3e67ec6b94afe2136ee1c9,GOVERNANCE_INFRA_AND_TOOLING,LXDAO,LXDAO,True,True,False,False,0.0,27826.2,"['marcuszheng', 'rayjun', 'brucexu']",0
0x9c0cd85857925fe425f49f0da31b37b3647bbd51ebe96dc9039e778cea3b8ba9,0x28e4e251a3d4c82029f0510ba3d10bb18eaf60d30fbaaf871bffcc87c23b9ceb,GOVERNANCE_INFRA_AND_TOOLING,Lawyerd,Lawyerd,True,True,True,False,0.0,0.0,['lawyerd'],0
