,project,link,amount,slug,tags,dune_namespace
302,EAS: Supercharged Attestation Explorer,https://app.charmverse.io/op-grants/proposals?id=a02dac5b-677c-4f53-abf5-4e2ebeeecac2,50000.0,ethereum-attestation-service,"Grants Season 4, Cycle 13, Builders Grant",
303,Ethereum Attestation Service,https://vote.optimism.io/retropgf/3/application/0x5eace21ba2231567c07c2c39ad0854c8051e096d18a4bee3e08c833becd2d776,219757.63,ethereum-attestation-service,RetroPGF3,
304,Ethereum Cat Herders,https://vote.optimism.io/retropgf/3/application/0xfcc4798ccc9e2f578ce316278aa40da3fcee3c3f0b92c265062cf31906f2e815,124224.11,ethereum-cat-herders,RetroPGF3,
305,EthereumETL,https://vote.optimism.io/retropgf/3/application/0x5673d6a413d360de74d262487bdb4e70cb357c4d890af9cd62a369b1d858416b,99379.28,ethereum-etl-blockchain-etl,RetroPGF3,
306,EthereumETL,https://app.optimism.io/retropgf-discovery/0x9FD0C742D81B6f08817F3eF11D09Cb4a9f54eE5f,31044.0,ethereum-etl-blockchain-etl,RetroPGF2,
307,Ethereum on ARM,https://vote.optimism.io/retropgf/3/application/0x092a8ce182f9443499d2a36b1b6bbcd5da9340360d82a38c921b6b5c46f1e67f,133449.98,ethereum-on-arm,RetroPGF3,
308,ETHBarcelona,https://vote.optimism.io/retropgf/3/application/0x8edf293b0aea3ba42326168d77b100a6ef4f41bb163e5421094ff67d5f281e68,49689.64,ethereumbarcelona,RetroPGF3,
309,ethOS,https://vote.optimism.io/retropgf/3/application/0x44e382b0845c4bbe3695f5bc8218c1cf75e5c44d1868a08f10571871295ad042,76445.53,ethereumphone,RetroPGF3,
310,The Ethernaut,https://vote.optimism.io/retropgf/3/application/0x1053c5fc1597ff030c267d4667898095ca3a42cc370fe9b8d156880b8a2b455e,99379.28,ethernaut-openzeppelin,RetroPGF3,
311,EthernautDAO,https://vote.optimism.io/retropgf/3/application/0x93d140bdf129de19dce4df8922b9b599aabde4632a89e646a84669b470ee5a8a,99379.28,ethernautdao,RetroPGF3,
312,EthernautDAO,https://gov.optimism.io/t/review-gf-phase-1-proposal-cycle-8-ethernautdao/3800,120000.0,ethernautdao,"Grants Season 2, Cycle 8 (Phase 1)",
313,EthernautDAO,https://app.optimism.io/retropgf-discovery/0x3B3980936707A8299AFb5424Fa807c1CBac37cCb,63438.0,ethernautdao,RetroPGF2,
314,evm-runners,https://app.charmverse.io/op-grants/proposals?id=4f197e3e-8fae-401a-ab04-b54ff70cfed8,25000.0,ethernautdao,"Grants Season 4, Cycle 13, Builders Grant",
315,Ethers,https://app.optimism.io/retropgf-discovery/0x8ba1f109551bD432803012645Ac136ddd64DBA72,209141.0,ethers-io,RetroPGF2,
316,ethers.js,https://vote.optimism.io/retropgf/3/application/0x32ee121e0dbcef2fe2b7a8e668f9a53ddc6d43e16c423fe8b4595b0120ac08d8,298137.85,ethers-io,RetroPGF3,
317,EtherScore,https://vote.optimism.io/retropgf/3/application/0xc676fa16bad73be396f17d6aec821eca5740ccfb9a8547c4cc487dee82e08548,46223.29,etherscore,RetroPGF3,
318,ETHGlobal,https://vote.optimism.io/retropgf/3/application/0x9e6b178f20d63eb3179d3872317848582de1d0e793af5c3cbc6891b0071c4e76,253848.98,ethglobal,RetroPGF3,
319,ETHGlobal,https://app.optimism.io/retropgf-discovery/0xe993486B257Cd1481aef74b3B909A2627Fc8d305,230006.0,ethglobal,RetroPGF2,
320,Sassal.eth,https://vote.optimism.io/retropgf/3/application/0x9e1829323c35d18c3b5366b75922da2d966c39abf4472b29f763cf09e150a09d,76445.53,ethhub-io,RetroPGF3,
321,EthStaker,https://vote.optimism.io/retropgf/3/application/0x29a3d9a092906a2b2cbe6e979b3d56f3a88047a9b2b5647ed8f8d40783cd5edf,81987.91,ethstaker,RetroPGF3,
322,EZKL,https://vote.optimism.io/retropgf/3/application/0x4aacfc3a0bb32ae4204d79ebe4c9935431264016e1f11f7d6c7e5ad5988330bb,49689.64,ezkl-zkonduit,RetroPGF3,
323,FOAM,https://vote.optimism.io/retropgf/3/application/0x90bc7355488e5587a996f673b7fd58197bf51d642db64461a63c9a09656923a8,24844.82,f-o-a-m,RetroPGF3,
324,Fairmint,https://gov.optimism.io/t/ready-fairmint-growth-experiments-cycle-11/5508,250000.0,fairmint,"Grants Season 3, Cycle 11",
325,Greg's Farcaster Projects,https://vote.optimism.io/retropgf/3/application/0x03ace8762fad52f1c0aa3e629bd7eb2a9e8de3ea807ab5878fa7789ceb7028f3,49689.64,farcaster-indexer-gskril,RetroPGF3,
326,vrypan,https://vote.optimism.io/retropgf/3/application/0x4d16611e268b1c19d04bcd5350984ab00502c27e28a4d7d705b2d55bd88c10ce,0.0,farcaster-py-vrypan,RetroPGF3,
327,Fe,https://vote.optimism.io/retropgf/3/application/0x9ed643c855860e3fa9950a598af75c9810a39e2780c4227afe5bc8df865c067d,99379.28,fe-ethereum,RetroPGF3,
328,Filosofía Código,https://app.optimism.io/retropgf-discovery/0xb6F5414bAb8d5ad8F33E37591C02f7284E974FcB,13412.0,filosofiacodigo,RetroPGF2,
329,Randomness Ceremony,https://vote.optimism.io/retropgf/3/application/0xaa3b9caf85727a484ac82d25594adc78d68fef1291de82be680bf00436164741,14820.93,filosofiacodigo,RetroPGF3,
330,Findcaster,https://vote.optimism.io/retropgf/3/application/0x0649c52a10c70c6f044d930c1ad92756f6aed49e68fb136c6168cea78a73d524,4968.96,findcaster-limone-eth,RetroPGF3,
331,Footprint Analytics,https://gov.optimism.io/t/footprint-analytics-optimism-builders-grant-cycle-11/5603,30000.0,footprintanalytics,"Grants Season 3, Cycle 11, Builders Grant",
332,Forta,https://app.optimism.io/retropgf-discovery/0xD5Abb5086E5d18b6BdB8F0943b7786f2a0Af7Df2,10875.0,forta-network,RetroPGF2,
333,Forum,https://vote.optimism.io/retropgf/3/application/0x17b6075cdc32729b7ef683d9cb9160cfc5425c00115af4844eaf310721862e8d,74534.46,forumdaos,RetroPGF3,
334,Foundry,https://app.optimism.io/retropgf-discovery/0x4BAa1fcAe9Ba8F9e1247b5CFD71e2463e85b2284,148673.0,foundry,RetroPGF2,
335,foundry,https://vote.optimism.io/retropgf/3/application/0x86fdabe5c2a67af3c291ce7acb008088e21f99f3f6f1d464b28e9a8c2034455b,198758.57,foundry,RetroPGF3,
336,PatrickAlphaC,https://vote.optimism.io/retropgf/3/application/0xfcd835dcd49c065f771ddd79ee1a37a908645121a0a59c51738507d6c89ae06c,84472.39,foundry-full-course-f23-cyfrin,RetroPGF3,
337,Fractal Visions,https://vote.optimism.io/retropgf/3/application/0xb786a6a7dfc293642c60cb34e00d2f5286aad6bc7e3d9c99f83493b44e7934e9,12422.41,fractal-visions,RetroPGF3,
338,Fractal Visions,https://app.optimism.io/retropgf-discovery/0xC4FC57Dedd2463314A3fD2DBadB86B4404C257e5,7589.0,fractal-visions,RetroPGF2,
339,Frame,https://vote.optimism.io/retropgf/3/application/0xdb768783fabfa13b0755542de7af4cb1d4a0c3e0b52ba68069c5d06b3718b7d5,123541.37,frame-floating,RetroPGF3,
340,Frame,https://app.optimism.io/retropgf-discovery/0x7c929EfA9a8A2A1524BA90aBc2B70801413fFD4c,47826.0,frame-floating,RetroPGF2,
341,Smart Onboarding SDK,https://vote.optimism.io/retropgf/3/application/0x2f2c20e60d1f327d708f2e46799a3582623ab0fac770bc1afb2b5e793f86bf83,22116.86,g7dao,RetroPGF3,
342,GasHawk,https://vote.optimism.io/retropgf/3/application/0x6f6e00c81aeb5d79b12ca07b1e301e64da9d17be6300d9d7f5008ceefdeac7ca,44720.68,gashawk-corpus-io,RetroPGF3,
343,GasHawk,https://app.optimism.io/retropgf-discovery/0xC1FDB60CFB2FbbD6EDc9b445D9B508Da2dBF2c9b,10536.0,gashawk-corpus-io,RetroPGF2,
344,http://gashawk.io/,https://app.charmverse.io/op-grants/page-39236545934980094,40000.0,gashawk-corpus-io,"Grants Season 4, Cycle 14, Builders Grant",
345,Gaslite,https://vote.optimism.io/retropgf/3/application/0xa6d7790f101a9e2efc543a623d1f362f0707f2dc570caa96ac092926fb2bedfb,49689.64,gaslitedrop-poppunkllc,RetroPGF3,
346,Praise,https://vote.optimism.io/retropgf/3/application/0xf73e389c8467cd1dbf9afe32eb596e2b2d176272a3819fccfca22ec4bc978725,59627.57,givepraise,RetroPGF3,
347,Praise,https://app.optimism.io/retropgf-discovery/0xE2d2Ac26Cb9dE9a8BBc6d2698CC40b154fAc920d,9287.0,givepraise,RetroPGF2,
348,Praise: Improving Governance Accessibility through Contribution Based Attestations,https://gov.optimism.io/t/final-improving-governance-accessibility-through-praise-and-contribution-based-attestations/6150,112000.0,givepraise,"Missions Season 4, Cycle 13, Intent 4, Builders Grant",
349,GiveStation,https://app.optimism.io/retropgf-discovery/0x96Cd3AC1e5c2E4FB021B97dA3a6D57e8e665EDc3,1102.0,givestation,RetroPGF2,
350,GiveStation (youbuidl),https://vote.optimism.io/retropgf/3/application/0x4eaad00dad07e150e1570ee2faff68700cc106cf96d470be91eb8ee28bfa7d6c,7453.45,givestation,RetroPGF3,
351,Giveth,https://vote.optimism.io/retropgf/3/application/0x17cfb81d50a65a6ef3e7ecfdf8e4ca428514d77e74ca3c650d4ba9926f9e67ac,149068.93,giveth,RetroPGF3,
352,Giveth,https://gov.optimism.io/t/giveth-growth-experiment/5637,40000.0,giveth,"Grants Season 3, Cycle 11",
353,Giveth,https://app.optimism.io/retropgf-discovery/0xDCfe20E6C1d14c26930a28B1f92fB981CDa26884,129814.0,giveth,RetroPGF2,
354,geth,https://app.optimism.io/retropgf-discovery/0x60AdC0F89a41AF237ce73554EDe170D733ec14E0,230590.0,go-ethereum,RetroPGF2,
355,go-ethereum,https://vote.optimism.io/retropgf/3/application/0x5b5cb12df644ca17fabd91825886b5491d1526befaec2924315b8e5971d26cf8,496896.42,go-ethereum,RetroPGF3,
356,go-ethereum-hdwallet,https://vote.optimism.io/retropgf/3/application/0x4fa4c7e69725d373c6c010ae9a56e26857a72d5797d8575eb4c7210a31bffbea,49689.64,go-ethereum-hdwallet-miguelmota,RetroPGF3,
357,Department of Decentralization,https://vote.optimism.io/retropgf/3/application/0xf780b4a39ea9529b9e7af1638c816801ce89cf06e93dd6d66ea383fb3ed263f0,124224.11,goerli-eth-clients,RetroPGF3,
358,GoPlus Security,https://vote.optimism.io/retropgf/3/application/0x93efc906a84b4367757350dacd0ad700cafc78eb658fcb47d0b4f7e0240d2e9f,37023.75,goplussecurity,RetroPGF3,
359,Gov,https://vote.optimism.io/retropgf/3/application/0x8ea2ef9ab0d04fe8fdb9edd5208abf0504eafb530378f52b6a401f2b26a9e233,18471.13,gov-w3hc,RetroPGF3,
360,Gov,https://app.optimism.io/retropgf-discovery/0xa30189949cD8F662582b10eB6E353374419EDf67,1080.0,gov-w3hc,RetroPGF2,
361,Grappa Finance,https://vote.optimism.io/retropgf/3/application/0x8950355a1dd8ddcbd9acc926563e980bc6df7b41358a6ba6fa58822f235baedb,0.0,grappafinance,RetroPGF3,
362,Grateful,https://vote.optimism.io/retropgf/3/application/0xcbafba4f9d052bf3575a31d0a48c6a194480d1e05f78589fe1a8e71031fb88f8,49689.64,grateful-protocol,RetroPGF3,
363,Grindery Delight,https://app.charmverse.io/op-grants/page-564118893844912,10000.0,grindery-io,"Grants Season 4, Cycle 14, Builders Grant",
364,growthepie,https://vote.optimism.io/retropgf/3/application/0x849e164d1b8cc2b51bd3313d007ac58acb816660492336d2498615551ec75f02,76445.53,growthepie,RetroPGF3,
365,"growthepie OP Stack Metrics, Blockspace & Developer’s Resources",https://app.charmverse.io/op-grants/page-39058541725517215,35000.0,growthepie,"Grants Season 4, Cycle 14, Builders Grant",
366,Guild,https://app.optimism.io/retropgf-discovery/0xab12931a2c0C519a62794C24105E2f66eE35CFE7,51001.0,guild-agora-xyz,RetroPGF2,
367,Let's Get HAI: a multi-collateral fork of RAI ,https://app.charmverse.io/op-grants/page-5989100035328812,100000.0,hai-on-op,"Grants Season 4, Cycle 14, Growth Grant",
368,Hamster,https://app.charmverse.io/op-grants/page-6041417980868986,40000.0,hamster-shared,"Grants Season 4, Cycle 14, Builders Grant",
369,Hardhat,https://vote.optimism.io/retropgf/3/application/0x31588517386990050541aed3f6d4d5a370e30fcd5bf622886c1955ffc9565f52,280249.58,hardhat-nomicfoundation,RetroPGF3,
370,Hardhat Tracer,https://vote.optimism.io/retropgf/3/application/0x91411a9f53cb3d0d36f4dc6394d6d6aea81e12d9ecef2ac2225af3f9fe6d3d07,66145.36,hardhat-tracer-zemse,RetroPGF3,
371,Public HAUS,https://vote.optimism.io/retropgf/3/application/0x1230e13ddd6a768853da352e490b26ce145a23554359c7bb2522c0700ef5381e,49197.71,hausdao,RetroPGF3,
372,Sweetman,https://vote.optimism.io/retropgf/3/application/0xb736895db321cd99558c9b3c039fb03442e2fd2cfa95c95e1dd13a2d611fada7,24844.82,heno-relief-game-sweetmantech,RetroPGF3,
373,Herodotus,https://gov.optimism.io/t/cycle-11-herodotus-storage-proofs/5630,50000.0,herodotusdev,"Grants Season 3, Cycle 11, Builders Grant",
374,hildobby,https://vote.optimism.io/retropgf/3/application/0x5bd75a998f0c4564449fadff6ad602fd73df5d02e836d5d5369f3d6a10e567df,32298.27,hildobby,RetroPGF3,
375,hildobby's Dune dashboards,https://app.optimism.io/retropgf-discovery/0x09a5943a6d10919571eE2C9F63380aEA747ECA97,31171.0,hildobby,RetroPGF2,
376,Hildr: Optimism-java stack,https://app.charmverse.io/op-grants/proposals?id=e5613e76-a26f-41e4-9f0d-4e2dbfccf5b8,25000.0,hildr-optimism-java,"Grants Season 4, Cycle 13, Builders Grant",
377,grapebaba,https://vote.optimism.io/retropgf/3/application/0x34f3abc13da15fc697abc16701dfafb2896c7a063a80959b997c5c3218b24523,62608.95,hildr-optimism-java,RetroPGF3,
378,Hummingbot,https://vote.optimism.io/retropgf/3/application/0x9ff4d4ff2ba7e77917b04ec98c645535a0ff29f0584a67c92201e34757d57b2e,0.0,hummingbot,RetroPGF3,
379,Golden Boys (GOLD),https://vote.optimism.io/retropgf/3/application/0x354f3199bd976ba1839b8d893b7fd0234e2c6f29ccbc38e66fefbadeb060642f,0.0,humpysgold,RetroPGF3,
380,ERC-6551 Tooling,https://vote.optimism.io/retropgf/3/application/0xe32dd99f7bf39e91647601d011d0801f61cc551b89aa37f9b8f387178ce98464,22116.86,hypeshothq,RetroPGF3,
381,Idle x Optimism,https://app.charmverse.io/op-grants/page-5487372006410718,150000.0,idle-finance,"Grants Season 4, Cycle 14, Growth Grant",
382,IDriss,https://vote.optimism.io/retropgf/3/application/0x389052bbf6ba46b28fdb951e573560a21c61490449f4fd17f8399e93e0dec333,49689.64,idriss-crypto,RetroPGF3,
383,Impersonator,https://vote.optimism.io/retropgf/3/application/0x2baa369e4449595c51759fa9a5b71e3e016b108b6baac6a0b815874a898eade5,72511.1,impersonator-eth,RetroPGF3,
384,Index Supply,https://vote.optimism.io/retropgf/3/application/0x91accca44656ae99040e947aa75f50e9f9657bce564fdf1b9f266c32081ecf0b,57143.09,indexsupply,RetroPGF3,
385,Infinity Keys,https://gov.optimism.io/t/infinity-keys-build-grant-cycle-11/5635,25000.0,infinity-keys,"Grants Season 3, Cycle 11, Builders Grant",
386,Infinity Wallet,https://vote.optimism.io/retropgf/3/application/0x6171948a78c9c005648ef034be5ae3b2dec2535cdf437b2cf1f67d66f72e5073,24357.86,infinitywallet,RetroPGF3,
387,Infinity Wallet & Web3 Browser,https://app.optimism.io/retropgf-discovery/0xb7D6937F3aa9E09817C045b7d5b5Fb5064370671,2509.0,infinitywallet,RetroPGF2,
388,Infinity Wallet - Builder Cycle 15,https://app.charmverse.io/op-grants/page-11908812258760593,30000.0,infinitywallet,"Grants Season 4, Cycle 15, Builders Grant",
389,IC3,https://app.optimism.io/retropgf-discovery/0xBF430a49C4d85AeeD3908619D5387A1fbF8E74A9,45349.0,initc3,RetroPGF2,
390,Inverter,https://gov.optimism.io/t/builders-cycle-11-inverter-network-conditional-streaming-protocol-on-optimism/5623,50000.0,inverter-network,"Grants Season 3, Cycle 11, Builders Grant",
391,Inverter Network,https://vote.optimism.io/retropgf/3/application/0xf7a5573c9467232564842bdc02d87c1ccba9c66bca347b9455c89fc9eb97852b,24844.82,inverter-network,RetroPGF3,
392,IPFS,https://vote.optimism.io/retropgf/3/application/0x4ee85a3d39e87cfd1f59d5067668bcacfaf111b74bbd3d1fcbe6da166395f372,225861.29,ipfs,RetroPGF3,
393,Ipsilon,https://vote.optimism.io/retropgf/3/application/0x92a87cf038d881b99443a9157cd5649fe87a9df62511aaf72c5fe659ff8ef02b,99379.28,ipsilon,RetroPGF3,
394,Ipsilon,https://app.optimism.io/retropgf-discovery/0xF96Aa4A25fDe246d9dD498B145F52Fab0eAd29f3,23531.0,ipsilon,RetroPGF2,
395,Clave (formerly Opclave),https://vote.optimism.io/retropgf/3/application/0x0517a9d930d480d5478b6b173e54376cd03ec48d17574baadde2a6322560c7a7,74534.46,itu-blockchain,RetroPGF3,
396,ITU Blockchain,https://app.optimism.io/retropgf-discovery/0xBEC643BD5b7F5e9190617CA4187ef0455950C51C,26447.0,itu-blockchain,RetroPGF2,
397,JEFE TOKEN,https://vote.optimism.io/retropgf/3/application/0xfe2b907f252c0cb610a2625a1da0746862b02b814a0ad1a3296271725a841ec4,12422.41,jefetoken,RetroPGF3,
398,JiffyScan,https://vote.optimism.io/retropgf/3/application/0xfd284c78fd0dfbc9d66a2c7638601860a02990d25de2ff46365ef487c7d138ed,74534.46,jiffy-labs,RetroPGF3,
399,JiffyScan,https://gov.optimism.io/t/jiffyscan-builder-grant-cycle-11/5562,46000.0,jiffy-labs,"Grants Season 3, Cycle 11, Builders Grant",
400,JiffyScan,https://app.optimism.io/retropgf-discovery/0x3b036793Ea6dD8D9b352847f32818FA253eB759d,18995.0,jiffy-labs,RetroPGF2,
401,JobStash,https://vote.optimism.io/retropgf/3/application/0x3dfd6b4332ecaa6f961b5de2fc02b57f521710c79393e352bbe7e6ab8adff4f0,16496.96,jobstash,RetroPGF3,
402,JustCause,https://vote.optimism.io/retropgf/3/application/0x9979098a0bd42d43226f772324d159dc274ab52d4c5ed9399fdfc1b01e6f5448,0.0,justcause-smeee23,RetroPGF3,
403,Kairos Research,https://vote.optimism.io/retropgf/3/application/0xb4e6f65da9c95c3bf4e2113fdb1faf843d024f558734e882fcf4c64c95c043fa,17333.73,kairosresearch,RetroPGF3,
404,Kernel,https://vote.optimism.io/retropgf/3/application/0x1fd47d4e1eb48f9423464b8fe00c9b2c490705e138082ac5c3b8ee7aa2258d3b,99379.28,kernel-community,RetroPGF3,
405,Kernel,https://app.optimism.io/retropgf-discovery/0xC728DEa8B2972E6e07493BE8DC2F0314F7dC3E98,132035.0,kernel-community,RetroPGF2,
406,Keyring,https://vote.optimism.io/retropgf/3/application/0x6b9133680966c6d5b9a0496aa442e063ea73d965024cb2c89685f9f3c79148f0,17715.35,keyring-so,RetroPGF3,
407,Kiwi News,https://vote.optimism.io/retropgf/3/application/0x50565b1e518ab91b14ef50fdab91a63623fb5951e96c18918e36be5aeb6fd297,28318.13,kiwi-news-attestate,RetroPGF3,
408,timdaub’s work as ETH Magician,https://app.optimism.io/retropgf-discovery/0x005241438cAF3eaCb05bB6543151f7AF894C5B58,10073.0,kiwi-news-attestate,RetroPGF2,
409,Kredeum NFTs Factory,https://vote.optimism.io/retropgf/3/application/0x0d6e26e569c5948ab3298986d805965a6f6f8c9f15308600e725ad512c5c1e61,14906.89,kredeum,RetroPGF3,
410,Xofee,https://vote.optimism.io/retropgf/3/application/0x8e27954588424d59759c84a2692f4115e12bb557b584ecea2b8e872aa3cdc133,50076.23,kzg-marble-machine-xofee,RetroPGF3,
411,L2BEAT,https://app.optimism.io/retropgf-discovery/0xa142aB9eab9264807A41F0E5cbDab877D204E233,256294.0,l2beat,RetroPGF2,
412,L2BEAT 💗,https://vote.optimism.io/retropgf/3/application/0xc754e70f8d64d1923e4fb7591e0cad3790d4e164b3b11a8db1c1356714037792,198758.57,l2beat,RetroPGF3,
413,L2 Planet,https://vote.optimism.io/retropgf/3/application/0x61d9a1f264eee03736c42a4e80d7f06d531b3305f53a8d3692ef901e3ec4af6e,0.0,l2planet,RetroPGF3,
414,L2planet,https://app.optimism.io/retropgf-discovery/0xf23F9C10D1559885dABEE67c59c4554E6152697b,6845.0,l2planet,RetroPGF2,
415,Lattice (OPCraft & MUD),https://vote.optimism.io/retropgf/3/application/0xd623d6ed56a0f8bb9d891f8f3c84f7d76b12741c83103715ec061eaa5d80e27e,195280.29,latticexyz,RetroPGF3,
416,OPCraft & MUD (Lattice),https://app.optimism.io/retropgf-discovery/0xD8ce5Ae15E2A9C8528FDce195AD43015782C5079,183348.0,latticexyz,RetroPGF2,
417,Layer2DAO,https://app.optimism.io/retropgf-discovery/0x062a07cBf4848fdA67292A96a5E02C97E402233F,1466.0,layer2dao,RetroPGF2,
418,Layer2dao,https://gov.optimism.io/t/gf-phase-0-proposal-layer2dao/1198/8,300000.0,layer2dao,"Grants Season 1, Cycle 1 (Phase 0), Incentive Program Launched",
419,Layerswap: Onboarding to Optimism from everywhere,https://app.charmverse.io/op-grants/proposals?id=82cbcf7d-397c-472a-b576-f09089311919,145000.0,layerswap,"Grants Season 4, Cycle 13, Growth Grant",
420,LearnWeb3,https://vote.optimism.io/retropgf/3/application/0x013249f25537a8abdd06d367538d0eab0c9e5e8e36dde210abe1e7da8dd89c9e,49689.64,learnweb3dao,RetroPGF3,
421,Lemon Cash Grant Proposal,https://app.charmverse.io/op-grants/page-0751418438700624,80000.0,lemonatio,"Grants Season 4, Cycle 15, Growth Grant",
422,LexDAO,https://vote.optimism.io/retropgf/3/application/0x88403a05838b89463ea5a2a8635d2b4c537fb2f6e7a4b939bebb60adb7dedee0,79503.43,lexdao,RetroPGF3,
423,libp2p,https://vote.optimism.io/retropgf/3/application/0xc6c2fa66bbe46ab4a041463f0414883b2c12bd4399355aa62d48b2e1b2669940,298137.85,libp2p,RetroPGF3,
424,Lighthouse,https://vote.optimism.io/retropgf/3/application/0xd37644d60f063de12786ccd1bb192bdca7ead7aaed1707161943e0ce8bfb72ff,298137.85,lighthouse-sigp,RetroPGF3,
425,Lighthouse,https://app.optimism.io/retropgf-discovery/0x59cc06BF5CF5e07790432599060B7D402F9d2cA8,165460.0,lighthouse-sigp,RetroPGF2,
426,LimeChain: Extend the L1Block contract to store historical block hash da,https://gov.optimism.io/t/final-extend-the-l1block-contract-to-store-historical-block-hash-data/6103,10000.0,limechain,"Missions Season 4, Cycle 13, Ember, Builders Grant",
427,Rollup.codes,https://vote.optimism.io/retropgf/3/application/0x6f845346e36b53a2fadd37486b709d088aa4278cc5b3b0e3e9488b85ff450822,46083.66,limechain,RetroPGF3,
428,Liquid Resilience,https://app.charmverse.io/op-grants/page-32348106058763193,20000.0,liquid-resilience-digoppgroup,"Grants Season 4, Cycle 14, Builders Grant",
429,Liquity Protocol,https://app.charmverse.io/op-grants/page-4220122436183489,150000.0,liquity,"Grants Season 4, Cycle 14, Growth Grant",
430,LlamaFolio,https://vote.optimism.io/retropgf/3/application/0xf42ea318753c3e178b843d0f7718634e910003f14ce2b32c6bee43be9cdc02ee,56038.49,llamafolio,RetroPGF3,
431,LlamaFolio,https://app.optimism.io/retropgf-discovery/0x2cd0ac587Fc0E6FBcF8A47A449971649E7dab835,8246.0,llamafolio,RetroPGF2,
432,LlamaNodes | High-Performant & Cost-Effective RPCs,https://app.charmverse.io/op-grants/page-0012423812683026725,100000.0,llamanodes,"Grants Season 4, Cycle 15, RFG5",
433,Locksmith Wallet & Smart Contracts,https://app.charmverse.io/op-grants/page-8035332025592417,50000.0,locksmithwallet,"Grants Season 4, Cycle 14, Builders Grant",
434,Lodestar,https://vote.optimism.io/retropgf/3/application/0xde75c1d79d53e7864eca485bd594741b745f36cdafdc272cc7809407acb409db,248448.21,lodestar-chainsafe,RetroPGF3,
435,Lodestar,https://app.optimism.io/retropgf-discovery/0x6Fa4C420E9567203Aa65eB38da5DBe361fD61ff2,79663.0,lodestar-chainsafe,RetroPGF2,
436,LXDAO,https://vote.optimism.io/retropgf/3/application/0x79aaf24aab7a9cffbaffd2003b262aa452d31b5a07fb17c54021479284c564be,27826.2,lxdao-official,RetroPGF3,
437,Mechanism Institute,https://vote.optimism.io/retropgf/3/application/0x31e6a151a738d9175f93bd96c5578b71f66475ddbd341b5da69ce5ddb2ad7bfc,27329.3,mechanism-institute,RetroPGF3,
438,EUROe – A MiCA-compliant euro stablecoin,https://app.charmverse.io/op-grants/page-6388174495761412,44500.0,membranefi,"Grants Season 4, Cycle 14, Builders Grant",
439,MerkleTreeJS,https://app.optimism.io/retropgf-discovery/0x358fdcCDE25e0aae7fBA01F088Da89b08aBF61DB,58260.0,merkletreejs,RetroPGF2,
440,MesoReefDAO,https://vote.optimism.io/retropgf/3/application/0xe0bf90167bf2df7b82043f0c0bf564730e5ebd506e2cacf4d44f8c3cd29cdc27,0.0,mesoreefdao,RetroPGF3,
441,Messari Protocol Services,https://app.optimism.io/retropgf-discovery/0x47A6a1B6492B6dF811606B8294A02b4268e86dAD,19086.0,messari,RetroPGF2,
442,Meta Game: Onboard & prepare builders that will help to create new socioeconomic systems. ,https://app.charmverse.io/op-grants/page-27013511701775395,38800.0,metagame-metafam,"Grants Season 4, Cycle 14, Builders Grant",
443,DAOStar: Governance standards for the Optimism ecosystem,https://gov.optimism.io/t/final-daostar-governance-standards-for-the-optimism-ecosystem/6181,67500.0,metagov,"Missions Season 4, Cycle 13, Intent 4, Builders Grant",
444,DAOstar: DAO Onboarding & Attestation List,https://app.charmverse.io/op-grants/proposals?id=fa615667-86b8-4ce1-a406-6ee2ff7c6d10,37500.0,metagov,"Grants Season 4, Cycle 13, Builders Grant",
445,Metagov,https://vote.optimism.io/retropgf/3/application/0xe367584886bdb185038a466f6a8e5a4ad746ffef051507a311cae85ae11c7d5e,99379.28,metagov,RetroPGF3,
446,Metagov,https://app.charmverse.io/op-grants/page-19870254990933112,20000.0,metagov,"Grants Season 4, Cycle 15, RFG6",
447,MetricsDAO,https://vote.optimism.io/retropgf/3/application/0xaf08029a3c0accb045830a66a63d8d500d21c662f5147150bc4e908869b99fbc,26709.18,metricsdao,RetroPGF3,
448,Metronomo,https://gov.optimism.io/t/draft-gf-phase-1-proposal-metronomo/5021,22500.0,metronomo-xyz,"Grants Season 3, Cycle 10, Builders Grant",
449,Moonwell,https://vote.optimism.io/retropgf/3/application/0xeff464a4d1163c24dea3777598667b31c6b68cea03649e0e8dbaa80fad82fc5f,54658.61,moonwell-fi,RetroPGF3,
450,Mosaic,https://vote.optimism.io/retropgf/3/application/0xf40a0097695977f72786fd5ddeabfd3f791cdccf8b5bf045ad295c86007c1345,34782.75,mosaicfun,RetroPGF3,
451,Multicall3,https://app.optimism.io/retropgf-discovery/0x60A5dcB2fC804874883b797f37CbF1b0582ac2dD,18799.0,multicall-mds1,RetroPGF2,
452,MUTUAL Research Library ,https://app.charmverse.io/op-grants/page-41316858303722204,35000.0,mutualsupply,"Grants Season 4, Cycle 14, Growth Grant",
453,Nacion Bankless,https://vote.optimism.io/retropgf/3/application/0xaa798e8755a6003a0f337780d1ad90ba73c94dea219515c588ec10221c4aa61e,4968.96,nacion-bankless,RetroPGF3,
454,Nethermind,https://vote.optimism.io/retropgf/3/application/0x610c90e43f00306d50b676c4b9f3c02612c121ba42137f9eac49dccc8d2d1d07,248448.21,nethermindeth,RetroPGF3,
455,Nethermind,https://app.optimism.io/retropgf-discovery/0xFED0e586cB372Fd0b17ead9F8cb1347BF8a5937f,135624.0,nethermindeth,RetroPGF2,
