date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Total Transferred,forecasted_Gas Fees,forecasted_Retained Daily Active Users,forecasted_DAA/MAA,forecasted_TVL-derive,forecasted_TVL_opchain-derive,forecasted_TVL-derive_v1_protocol,forecasted_TVL_opchain-derive_v1_protocol,forecasted_TVL-derive_v2_protocol,forecasted_TVL_opchain-derive_v2_protocol
2024-10-13 00:00:00,129.19394490099725,83.25347094991537,2.3112401937093963,1160650456.9377367,0.020459831415413018,2.969241861626548,1.517174016734449,14255027.311750894,61120582.14259022,1116457.4521506543,1424006.8524302375,64836934.73152746,60905993.8330244
2024-10-14 00:00:00,171.232538282379,50.751783188045664,2.756988045604783,29087944066.91958,0.06787209354439126,3.3369809546214153,1.2257920379109093,15054893.374165915,58465642.490378216,1082587.1935376702,1313494.0817014407,75523996.99332643,66965803.53378466
2024-10-15 00:00:00,94.61233493014016,78.31825805452398,2.2058027300603227,40252514587.36074,0.04056804786277346,1.6301188661913968,1.523235999632565,12383615.05204606,60737824.470483735,1195640.9591190505,1375858.9297666245,76204796.29136914,58424170.45267176
2024-10-16 00:00:00,98.8081742267601,87.66397001805649,1.4614557371100085,37936781276.27852,0.03288519289340459,2.8355616339375125,1.1382350344401537,12572154.908086604,59426263.99563564,1187519.0763531285,1260812.8383947038,75715506.39835538,56450556.9916065
2024-10-17 00:00:00,105.73447769436854,44.47238011304384,1.723765249399625,315639484.63717264,0.05033372986966281,2.684791588113184,1.4545039028190603,10704879.747734109,60720605.83771029,892976.8809905794,1459334.3161148757,85348705.67455575,60395534.20642239
2024-10-18 00:00:00,42.031169272592486,67.3580937288605,1.21512454936294,31777024339.726986,0.05627411036424737,2.2345053825219807,2.0169549821094095,11060059.06122888,59704794.122167856,1141006.8576963968,1365427.7656221713,78142586.47206482,59323425.45599046
2024-10-19 00:00:00,91.43541833631066,79.96864715710807,2.0460820241855115,43999031622.754,0.035348909468180915,2.6536102567875557,1.7745647207443092,10565509.99592101,60673706.40088737,1164541.8772986121,1298360.3550194178,80235593.35496843,59410109.89860245
2024-10-20 00:00:00,82.08709581140943,87.95546132656978,1.502953232884044,23609681115.491962,0.031523586570676186,2.053368247454037,1.6784686946925418,10064304.426095951,56950212.55618789,1039298.2680962865,1400561.23430591,80106707.88573231,60627661.66929157
2024-10-21 00:00:00,123.95798687799589,78.26003510172764,2.329902577052918,42785007855.22846,0.02083611828323773,3.4270090177707204,2.1188928918056575,9400339.916785236,56212686.957191125,987416.2056955504,1173179.6367350281,81594294.44118915,50474983.70424479
2024-10-22 00:00:00,127.57946391769157,60.02655337184308,1.635707040263696,4001764926.888015,0.055150309525063536,1.8524884343453445,1.3872408948170085,8011584.240774627,58260990.77539682,1110806.0552046192,1306006.9505068846,77912394.94526084,53628861.70447816
2024-10-23 00:00:00,88.38080577479066,64.39199825351196,1.59106577325736,10280579555.610882,0.05418472784487968,2.3686093491897724,1.8807982999349322,9028266.957833853,60418167.096544184,998453.6887486723,1260656.9600871692,78842783.90719432,56170093.64802058
2024-10-24 00:00:00,84.91152792615641,52.198817067221874,1.106764127946869,5174221252.194444,0.051675856835325336,1.7699427619747172,1.779350388865121,7631220.002198477,60227993.85550189,984879.6434345131,1444200.4196459833,71642092.99181542,61966860.78325275
2024-10-25 00:00:00,110.73568334494412,78.29960410459088,1.7698272777216373,9408227898.54806,0.04643452073233032,3.3430888987954823,1.452271916127596,7330807.619302495,65186226.900434144,1080419.4445815873,1468648.7535726333,76129143.38436495,62709178.575310774
2024-10-26 00:00:00,103.826699631453,88.08955936322876,2.0365829533879065,10861728145.389507,0.04262793695647878,2.2020109055380006,0.9124583393550576,6830040.707811637,65888631.2765741,1030578.0615395128,1312317.3891753284,72405545.98678648,66127864.18004038
2024-10-27 00:00:00,95.0564695767015,69.4172986958837,2.577536591018619,12204761741.144056,0.030502292128074582,3.4176147667954644,1.450242105026161,6691118.769632828,65340889.01023962,937888.3012059898,1259066.2481057027,66586692.25235231,59937736.79182822
2024-10-28 00:00:00,153.1269689227845,76.24236090340922,1.2999837234387457,7124462284.003641,0.05861306233023883,2.401109227794768,1.6194390924001578,6519340.251344581,58784273.74137178,1028936.7288400398,1365835.4602811297,69527391.50714272,66957670.00838486
2024-10-29 00:00:00,90.93404973077214,61.54530964555161,1.100370125106758,10168437166.956644,0.042917980857639634,3.131044650340028,1.5153581106269973,6029955.751925246,58666056.83344807,1098490.7535564676,1384462.2008750956,65140086.83976128,60397175.851953514
2024-10-30 00:00:00,67.10843561833782,78.65014068023888,1.7176703774952313,9437698441.88039,0.036578464389658394,1.1705592768153046,1.3419327808967643,5449816.729122701,64145229.80558965,878560.2462559447,1327721.9748237117,67132429.17667732,57884503.68605288
2024-10-31 00:00:00,70.92728221978574,33.49633683433807,3.218858410146686,2316292389.4456315,0.05940491700270546,3.5661735685134266,1.686469509712233,5409567.904180141,61199224.8181915,980149.2562322476,1409581.443266762,64632579.90388766,61397223.18106525
2024-11-01 00:00:00,81.35222594223042,60.30652480081451,2.198526626278073,3944056572.3062773,0.043271108664533785,2.131098192342954,1.5403391995745317,5308020.729361484,63482705.41886285,1085565.4282591338,1321781.9430811603,70409109.65189676,59817294.47821963
2024-11-02 00:00:00,70.86637334001009,72.9787967090407,2.72658688229982,3481735904.7075768,0.07092122622020122,2.205112405693925,1.2327447216077945,4652196.785535243,61963537.25288004,1032486.8993556482,1331638.0276317403,67618132.317218,59007032.44849229
2024-11-03 00:00:00,122.48023345844882,58.824361101980514,2.5332882400387255,3703939162.2343807,0.04007026658814598,3.130289624609111,0.9561262616431259,4347549.162191142,62071834.67890132,888068.5594719766,1452067.7607865664,71726599.35231225,63093234.08181681
2024-11-04 00:00:00,105.22951307608183,62.99483898348604,1.4820296158726194,3308041184.191966,0.04298823149615539,2.15060806450612,1.932054972929001,4227727.794833082,66858499.08456415,1022413.8681963002,1410622.9311037057,66623861.42410396,67588593.81351137
