project_id,project_name,display_name,chain,measurement_period,amount,sample_date
kVeul81pcomlG3BHGnuKWAECfpCk_XLxN_AUgTWbkWo=,sushi,Sushi,BASE,Feb 2025,10083636.153846154,2025-02-01
kVeul81pcomlG3BHGnuKWAECfpCk_XLxN_AUgTWbkWo=,sushi,Sushi,BASE,Jan 2025,12752446.774193548,2025-01-01
kVeul81pcomlG3BHGnuKWAECfpCk_XLxN_AUgTWbkWo=,sushi,Sushi,BASE,Nov 2024,14227311.533333333,2024-11-01
kVeul81pcomlG3BHGnuKWAECfpCk_XLxN_AUgTWbkWo=,sushi,Sushi,OPTIMISM,Dec 2024,382312.2131147541,2024-12-01
kVeul81pcomlG3BHGnuKWAECfpCk_XLxN_AUgTWbkWo=,sushi,Sushi,OPTIMISM,Feb 2025,215344.84615384616,2025-02-01
kVeul81pcomlG3BHGnuKWAECfpCk_XLxN_AUgTWbkWo=,sushi,Sushi,OPTIMISM,Jan 2025,321783.9193548387,2025-01-01
kVeul81pcomlG3BHGnuKWAECfpCk_XLxN_AUgTWbkWo=,sushi,Sushi,OPTIMISM,Nov 2024,432978.85,2024-11-01
xzWBwbu5eZ6QN5D04BxHfZcNq4-9_khDdWiMLYZKhXk=,stargate-finance,Stargate Finance,BASE,Dec 2024,12596193.983870968,2024-12-01
xzWBwbu5eZ6QN5D04BxHfZcNq4-9_khDdWiMLYZKhXk=,stargate-finance,Stargate Finance,BASE,Feb 2025,27548001.975,2025-02-01
xzWBwbu5eZ6QN5D04BxHfZcNq4-9_khDdWiMLYZKhXk=,stargate-finance,Stargate Finance,BASE,Jan 2025,13495768.983870968,2025-01-01
xzWBwbu5eZ6QN5D04BxHfZcNq4-9_khDdWiMLYZKhXk=,stargate-finance,Stargate Finance,BASE,Nov 2024,11275841.316666666,2024-11-01
xzWBwbu5eZ6QN5D04BxHfZcNq4-9_khDdWiMLYZKhXk=,stargate-finance,Stargate Finance,OPTIMISM,Dec 2024,27626360.274193548,2024-12-01
xzWBwbu5eZ6QN5D04BxHfZcNq4-9_khDdWiMLYZKhXk=,stargate-finance,Stargate Finance,OPTIMISM,Feb 2025,27609454.675,2025-02-01
xzWBwbu5eZ6QN5D04BxHfZcNq4-9_khDdWiMLYZKhXk=,stargate-finance,Stargate Finance,OPTIMISM,Jan 2025,24972834.612903226,2025-01-01
xzWBwbu5eZ6QN5D04BxHfZcNq4-9_khDdWiMLYZKhXk=,stargate-finance,Stargate Finance,OPTIMISM,Nov 2024,25930935.366666667,2024-11-01
xzWBwbu5eZ6QN5D04BxHfZcNq4-9_khDdWiMLYZKhXk=,stargate-finance,Stargate Finance,SONEIUM,Feb 2025,10570055.2,2025-02-11
xzWBwbu5eZ6QN5D04BxHfZcNq4-9_khDdWiMLYZKhXk=,stargate-finance,Stargate Finance,UNICHAIN,Feb 2025,4646616.0,2025-02-17
yIdtVpj9_Iq1eXhjegIKN6sPnkzDsozlYtmd9xhYIkM=,balancer,Balancer,BASE,Dec 2024,15319175.451612903,2024-12-01
yIdtVpj9_Iq1eXhjegIKN6sPnkzDsozlYtmd9xhYIkM=,balancer,Balancer,BASE,Feb 2025,15257294.76923077,2025-02-01
yIdtVpj9_Iq1eXhjegIKN6sPnkzDsozlYtmd9xhYIkM=,balancer,Balancer,BASE,Jan 2025,15781708.064516129,2025-01-01
yIdtVpj9_Iq1eXhjegIKN6sPnkzDsozlYtmd9xhYIkM=,balancer,Balancer,BASE,Nov 2024,10687243.033333333,2024-11-01
yIdtVpj9_Iq1eXhjegIKN6sPnkzDsozlYtmd9xhYIkM=,balancer,Balancer,FRAX,Dec 2024,2154445.5483870967,2024-12-01
yIdtVpj9_Iq1eXhjegIKN6sPnkzDsozlYtmd9xhYIkM=,balancer,Balancer,FRAX,Feb 2025,1880214.55,2025-02-01
yIdtVpj9_Iq1eXhjegIKN6sPnkzDsozlYtmd9xhYIkM=,balancer,Balancer,FRAX,Jan 2025,1818863.0322580645,2025-01-01
yIdtVpj9_Iq1eXhjegIKN6sPnkzDsozlYtmd9xhYIkM=,balancer,Balancer,FRAX,Nov 2024,2150103.8333333335,2024-11-01
yIdtVpj9_Iq1eXhjegIKN6sPnkzDsozlYtmd9xhYIkM=,balancer,Balancer,MODE,Dec 2024,30814822.64516129,2024-12-01
yIdtVpj9_Iq1eXhjegIKN6sPnkzDsozlYtmd9xhYIkM=,balancer,Balancer,MODE,Feb 2025,12391101.05,2025-02-01
yIdtVpj9_Iq1eXhjegIKN6sPnkzDsozlYtmd9xhYIkM=,balancer,Balancer,MODE,Jan 2025,32984190.0,2025-01-01
yIdtVpj9_Iq1eXhjegIKN6sPnkzDsozlYtmd9xhYIkM=,balancer,Balancer,MODE,Nov 2024,7436944.8,2024-11-01
