uuid,name,recipient,project_type,category,address,chain,contract_type,transactions_90D,transactions_180D,active_addresses_90D,active_addresses_180D,farcaster_users_90D,farcaster_users_180D,daily_active_addresses_90D,daily_active_addresses_180D,block_explorer
ad7d7772-20a5-4786-b34a-3df2cdbe2ff3,Da Performers,0x99Fc221482ca78664d0288FfC6531cb6dfEB0c5a,App,Gaming,0xafa0c0a5a706538c40031224b89d9a5ac6004c65,Base,dapp_contract,9.0,48.0,6.0,9.0,5.0,6.0,0.0,0.0,https://basescan.org/address/0xafa0c0a5a706538c40031224b89d9a5ac6004c65
d92e0972-0341-4f98-be52-a8735c28b725,Dark Forest Ares ,0xF7aa6f14f78a7Db6Deaa964bCdB20F492A81f9C0,Other Application,Gaming,0x962847b239b1103d4c8b4eb67bc663ac32a6aeb7,Redstone,pending_redstone,182688.0,182688.0,62.0,62.0,2.0,2.0,2.0,1.0,https://explorer.redstone.xyz/address/0x962847b239b1103d4c8b4eb67bc663ac32a6aeb7
78f0eac0-c56e-489c-a4e3-9c700ccf4ce8,datalatte,0x022541dF816F50CfC6ce60c9de80619F44f7CeF1,App,Frames,0x79e2b756f9c4c12bd8f80c0aeeb7b954e52ff23c,Base,dapp_contract,73.0,73.0,4.0,4.0,4.0,4.0,0.0,0.0,https://basescan.org/address/0x79e2b756f9c4c12bd8f80c0aeeb7b954e52ff23c
cc01681b-a6c3-45be-9230-d15eed63406a,Decentragora,0xe2665C6b02ea68e0Cf3eF1a74B88155EF10243a0,Other Application,Other Category,0x9839c0f5715bda074af1c6802cb9d157169c18d5,Optimism,unknown,,,,,,,,,https://optimistic.etherscan.io/address/0x9839c0f5715bda074af1c6802cb9d157169c18d5
6a11ad77-d1d4-47ce-ba2f-d89cf853fd00,Definitive Finance,0x9ff6d5452a0847949683F97E868d706254a05007,App,DEX,0xd056c0eee354b24fe7c5d4ee762c4d7574badac1,Base,trace_contract,84544.0,192280.0,170.0,515.0,1.0,1.0,9.0,14.0,https://basescan.org/address/0xd056c0eee354b24fe7c5d4ee762c4d7574badac1
95769850-e99b-4e7f-9aea-734c28df9401,Degen Deals,0xfBeB914c3C9B7a193C92De130A18716097478332,Other Application,Other Category,0xe31e85cbef95aec9bd7c056ec52da7a437b9d6fa,Optimism,unknown,,,,,,,,,https://optimistic.etherscan.io/address/0xe31e85cbef95aec9bd7c056ec52da7a437b9d6fa
c6bad58d-bae9-443d-baa4-40f2548a7e3c,Degenfans gated frames,0xBc57373c9B99524f6300664e2602A0427A9ec0db,App,Frames,0x66009decff7db78480bec8a87e042a7eb4bfd23b,Base,dapp_contract,23.0,23.0,17.0,17.0,16.0,16.0,0.0,0.0,https://basescan.org/address/0x66009decff7db78480bec8a87e042a7eb4bfd23b
6d5a0660-c0c9-4936-8621-406289645d2b,Degen Name Service,0x2462B983E444B317C999b85CE3BBa79840D36F76,App,Identity,0x465ea4967479a96d4490d575b5a6cc2b4a4bee65,Base,trace_contract,662.0,662.0,21.0,21.0,5.0,5.0,1.0,0.0,https://basescan.org/address/0x465ea4967479a96d4490d575b5a6cc2b4a4bee65
3ef45361-b5be-4fea-9ca7-841ca479a89f,Demo STG Project - Contract - Prelaunch,0x4A29c8fF7D6669618580A68dc691565B07b19e25,App,Real World Assets,0xe3c332a5dce0e1d9bc2cc72a68437790570c28a4,Optimism,token_contract,59.0,361.0,25.0,95.0,3.0,18.0,0.0,1.0,https://optimistic.etherscan.io/address/0xe3c332a5dce0e1d9bc2cc72a68437790570c28a4
a8d87029-6393-4e7b-9b48-1c0e2beb4c06,Derive (formerly Lyra),0x4cEa25e9c999E69F45765539783D149024f99F12,App,DEX,0xeb8d770ec18db98db922e9d83260a585b9f0dead,Optimism,unknown,,,,,,,,,https://optimistic.etherscan.io/address/0xeb8d770ec18db98db922e9d83260a585b9f0dead
e1020776-ad77-4f46-9736-180038ff0896,dHEDGE Base,0x5083602Bc796Ff1435769a4C66AFD482a4e6E08A,App,DEX,0x49afe3abcf66cf09fab86cb1139d8811c8afe56f,Base,trace_contract,13746.0,17213.0,109.0,163.0,3.0,5.0,9.0,7.0,https://basescan.org/address/0x49afe3abcf66cf09fab86cb1139d8811c8afe56f
3df2cd3b-06f9-42d3-8a5f-a8e5b377a127,dHEDGE,0x5083602Bc796Ff1435769a4C66AFD482a4e6E08A,App,DEX,0x5e61a079a178f0e5784107a4963baae0c5a680c6,Optimism,trace_contract,62298.0,76400.0,196.0,369.0,2.0,6.0,22.0,21.0,https://optimistic.etherscan.io/address/0x5e61a079a178f0e5784107a4963baae0c5a680c6
d9a17633-b5fc-47c8-a00f-6a0b89dadd67,doginme memecoin,0x330875BED67074B0c261Ec147Ab535806E21EE2D,Other Application,Meme Community,0x6921b130d297cc43754afba22e5eac0fbf8db75b,Base,token_contract,177363.0,500631.0,10739.0,39519.0,1434.0,5337.0,383.0,690.0,https://basescan.org/address/0x6921b130d297cc43754afba22e5eac0fbf8db75b
