,recipient,name,status,transactions_90D,active_addresses_90D,daily_active_addresses_90D,farcaster_users_90D,transactions_180D,active_addresses_180D,daily_active_addresses_180D,farcaster_users_180D,uuid_list
95,0xDB15fcEa49836C09672DeBf8EF53FFe4400cE377,Ironclad Finance,metrics_available,33317.0,5656.0,104.0,2336.0,274467.0,30615.0,359.0,10935.0,['0faedca5-9e1f-48c5-817e-c21defb36379']
96,0xE4EE538019673501F4B75de5aF5CC073Ec0A1487,0x,metrics_available,1543115.0,154685.0,3984.0,9828.0,2811827.0,361243.0,5434.0,27040.0,['89eb0a1c-36f6-4455-af98-c822064425bb']
97,0xEAF56cF68C38281252E49b460c5a66925991475B,L2Pass,metrics_available,4724.0,3420.0,42.0,206.0,274387.0,105561.0,912.0,2883.0,"['25ed3a90-eaff-43c3-b108-e4203e6b748b', '670de93f-62ec-4b06-b88b-682b641c4e06', '9eabb839-0400-443c-bc8f-9870d8ede259', 'afdbf54a-2292-4771-b8a5-8d6f2df3fe8d', 'ef1a8dd7-8708-4b0d-87a5-2560df048a80', 'f62ec95e-b0ff-4aa6-a255-8b706700dc36']"
98,0xEfCCa47CD11D4b1637e4d52a84Ed5dafFAd38F04,Beefy,metrics_available,352.0,7.0,0.0,0.0,698.0,13.0,0.0,0.0,"['09baa82a-7357-46e3-92f5-e9eee6fcf78f', '51c0df81-19ad-49bb-9a31-22f3b91f8582', '97cabf58-7c53-4a67-b012-c41089efca7d', 'b0d81cb2-db15-44c5-bfd7-15d5051bb1a8', 'f3e64503-ac75-4eb7-8d55-46c0ec60d638']"
99,0xF05b5f04B7a77Ca549C0dE06beaF257f40C66FDB,Daimo,metrics_available,1965.0,2.0,1.0,0.0,4373.0,2.0,1.0,0.0,['dcb7fb46-54dd-4887-954f-53c69f819f8e']
100,0xF63B3cE2D038f11CA4fC5e11265B7b4417a16aDc,Recipes Onchain,metrics_available,19.0,1.0,0.0,0.0,19.0,1.0,0.0,0.0,['c89a18cb-081f-4a9b-b580-e1285163613a']
101,0xF660c9E24A79aE74215A2e2300113CE79094c9C6,Uniswap Position,metrics_available,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,['ac82dcda-5f32-48b2-9117-b2e348ff6c35']
102,0xF7032A9261BbB04b0E7b4d2bb3E8f96aCF825AE4,Idle,metrics_available,87.0,39.0,1.0,4.0,197.0,54.0,1.0,6.0,['320999ba-11c1-420f-bdfa-d86f53e2e0a9']
103,0xF764467b8c6aBb2c2a3B9835547A2468B04dBa9a,Omni X,metrics_available,557.0,395.0,4.0,87.0,41368.0,24199.0,188.0,1009.0,"['34035eff-5a57-4d55-9a4d-a065b399babb', '7f4c65a6-d3c1-4c34-bf64-65db0b60348a', '9867fb53-d3a6-46de-be0e-c4b6b21a0fa0', 'ccbb4b92-d95b-4de5-a252-b52d0a5fa90a']"
104,0xFE35e15bE885750D9b2363cbB6aBDd57AC9C4c40,Dot,metrics_available,17553.0,1503.0,20.0,60.0,18936.0,1511.0,10.0,62.0,['7184f549-29f4-47c2-bdef-d5c6d569f678']
105,0xa6BeE3f99eE2b70672A34A983AF0bBF79C028CD9,Cat Town,metrics_available,140136.0,4480.0,707.0,253.0,155761.0,4654.0,400.0,271.0,"['2501e7cb-57f8-4e70-ac38-bcf8efdeae08', '3838464c-4733-491d-8c02-6c4cad6d53b1']"
106,0xb48E8dA63c2aFc5633702B7acf4BDe830c1dE48b,Basepaint,metrics_available,5574.0,412.0,43.0,142.0,12738.0,661.0,55.0,206.0,['127b9325-9491-42cb-af85-94a69055b52a']
107,0xb854e45662770848f0809Ed0764dc1d226125a26,HAM,metrics_available,9.0,6.0,0.0,3.0,9.0,6.0,0.0,3.0,['56c0530e-aa91-46ae-9cae-66d17ebb639b']
