,name,project_type,category,chain,explorer,contract_type,status,transactions_90D,active_addresses_90D,daily_active_addresses_90D,farcaster_users_90D,transactions_180D,active_addresses_180D,daily_active_addresses_180D,farcaster_users_180D,uuid,recipient,address
100,Nouns Boy,App,Art NFTs,Base,https://basescan.org/address/0xb8a2be3d9baf934d89c81eb63dc9aec0d2110875,trace_contract,metrics_available,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,d4661317-9967-4a9a-bda9-f6a19b2ca498,0xAa66fC4433DFD254F05A720A8c8a2f1F2fbDCB58,0xb8a2be3d9baf934d89c81eb63dc9aec0d2110875
101,nounspace,App,Community & Curation,Base,https://basescan.org/address/0x48c6740bcf807d6c47c864faeea15ed4da3910ab,trace_contract,metrics_available,5.0,3.0,0.0,0.0,5.0,3.0,0.0,0.0,7ec52321-6065-4cbf-b763-dec8b0ad5290,0x06AE622bF2029Db79Bdebd38F723f1f33f95F6C5,0x48c6740bcf807d6c47c864faeea15ed4da3910ab
102,NPC Labs,App,Art NFTs,Base,https://basescan.org/address/0xe3074dac808848cbbf2e221834b0b3fd6a356b36,dapp_contract,metrics_available,102.0,85.0,1.0,6.0,102.0,85.0,0.0,6.0,0c682377-2b21-414c-8ae2-51a2aec4fc10,0x1e23166194aB72B70Faf90aA20Adab36607B4c78,0xe3074dac808848cbbf2e221834b0b3fd6a356b36
103,Omni X,App,Other Media NFTs,Optimism,https://optimistic.etherscan.io/address/0xd12999440402d30f69e282d45081999412013844,dapp_contract,metrics_available,144.0,126.0,1.0,28.0,29172.0,17554.0,140.0,365.0,34035eff-5a57-4d55-9a4d-a065b399babb,0xF764467b8c6aBb2c2a3B9835547A2468B04dBa9a,0xd12999440402d30f69e282d45081999412013844
104,Omni X,App,Other Media NFTs,Base,https://basescan.org/address/0x061a883e8c2feffb4f3ea42046abd4be88e1333f,dapp_contract,metrics_available,400.0,268.0,3.0,53.0,8569.0,5502.0,38.0,391.0,7f4c65a6-d3c1-4c34-bf64-65db0b60348a,0xF764467b8c6aBb2c2a3B9835547A2468B04dBa9a,0x061a883e8c2feffb4f3ea42046abd4be88e1333f
105,Omni X,App,Other Media NFTs,Base,https://basescan.org/address/0x87f7f414e2ff3d8b051cf0fb3ebd3d7811435ebe,dapp_contract,metrics_available,9.0,8.0,0.0,4.0,2547.0,1329.0,8.0,229.0,9867fb53-d3a6-46de-be0e-c4b6b21a0fa0,0xF764467b8c6aBb2c2a3B9835547A2468B04dBa9a,0x87f7f414e2ff3d8b051cf0fb3ebd3d7811435ebe
106,Omni X,App,Other Media NFTs,Zora,https://zora.thesuperscan.io/address/0x87f7f414e2ff3d8b051cf0fb3ebd3d7811435ebe,dapp_contract,metrics_available,4.0,4.0,0.0,2.0,1080.0,605.0,3.0,186.0,ccbb4b92-d95b-4de5-a252-b52d0a5fa90a,0xF764467b8c6aBb2c2a3B9835547A2468B04dBa9a,0x87f7f414e2ff3d8b051cf0fb3ebd3d7811435ebe
107,Onchain Affiliates,App,Frames,Base,https://basescan.org/address/0xceb5f8c24e1ac27d116dc7d6789b20e981a36866,dapp_contract,metrics_available,334.0,329.0,3.0,300.0,334.0,329.0,1.0,300.0,67209e62-be17-43ad-9259-b8cd4a8ae1b2,0x68E08371d1D0311b7c81961c431D71F71a94dd1a,0xceb5f8c24e1ac27d116dc7d6789b20e981a36866
108,Onchain Mecha,App,Other Media NFTs,Base,https://basescan.org/address/0xf9bacd83ee9bbc0819897382c3dac57b270b720c,trace_contract,metrics_available,44.0,2.0,0.0,0.0,44.0,2.0,0.0,0.0,1dd6cb56-dfe3-4082-a6d0-1531d1f902e3,0x5f97Cf9DD2cb7b53C47f6b1c26Ab4Bd143325d45,0xf9bacd83ee9bbc0819897382c3dac57b270b720c
109,Opti.Domains,App,Identity,Optimism,https://optimistic.etherscan.io/address/0xb02edc247246acd78294c62f403b3e64d5917031,dapp_contract,metrics_available,1.0,1.0,0.0,0.0,2078.0,1910.0,10.0,343.0,4d7a1967-86d1-4818-820f-5b2695243cbc,0xf01Dd015Bc442d872275A79b9caE84A6ff9B2A27,0xb02edc247246acd78294c62f403b3e64d5917031
110,Optimism Fractal Respect Game,App,Gaming,Optimism,https://optimistic.etherscan.io/address/0x53c9e3a44b08e7ecf3e8882996a500eb06c0c5cc,dapp_contract,metrics_available,82.0,17.0,0.0,9.0,206.0,31.0,0.0,12.0,17d8f473-a44a-40c9-ad70-41d479db86e3,0xf1B8c360317bf1249F976ab82c78aE50365822ec,0x53c9e3a44b08e7ecf3e8882996a500eb06c0c5cc
111,Overtime Markets,App,Betting & Prediction Markets,Optimism,https://optimistic.etherscan.io/address/0xfb4e4811c7a811e098a556bd79b64c20b479e431,dapp_contract,metrics_available,207521.0,2974.0,130.0,1532.0,207593.0,2975.0,65.0,1532.0,3fe23b54-e0a8-4869-9e59-c2d1ef8fa5c7,0x1e4c7ff127B2321eD05c43AF5E1015dFd8885F30,0xfb4e4811c7a811e098a556bd79b64c20b479e431
112,Payflow,App,Payments,Base,https://basescan.org/address/0x4e1dcf7ad4e460cfd30791ccc4f9c8a4f820ec67,dapp_contract,metrics_available,826.0,131.0,1.0,40.0,1888.0,136.0,1.0,40.0,211197d4-6273-40cd-aae1-3638143438cb,0x5b7a11ba3f66Bd2365B5f489B72DbB46d528Da7a,0x4e1dcf7ad4e460cfd30791ccc4f9c8a4f820ec67
113,Pixotchi,App,Gaming,Base,https://basescan.org/address/0x546d239032b24eceee0cb05c92fc39090846adc7,token_contract,metrics_available,138627.0,10898.0,203.0,1499.0,188240.0,14307.0,156.0,1740.0,55ea809f-3a8b-4ccf-abbf-4e25374dd239,0x44e156CBb4506cee55A96b45D10A77806E012469,0x546d239032b24eceee0cb05c92fc39090846adc7
114,PokPok Protocol,App,Gaming,Base,https://basescan.org/address/0x1c142d5449b581a49616ac879631913b43e579e2,dapp_contract,metrics_available,4512.0,61.0,3.0,17.0,4512.0,61.0,1.0,17.0,5df30ae5-bda9-4799-998f-a82e794396d9,0x6CeBc0bBc501d73Fe71D9fe3063fA22d1B17f3f4,0x1c142d5449b581a49616ac879631913b43e579e2
115,PoolTogether,App,Other Category,Optimism,https://optimistic.etherscan.io/address/0xf35fe10ffd0a9672d0095c435fd8767a7fe29b55,dapp_contract,metrics_available,37.0,7.0,0.0,0.0,52.0,11.0,0.0,0.0,e9aa7925-c471-4c63-961a-c35abfe20159,0x9F36A6bB398118bdCD5B1bC3343D8FEB6d7d02B9,0xf35fe10ffd0a9672d0095c435fd8767a7fe29b55
116,Privy,App,Community & Curation,Base,https://basescan.org/address/0xf2a919977c6de88dd8ed90feaadfcc5d65d66038,trace_contract,metrics_available,59.0,12.0,0.0,0.0,73.0,17.0,0.0,0.0,97a50e6a-18df-4572-bcb5-235b63f7e256,0x89213f11E4A356d450Ab89A876F4c1cb5B8996DA,0xf2a919977c6de88dd8ed90feaadfcc5d65d66038
117,PSILOCYBIN,App,Art NFTs,Zora,https://zora.thesuperscan.io/address/0x763390a0fa5e5090da1c1c5e3640e7f2423d18e7,dapp_contract,metrics_available,305.0,273.0,3.0,115.0,305.0,273.0,1.0,115.0,44cceb66-8501-40b7-b977-b9aecf4d4b3b,0x6A08A2b9C30174506bF4922d0C580995136c762D,0x763390a0fa5e5090da1c1c5e3640e7f2423d18e7
118,Quidli,App,Frames,Base,https://basescan.org/address/0x948092958c66f228e6c7afcc96935661eea4a3c5,dapp_contract,metrics_available,114.0,17.0,0.0,13.0,114.0,17.0,0.0,13.0,be4c1824-c482-4316-b5c6-706e926061da,0x2055149768d71910aA4125CcBb9fDc46EdeB2436,0x948092958c66f228e6c7afcc96935661eea4a3c5
119,Recipes Onchain,App,Community & Curation,Base,https://basescan.org/address/0x2843b40a3ac54044f94480417c2d3698ebc94583,trace_contract,metrics_available,19.0,1.0,0.0,0.0,19.0,1.0,0.0,0.0,c89a18cb-081f-4a9b-b580-e1285163613a,0xF63B3cE2D038f11CA4fC5e11265B7b4417a16aDc,0x2843b40a3ac54044f94480417c2d3698ebc94583
120,RubyScore,App,Identity,Optimism,https://optimistic.etherscan.io/address/0x009dbfee9e155766af434ed1652ca3769b05e76f,dapp_contract,metrics_available,1156.0,1141.0,12.0,481.0,9016.0,8798.0,49.0,2583.0,02439dc9-9d63-4ba9-a0b0-b995251586ed,0xD50A234082C1CEa12A7A9DD6F37a85fcc55ED459,0x009dbfee9e155766af434ed1652ca3769b05e76f
121,RubyScore,App,Other Category,Zora,https://zora.thesuperscan.io/address/0xbdb018e21ad1e5756853fe008793a474d329991b,dapp_contract,metrics_available,3537.0,1533.0,26.0,525.0,10699.0,3774.0,39.0,1168.0,44f074aa-6ccd-4f72-be91-92c406f0bdca,0xD50A234082C1CEa12A7A9DD6F37a85fcc55ED459,0xbdb018e21ad1e5756853fe008793a474d329991b
122,RubyScore,App,Identity,Base,https://basescan.org/address/0xe10add2ad591a7ac3ca46788a06290de017b9fb4,dapp_contract,metrics_available,208580.0,23463.0,842.0,3083.0,399873.0,63043.0,1177.0,5650.0,5f969f7d-8725-48d9-9249-e7655827caba,0xD50A234082C1CEa12A7A9DD6F37a85fcc55ED459,0xe10add2ad591a7ac3ca46788a06290de017b9fb4
123,RubyScore,App,Other Category,Base,https://basescan.org/address/0xbdb018e21ad1e5756853fe008793a474d329991b,dapp_contract,metrics_available,6931.0,2899.0,44.0,880.0,34507.0,11341.0,113.0,2898.0,860b6f97-d7d3-4da6-85f0-3d83d94a8256,0xD50A234082C1CEa12A7A9DD6F37a85fcc55ED459,0xbdb018e21ad1e5756853fe008793a474d329991b
