uuid,charmverseId,agoraProjectRefUID,id,recipient,time,name,status,profile_name,profile_url,metadata_name,metadata_website,project_type,category,address_type,address,chain_id,chain,flag_multiple_projects_same_profile,flag_creator_no_address,flag_app_missing_contract,flag_channel_no_channel,flag_charmverse_in_name,flag_creator_address_conflict,count_flags,has_flag
0ed09fea-d1c6-49d4-970c-ea79c69a3893,0ed09fea-d1c6-49d4-970c-ea79c69a3893,0x5d2a235fde7da2b000bb97fe56d6236452029a4ead56bfdbb823d6e933ea85ee,0xac8a21a227a7b0848c3e1e7562bda48778917261f0070f6113431bc0de7cef90,0xc25514692AfeE5907B0dd47777FfB251b3f0B02c,1725291461,Aze96,pending,azer4,https://warpcast.com/azer4,Aze96,www.youtube.com/AirdropAze913,Creator,Airdrop,mintingWallet,0xec0449e6ac4e0a10686b3620172675a08fa95be1,,All Superchain,False,False,True,False,False,False,1,1
ab2457f0-75a5-475f-9c1a-eac64786d885,ab2457f0-75a5-475f-9c1a-eac64786d885,,0xe23e431a1451e891321a1f365d0c5086906f438c607d7b9450baa7e10eb8b22f,0xd0482C09B1f1dBE2a74E4612234b0fFfE8E7819E,1724769359,BAG Guild,pending,dralkhatib.eth,https://warpcast.com/dralkhatib.eth,BAG Guild,https://www.bagguild.com/,Other Application,Gaming,N/A,,,,False,False,True,False,False,False,1,1
844375e0-772d-4a34-8f12-0fb5355b5ace,844375e0-772d-4a34-8f12-0fb5355b5ace,0xaf27b98bc0250e21b375718b578a33fb56709a7851c0f2e0512caa1207c42c43,0xdfd2eb89dfb80bf37c07558526de230f2e14153ccc073fd4adb1acfb4e334edd,0x3937A5A5f2DC66f726ec9a57b70BC01681203aD7,1724762555,Bangladesh relief 2024,pending,abidur40,https://warpcast.com/abidur40,Bangladesh relief 2024,https://warpcast.com/schmrdty.eth/0x594a6d4d,Other Application,Art NFTs,N/A,,,,False,True,False,False,False,False,1,1
38f08982-48de-4810-b325-31f41a772d4b,38f08982-48de-4810-b325-31f41a772d4b,0xd85a821d42b0c6f5c2df54ba3d1353a6ff50bdedf5b20d59a29491e095b29114,0xd844da6cac8e6a1d905351dc90507566e350be92a3e1bd0e400725709ba82f79,0xb9e52ba42194Cae12F7C5594F3962bED05E58eC4,1725192717,BarKrap,pending,barkrap,https://warpcast.com/barkrap,BarKrap,https://www.youtube.com/@bar_krap,Other Application,Community & Curation,N/A,,,,False,True,False,False,False,False,1,1
348fd25e-4084-4290-802e-a0f5d340aa10,348fd25e-4084-4290-802e-a0f5d340aa10,0xf2999a3e5bb7ac355bfa734b7e8d45b0980106a7b5bf9726a8d8bfb88dd41753,0xee4ce2267df0387a0d274f6936ce37525c571538250bb1971bafea0e17c81a8c,0x0000000000000000000000000000000000000000,1725200299,BASE ARABIC,pending,kawz,https://warpcast.com/kawz,BASE ARABIC,https://warpcast.com/~/channel/base-arabic,Other Application,Community & Curation,N/A,,,,True,True,False,False,False,False,2,1
60716c82-e14c-4bf7-b44e-c92a3cfe06e9,60716c82-e14c-4bf7-b44e-c92a3cfe06e9,0x2585d856b5d57b99f2423c3590733a9ba8db35900d72c6e8522b0fe4c58e70ef,0xc76c41b774ca62eefa1e01f40524bb6aaad714fa18671b0257b51c9b497877a8,0xECAA5f28Aa25cC39A848836B32744673a555b9bA,1725293241,Base Community Meetup Vietnam,pending,harrytrananh,https://warpcast.com/harrytrananh,Base Community Meetup Vietnam,https://warpcast.com/harrytrananh/0x1a88186a,Other Application,Community & Curation,N/A,,,,False,True,False,False,False,False,1,1
abc16c17-0a0c-4b9a-9b13-870fac9db4cd,abc16c17-0a0c-4b9a-9b13-870fac9db4cd,0xad2651f2d815fecbdd8c5e3e0f7c2012499af7beb894fae1f9ff1d5f21c1b1f1,0xc6ac7c5193158b049cfb60bdd7c2b8a0495b690631aba5ddf746dc303548cc06,0x6E23873AB8dD6Fb4823dF8A92D43643Fff537684,1725561237,BasedChad,pending,basedchad69,https://warpcast.com/basedchad69,BasedChad,https://basedchad.tech,Other Application,Meme Community,N/A,,,,False,False,True,False,False,False,1,1
a143ac4a-5ce5-44ff-a658-b7e0a823a9ed,a143ac4a-5ce5-44ff-a658-b7e0a823a9ed,0xc7c2283082e9412f579d0cdf802b8da08336920679be010d0c48ede0f9aed6f0,0x918e9fa34b6c387f357d7014c32b77e03d3de4648bcf37041a35209b08313cd9,0x75C83356987c8d813829D9FBb5DE504b547750A6,1724723587,BASED DAO,approved,goyabean.eth,https://warpcast.com/goyabean.eth,BASED DAO,https://thebasedao.com,Other Application,Community & Curation,N/A,,,,False,True,False,False,False,False,1,1
be1c632c-86bc-4e80-bc20-1fd122371931,be1c632c-86bc-4e80-bc20-1fd122371931,,0x409058867918e218feda8bd9b1509a31946808d36c47ad96676c426255ce1f6c,0xbAba775A0400A5E442335CEaa4820eDb1DeD8f73,1724764431,Based Design Studio,pending,baseddesigner.eth,https://warpcast.com/baseddesigner.eth,Based Design Studio,https://warpcast.com/~/channel/basedstudio,Creator,Other Category,mintingWallet,0xbaba775a0400a5e442335ceaa4820edb1ded8f73,,All Superchain,False,False,True,False,False,False,1,1
d5ff7d06-664b-46a3-bba2-ba4ef769a26a,d5ff7d06-664b-46a3-bba2-ba4ef769a26a,,0x9799003add83352cf3a08d51fb085e7576415dd2fa44b353ebbe75444b19af5f,0x270735e7aFDC9Ef0eE9f3186990fd118e253DcC1,1724764691,Base degen korea,pending,niceonesonny.eth,https://warpcast.com/niceonesonny.eth,Base degen korea,https://far.quest/channel/base-degen-korea,Other Application,Channels,N/A,,,,False,False,False,True,False,False,1,1
