,uuid,recipient,project_type,category,address,chain
57,01da7f9f-44b0-4246-bd33-e39200fa0b7b,0xF830568A3B5f484d6225c3deB7843A71DE4C58fa,Creator,Art NFTs,0x4f0a9445b9b2d5a2c27814cdd92cf6da0e42dff8,Base
58,01da7f9f-44b0-4246-bd33-e39200fa0b7b,0xF830568A3B5f484d6225c3deB7843A71DE4C58fa,Creator,Art NFTs,0x4f0a9445b9b2d5a2c27814cdd92cf6da0e42dff8,Optimism
59,01da7f9f-44b0-4246-bd33-e39200fa0b7b,0xF830568A3B5f484d6225c3deB7843A71DE4C58fa,Creator,Art NFTs,0x4f0a9445b9b2d5a2c27814cdd92cf6da0e42dff8,Zora
60,5e4f9dcf-8863-46dd-8be8-3f367fbb7c5e,0x80897383D295d79079dfeC48F4343F121DCB7C03,Creator,Art NFTs,0x80897383d295d79079dfec48f4343f121dcb7c03,Base
61,5e4f9dcf-8863-46dd-8be8-3f367fbb7c5e,0x80897383D295d79079dfeC48F4343F121DCB7C03,Creator,Art NFTs,0x80897383d295d79079dfec48f4343f121dcb7c03,Optimism
62,5e4f9dcf-8863-46dd-8be8-3f367fbb7c5e,0x80897383D295d79079dfeC48F4343F121DCB7C03,Creator,Art NFTs,0x80897383d295d79079dfec48f4343f121dcb7c03,Zora
63,eefea347-f135-4e2b-9dc7-54956a292ecc,0xAFAca46F253c85D4BA372f82A8A4F4b0dd5D7dfC,Creator,Art NFTs,0x74ae32114e19ab369f0f24cf894ce06546436e23,Base
64,eefea347-f135-4e2b-9dc7-54956a292ecc,0xAFAca46F253c85D4BA372f82A8A4F4b0dd5D7dfC,Creator,Art NFTs,0x74ae32114e19ab369f0f24cf894ce06546436e23,Optimism
65,eefea347-f135-4e2b-9dc7-54956a292ecc,0xAFAca46F253c85D4BA372f82A8A4F4b0dd5D7dfC,Creator,Art NFTs,0x74ae32114e19ab369f0f24cf894ce06546436e23,Zora
66,659495b2-cc57-4943-af0c-f2f6aba19636,0x9f327969A2AEaD18c7D0424c537a05C597080261,Creator,Art NFTs,0x9f327969a2aead18c7d0424c537a05c597080261,Base
67,659495b2-cc57-4943-af0c-f2f6aba19636,0x9f327969A2AEaD18c7D0424c537a05C597080261,Creator,Art NFTs,0x9f327969a2aead18c7d0424c537a05c597080261,Optimism
68,659495b2-cc57-4943-af0c-f2f6aba19636,0x9f327969A2AEaD18c7D0424c537a05C597080261,Creator,Art NFTs,0x9f327969a2aead18c7d0424c537a05c597080261,Zora
69,b72338cc-4692-4eeb-8584-64e6719a1076,0xD41cEF4f79a2cF4b9Ceb670E64029A93a62b8FB6,Creator,Art NFTs,0xd41cef4f79a2cf4b9ceb670e64029a93a62b8fb6,Base
70,b72338cc-4692-4eeb-8584-64e6719a1076,0xD41cEF4f79a2cF4b9Ceb670E64029A93a62b8FB6,Creator,Art NFTs,0xd41cef4f79a2cf4b9ceb670e64029a93a62b8fb6,Optimism
71,b72338cc-4692-4eeb-8584-64e6719a1076,0xD41cEF4f79a2cF4b9Ceb670E64029A93a62b8FB6,Creator,Art NFTs,0xd41cef4f79a2cf4b9ceb670e64029a93a62b8fb6,Zora
72,d1bc8c04-ccc5-41f8-90e3-ef1d0dabce19,0x724e431e104e58B0131AfDb71427cAae533347ef,Creator,Art NFTs,0x32306db25a75744f399512e12b06c80e76847d2e,Base
73,d1bc8c04-ccc5-41f8-90e3-ef1d0dabce19,0x724e431e104e58B0131AfDb71427cAae533347ef,Creator,Art NFTs,0x32306db25a75744f399512e12b06c80e76847d2e,Optimism
74,d1bc8c04-ccc5-41f8-90e3-ef1d0dabce19,0x724e431e104e58B0131AfDb71427cAae533347ef,Creator,Art NFTs,0x32306db25a75744f399512e12b06c80e76847d2e,Zora
75,63c5c248-56df-4c1e-b034-3a83c46c1502,0x109094D990aDbdfC97c5c9Ea5F5bcE54f4EB1BDB,Creator,Art NFTs,0xb8ee69bc61734b2658a79f166302f6271035ad36,Base
76,63c5c248-56df-4c1e-b034-3a83c46c1502,0x109094D990aDbdfC97c5c9Ea5F5bcE54f4EB1BDB,Creator,Art NFTs,0xb8ee69bc61734b2658a79f166302f6271035ad36,Optimism
77,63c5c248-56df-4c1e-b034-3a83c46c1502,0x109094D990aDbdfC97c5c9Ea5F5bcE54f4EB1BDB,Creator,Art NFTs,0xb8ee69bc61734b2658a79f166302f6271035ad36,Zora
78,50ea9d76-9fa9-4e21-b698-32108f4ad411,0x2aEFa2502B1fcB16B8091c31Ce7C70e17f0172Ba,Creator,Art NFTs,0x1cfefd8524ca8b63f2f7a5e90c16055b2e6e3701,Base
79,50ea9d76-9fa9-4e21-b698-32108f4ad411,0x2aEFa2502B1fcB16B8091c31Ce7C70e17f0172Ba,Creator,Art NFTs,0x1cfefd8524ca8b63f2f7a5e90c16055b2e6e3701,Optimism
80,50ea9d76-9fa9-4e21-b698-32108f4ad411,0x2aEFa2502B1fcB16B8091c31Ce7C70e17f0172Ba,Creator,Art NFTs,0x1cfefd8524ca8b63f2f7a5e90c16055b2e6e3701,Zora
81,dbd98c8c-46c7-4708-ac4a-20abd1074334,0xE7578Cc2F047c9574406bB0d260C4A3CF92eB51d,Creator,Art NFTs,0xa8392669232422227d4b29ed224f90fd666953f3,Base
82,dbd98c8c-46c7-4708-ac4a-20abd1074334,0xE7578Cc2F047c9574406bB0d260C4A3CF92eB51d,Creator,Art NFTs,0xa8392669232422227d4b29ed224f90fd666953f3,Optimism
83,dbd98c8c-46c7-4708-ac4a-20abd1074334,0xE7578Cc2F047c9574406bB0d260C4A3CF92eB51d,Creator,Art NFTs,0xa8392669232422227d4b29ed224f90fd666953f3,Zora
84,e30f30c7-195a-45a1-87a4-cc5f50a05775,0x5B759eF9085C80CCa14F6B54eE24373f8C765474,Creator,Other Media NFTs,0xd91c4283ebbc00af162b73418ec4ab0b3c159900,Base
85,e30f30c7-195a-45a1-87a4-cc5f50a05775,0x5B759eF9085C80CCa14F6B54eE24373f8C765474,Creator,Other Media NFTs,0xd91c4283ebbc00af162b73418ec4ab0b3c159900,Optimism
86,e30f30c7-195a-45a1-87a4-cc5f50a05775,0x5B759eF9085C80CCa14F6B54eE24373f8C765474,Creator,Other Media NFTs,0xd91c4283ebbc00af162b73418ec4ab0b3c159900,Zora
87,0e2d9d7a-b8ad-4fed-aaac-16225552ad66,0x8e3a724Ab1c58941aa71Aa47372d91E6eEA4c45f,Creator,Art NFTs,0x8e3a724ab1c58941aa71aa47372d91e6eea4c45f,Base
