uuid,charmverseId,agoraProjectRefUID,id,recipient,time,name,status,profile_name,profile_url,metadata_name,metadata_website,project_type,category,address_type,address,chain_id,chain,flag_multiple_projects_same_profile,flag_creator_no_address,flag_app_missing_contract,flag_channel_no_channel,flag_charmverse_in_name,count_flags,has_flag
6c2180d4-5a2c-452e-8136-3a3474877815,6c2180d4-5a2c-452e-8136-3a3474877815,,0x64641995c0ee76b4fd0b88a0aff299e16d392de80a1c0413a046364c2284ac26,0x0000000000000000000000000000000000000000,1725730713,Owlto Finance,approved,kawz,https://warpcast.com/kawz,Owlto Finance,https://owlto.finance,App,Bridges,contract,0xc626845bf4e6a5802ef774da0b3dfc6707f015f7,255.0,Kroma,True,False,False,False,False,1,1
9f3e6766-c51b-45c6-846c-34dc5857f1da,9f3e6766-c51b-45c6-846c-34dc5857f1da,,0xf6bb2207614e30a2e7d64a29ae4839d48cd2246c5f937084965b87ab598c76aa,0x0000000000000000000000000000000000000000,1725730389,Owlto Finance,approved,kawz,https://warpcast.com/kawz,Owlto Finance,https://owlto.finance,App,Bridges,contract,0xc626845bf4e6a5802ef774da0b3dfc6707f015f7,8453.0,Base,True,False,False,False,False,1,1
9f9e8469-5d39-45a0-976c-f5fcd083e4f2,9f9e8469-5d39-45a0-976c-f5fcd083e4f2,,0x212e47f63626cbf4cb4a8a86f33238c2fbbbaa733063d0a1a6921a83c4bd2dfe,0x0000000000000000000000000000000000000000,1725729927,Owlto Finance,approved,kawz,https://warpcast.com/kawz,Owlto Finance,https://owlto.finance,Other Application,Bridges,contract,0x26637c9fdbd5ecdd76a9e21db7ea533e1b0713b6,8453.0,Base,True,False,False,False,False,1,1
a73e00af-cb02-49dd-a018-44e7993e0cb4,a73e00af-cb02-49dd-a018-44e7993e0cb4,,0x2e41c5666476ff6a215a9f0c1e80f275d8cc6a138e10805bfeffd5973a3f7ff0,0x0000000000000000000000000000000000000000,1725730527,Owlto Finance,approved,kawz,https://warpcast.com/kawz,Owlto Finance,https://owlto.finance,App,Bridges,contract,0xc626845bf4e6a5802ef774da0b3dfc6707f015f7,185.0,Mint,True,False,False,False,False,1,1
b3ef6751-295e-4acf-8d46-c756fd7cd9fc,b3ef6751-295e-4acf-8d46-c756fd7cd9fc,,0xd4e02ab18d73ea3c3def87b73a0eba1697ca64e4828c49b455e09e79a01bfae6,0x0000000000000000000000000000000000000000,1725730449,Owlto Finance,approved,kawz,https://warpcast.com/kawz,Owlto Finance,https://owlto.finance,App,Bridges,contract,0xc626845bf4e6a5802ef774da0b3dfc6707f015f7,34443.0,Mode,True,False,False,False,False,1,1
ea860fc5-1a57-4712-a4ab-7c8d15ccef79,ea860fc5-1a57-4712-a4ab-7c8d15ccef79,,0xc2c667f888c0e5a0b75546e7279afa9f8c1eceac89289ae7b22c771f179c74d3,0x0000000000000000000000000000000000000000,1725730761,Owlto Finance,approved,kawz,https://warpcast.com/kawz,Owlto Finance,https://owlto.finance,App,Bridges,contract,0xc626845bf4e6a5802ef774da0b3dfc6707f015f7,254.0,SwanChain,True,False,False,False,False,1,1
f0a5ff91-b4e9-46a6-807f-d84b3ce7b7b1,f0a5ff91-b4e9-46a6-807f-d84b3ce7b7b1,,0x87e7bbd18762bdd154ece86ca1964d326d530cef6033cf3eb384dbb1fd9d6305,0x0000000000000000000000000000000000000000,1725730177,Owlto Finance,approved,kawz,https://warpcast.com/kawz,Owlto Finance,https://owlto.finance,App,Bridges,contract,0x0e83ded9f80e1c92549615d96842f5cb64a08762,10.0,Optimism,True,False,False,False,False,1,1
450de00a-4aab-43e8-a930-c935cf74c1bb,450de00a-4aab-43e8-a930-c935cf74c1bb,0x2ae31a797836d305c6b17228684af961d935c2b7301c1a463741f2c5e95a268a,0x834dc7552750813ec124fd8f9aa365cd2e52d64d794974bd5f564d18dbedf70a,0x4C4AE926A706349fd16700b4f368a4a0Cd4a67e4,1724725371,Paybot,approved,robrecht,https://warpcast.com/robrecht,Paybot,https://paycaster.co/,Other Application,Payments,N/A,,,,False,False,True,False,False,1,1
6519f6d1-ecda-4645-b241-d8af13ed8dad,6519f6d1-ecda-4645-b241-d8af13ed8dad,0xfb84b4293f45f09d41ee3051895570e09b54e5580713e0d73ead54a548f01571,0x4b64e8cfe450c467a63565d8077b2ff30e0834a033a62e496ec7d9fa92b68d5c,0x286bE4Ec65521463524Aff75788F7D0E3AA42Ad0,1724992357,‘Quote Your Summer Art’ - collective drop by the quote-art channel community.  Concept and organizing: V5MT,approved,v5mt,https://warpcast.com/v5mt,Quote Your Summer Art - collective drop by the quote-art channel community,https://zora.co/collect/base:0x2cfe237a8c0412abb3fd7300e1bcbc7b3bc45608,Creator,Community & Curation,mintingWallet,0x286be4ec65521463524aff75788f7d0e3aa42ad0,,All Superchain,False,False,True,False,False,1,1
27c8dcfb-1db0-4193-96eb-51d07795bae6,27c8dcfb-1db0-4193-96eb-51d07795bae6,0x2e7fad305f0552ad2a85ea373e0a375402726489e5d8858710637540740fe403,0xc27fc70166964115ebaff8c8727e5946a34c395829cd46c481c6c57cf3ddba6a,0x0000000000000000000000000000000000000000,1724761607,Radiant Capital,approved,kawz,https://warpcast.com/kawz,Radiant Capital,https://radiant.capital/,App,Lending,contract,0xad1640540cbf73b458a051edc8768240f0412142,8453.0,Base,True,False,False,False,False,1,1
