slug,month,maus
pendle-finance,2023-11-01 00:00:00.000000 UTC,420
vendorfinance,2023-05-01 00:00:00.000000 UTC,17
symbiosis-finance,2023-06-01 00:00:00.000000 UTC,163
thales,2022-09-01 00:00:00.000000 UTC,34
x-dao,2022-10-01 00:00:00.000000 UTC,16
timeswap-labs,2023-05-01 00:00:00.000000 UTC,466
dolomite-exchange,2023-11-01 00:00:00.000000 UTC,126
beefy-finance,2022-01-01 00:00:00.000000 UTC,87
lifinance,2022-05-01 00:00:00.000000 UTC,105
orange-finance,2023-10-01 00:00:00.000000 UTC,45
kromatika-finance,2022-10-01 00:00:00.000000 UTC,192
beamer-bridge,2023-09-01 00:00:00.000000 UTC,47
sablier,2023-03-01 00:00:00.000000 UTC,276
notional-finance,2023-10-01 00:00:00.000000 UTC,64
dodoex,2023-10-01 00:00:00.000000 UTC,54
olive-finance,2023-08-01 00:00:00.000000 UTC,213
synapse,2021-09-01 00:00:00.000000 UTC,241
olive-finance,2023-09-01 00:00:00.000000 UTC,112
saddle-finance,2023-06-01 00:00:00.000000 UTC,89
solv-finance,2023-10-01 00:00:00.000000 UTC,90
beefy-finance,2022-09-01 00:00:00.000000 UTC,34
rysk-finance,2023-05-01 00:00:00.000000 UTC,18
wido,2023-11-01 00:00:00.000000 UTC,43
hundred-finance,2023-10-01 00:00:00.000000 UTC,5
qidao-mai-finance,2023-02-01 00:00:00.000000 UTC,280
mean-finance,2023-12-01 00:00:00.000000 UTC,267
pwnfinance,2023-12-01 00:00:00.000000 UTC,2
caskprotocol,2023-07-01 00:00:00.000000 UTC,5
bunniapp,2023-09-01 00:00:00.000000 UTC,58
olive-finance,2023-01-01 00:00:00.000000 UTC,61
flux-protocol,2023-05-01 00:00:00.000000 UTC,17
dinngo,2023-08-01 00:00:00.000000 UTC,75
defiedge,2022-11-01 00:00:00.000000 UTC,56
hundred-finance,2022-09-01 00:00:00.000000 UTC,74
voltz-protocol,2023-09-01 00:00:00.000000 UTC,293
symbiosis-finance,2023-04-01 00:00:00.000000 UTC,70
mindgames-io,2023-06-01 00:00:00.000000 UTC,147
xy-finance,2022-12-01 00:00:00.000000 UTC,95
saddle-finance,2023-04-01 00:00:00.000000 UTC,90
vendorfinance,2023-08-01 00:00:00.000000 UTC,9
jojoexchange,2023-11-01 00:00:00.000000 UTC,35
aura,2023-06-01 00:00:00.000000 UTC,141
qidao-mai-finance,2022-06-01 00:00:00.000000 UTC,198
bunniapp,2023-02-01 00:00:00.000000 UTC,3
gammaswap,2023-12-01 00:00:00.000000 UTC,8
x-dao,2023-10-01 00:00:00.000000 UTC,226
0x-splits,2023-08-01 00:00:00.000000 UTC,7
neondapp,2023-05-01 00:00:00.000000 UTC,31
dinngo,2023-11-01 00:00:00.000000 UTC,69
flux-protocol,2023-10-01 00:00:00.000000 UTC,13
router-protocol,2022-05-01 00:00:00.000000 UTC,24
notional-finance,2023-06-01 00:00:00.000000 UTC,8
flux-protocol,2021-10-01 00:00:00.000000 UTC,48
granary,2023-12-01 00:00:00.000000 UTC,112
tornadocash,2021-10-01 00:00:00.000000 UTC,3
flux-protocol,2024-01-01 00:00:00.000000 UTC,10
beefy-finance,2022-02-01 00:00:00.000000 UTC,15
arbirise,2023-08-01 00:00:00.000000 UTC,4
openleveragedev,2023-11-01 00:00:00.000000 UTC,80
safe-global,2022-03-01 00:00:00.000000 UTC,163
vendorfinance,2023-02-01 00:00:00.000000 UTC,34
jojoexchange,2023-06-01 00:00:00.000000 UTC,6
transit-finance,2022-11-01 00:00:00.000000 UTC,43
dinngo,2023-01-01 00:00:00.000000 UTC,37
qidao-mai-finance,2021-12-01 00:00:00.000000 UTC,5
dodoex,2023-09-01 00:00:00.000000 UTC,27
0x-splits,2023-12-01 00:00:00.000000 UTC,2
beethoven-x,2021-08-01 00:00:00.000000 UTC,12
flux-protocol,2022-03-01 00:00:00.000000 UTC,8
gelato,2023-01-01 00:00:00.000000 UTC,5
orange-finance,2023-09-01 00:00:00.000000 UTC,37
axelar,2022-12-01 00:00:00.000000 UTC,19
omni-swap,2022-07-01 00:00:00.000000 UTC,4
flux-protocol,2022-06-01 00:00:00.000000 UTC,7
mindgames-io,2023-11-01 00:00:00.000000 UTC,15
symbiosis-finance,2023-08-01 00:00:00.000000 UTC,19
dinngo,2023-10-01 00:00:00.000000 UTC,57
flux-protocol,2023-11-01 00:00:00.000000 UTC,19
x-dao,2022-09-01 00:00:00.000000 UTC,5
takafuldao,2023-10-01 00:00:00.000000 UTC,22
tracer-protocol,2023-09-01 00:00:00.000000 UTC,8
arbswap-official,2022-08-01 00:00:00.000000 UTC,55
pyth-network,2023-10-01 00:00:00.000000 UTC,6
wido,2024-01-01 00:00:00.000000 UTC,15
rubicon,2023-11-01 00:00:00.000000 UTC,22
