transaction_date,address,cnt,total_transferred,total_transferred_in_tokens,net_transferred,net_transferred_in_tokens
2024-12-05,0xbc404429558292ee2d769e57d57d6e74bbd2792d,2,0.0,0.0,0.0,0.0
2024-12-07,0xbc404429558292ee2d769e57d57d6e74bbd2792d,2,0.0,0.0,0.0,0.0
2024-12-08,0xbc404429558292ee2d769e57d57d6e74bbd2792d,3,0.0,0.0,0.0,0.0
2024-12-09,0xbc404429558292ee2d769e57d57d6e74bbd2792d,2,0.0,0.0,0.0,0.0
2024-12-11,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
2024-12-18,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
2024-12-19,0xbc404429558292ee2d769e57d57d6e74bbd2792d,4,0.0,0.0,0.0,0.0
2024-12-21,0xbc404429558292ee2d769e57d57d6e74bbd2792d,3,0.0,0.0,0.0,0.0
2024-12-22,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
2024-12-22,0xf89e24bad60d78386a5fe6b6c897dd4d88a9ed70,1,0.0,0.0,0.0,0.0
2024-12-23,0xbc404429558292ee2d769e57d57d6e74bbd2792d,3,0.0,0.0,0.0,0.0
2024-12-24,0xbc404429558292ee2d769e57d57d6e74bbd2792d,2,0.0,0.0,0.0,0.0
2024-12-28,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
2024-12-30,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
2025-01-01,0xbc404429558292ee2d769e57d57d6e74bbd2792d,3,0.0,0.0,0.0,0.0
2025-01-02,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
2025-01-03,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
2025-01-04,0xbc404429558292ee2d769e57d57d6e74bbd2792d,7,0.0,0.0,0.0,0.0
2025-01-06,0xbc404429558292ee2d769e57d57d6e74bbd2792d,4,0.0,0.0,0.0,0.0
2025-01-07,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
2025-01-13,0xbc404429558292ee2d769e57d57d6e74bbd2792d,7,0.0,0.0,0.0,0.0
2025-01-15,0xbc404429558292ee2d769e57d57d6e74bbd2792d,1,0.0,0.0,0.0,0.0
