dt,chain,receipt_status,tx_count,l2_fees,l1_fees
2024-08-08,AUTOMATA,1,43404,0.0,
2024-08-08,BASE,0,231976,4.8303491095401219,0.00914034196519098
2024-08-08,BASE,1,3410220,33.868147636503394,0.29517146302930924
2024-08-08,BOB,0,198,0.00041676437458481967,8.9127388363350948e-05
2024-08-08,BOB,1,59111,0.15810178839907946,0.0050138524910164064
2024-08-08,CYBER,0,119,0.00023045631564072705,0.00055163284454473615
2024-08-08,CYBER,1,229093,0.083342514483138758,0.55979796523473091
2024-08-08,FRAX,0,342,0.03145922456528967,0.00077705704817876691
2024-08-08,FRAX,1,51668,0.085696999830719364,0.023632331202478356
2024-08-08,HAM,0,82,3.4174116760600007e-07,4.3170538645876995e-05
2024-08-08,HAM,1,162213,0.00061845308363683382,0.019683057122872806
2024-08-08,KROMA,0,2116,0.0015285039713317237,0.00013887287547099508
2024-08-08,KROMA,1,325592,0.21249657956162049,0.02854097610271461
2024-08-08,LISK,1,43517,0.0004377300819496851,0.000344666807278903
2024-08-08,LYRA,0,5,2.6804698635e-06,1.7500197878283e-05
2024-08-08,LYRA,1,46871,0.0012071053910272121,0.0745891472048023
2024-08-08,METAL,1,43201,3.4279333155516e-05,0.00080406101319340894
2024-08-08,MINT,0,624,0.0011650707990684876,0.0048087077174560284
2024-08-08,MINT,1,99468,0.23910800923105327,0.33742932140235715
2024-08-08,MODE,0,2982,0.044166986406270564,0.0011977271498348986
2024-08-08,MODE,1,173550,0.080055646324231539,0.033540635139964158
2024-08-08,OPTIMISM,0,56732,1.3480071849501956,0.0067817975817676237
2024-08-08,OPTIMISM,1,514192,9.7411537796730023,0.085812435645796423
2024-08-08,ORDERLY,1,56800,0.00034661607367997564,0.030275638801156544
2024-08-08,POLYNOMIAL,1,43641,0.00027688256271417213,0.016976815435254686
2024-08-08,RACE,1,43366,0.0,
2024-08-08,REDSTONE,0,1906,0.000340713367873888,0.00053605854493833942
2024-08-08,REDSTONE,1,54813,0.0046782299075305584,0.0037003698900654912
2024-08-08,SHAPE,1,42986,0.0,
2024-08-08,SWAN,1,17687,0.011868791987780146,0.0083636868168756855
2024-08-08,WORLDCHAIN,0,1,3.756709429317e-06,1.05821996599e-06
2024-08-08,WORLDCHAIN,1,46350,0.00068153722785304249,0.00043024902143735542
2024-08-08,XTERIO,1,43353,0.0,
2024-08-08,ZORA,0,6369,0.013401798729537041,0.00133863742716437
2024-08-08,ZORA,1,162692,0.076745653561706637,0.033774682989467161
2024-08-09,AUTOMATA,1,43572,1.0996768770599997e-07,0.12530307313537314
2024-08-09,BASE,0,190618,2.8177180694717552,0.0045674880807169893
2024-08-09,BASE,1,3510716,20.337995006183831,0.1768327363736257
2024-08-09,BOB,0,187,0.00049403876529584138,6.2476101208463e-05
2024-08-09,BOB,1,58135,0.20259229414562921,0.0028670971136335352
2024-08-09,CYBER,0,107,0.00080500086074539992,0.00021741307359945497
2024-08-09,CYBER,1,231837,0.069568400689391185,0.32151449800669568
2024-08-09,FRAX,0,321,0.0044839924268963811,0.0003268073634319772
2024-08-09,FRAX,1,49969,0.17699329792421631,0.012668547609800244
2024-08-09,HAM,0,62,2.8955298349999995e-08,2.0770135967456003e-05
2024-08-09,HAM,1,155515,2.6797809287017183e-05,0.013150790987476839
2024-08-09,KROMA,0,2060,0.00031439542527169327,7.5055499040499007e-05
2024-08-09,KROMA,1,391872,0.310220045477488,0.017271017368672405
2024-08-09,LISK,0,1,2.72437498e-09,3.555533739e-08
2024-08-09,LISK,1,43483,0.00064489599075015817,6.459469320319302e-05
2024-08-09,LYRA,0,4,1.997727076019e-06,3.970731462918e-06
2024-08-09,LYRA,1,46994,0.0011138220828506625,0.043127579070780825
2024-08-09,METAL,1,43339,6.1958473016079937e-05,0.00047697450661545306
2024-08-09,MINT,0,627,0.00068815246856622589,0.0027633442110014386
2024-08-09,MINT,1,94008,0.19013818526281351,0.20528803693060402
2024-08-09,MODE,0,2322,0.00398975635510617,0.00059356473487245194
2024-08-09,MODE,1,168920,0.036092240181926617,0.032954148290210754
2024-08-09,OPTIMISM,0,44040,0.4956859686943304,0.0030181373107929709
2024-08-09,OPTIMISM,1,499267,5.6763629899756243,0.048353137203413027
2024-08-09,ORDERLY,1,62442,0.00029982513729280878,0.038140667938259341
2024-08-09,POLYNOMIAL,1,43664,0.00037624108039569648,0.014035723023943765
2024-08-09,RACE,1,43114,1.3845620217263998e-05,9.138633151042e-06
