transaction_date,address,transaction_cnt,active_users,total_transferred,unique_users,total_transferred_in_tokens,cum_transferred
2024-09-19,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,572.0,12.0,4.856049131215762e+17,0.0,485.6049131215762,2.098278127660714e+20
2024-09-20,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,567.0,14.0,4.599392468054987e+17,1.0,459.93924680549867,2.1028775201287687e+20
2024-09-21,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,436.0,12.0,3.4293798096031994e+17,0.0,342.9379809603199,2.1063068999383718e+20
2024-09-22,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,435.0,10.0,3.3933641250215443e+17,0.0,339.3364125021544,2.1097002640633935e+20
2024-09-23,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,381.0,12.0,3.001277474508607e+17,0.0,300.1277474508607,2.112701541537902e+20
2024-09-24,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,481.0,13.0,3.630869332707388e+17,1.0,363.0869332707388,2.1163324108706093e+20
2024-09-25,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,483.0,10.0,3.6372290146117306e+17,0.0,363.7229014611731,2.119969639885221e+20
2024-09-26,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,391.0,11.0,3.037625797899836e+17,0.0,303.7625797899836,2.1230072656831208e+20
2024-09-27,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,451.0,11.0,3.4218778576129715e+17,0.0,342.18778576129716,2.1264291435407337e+20
2024-09-28,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,303.0,11.0,2.2411537782710406e+17,0.0,224.11537782710406,2.128670297319005e+20
2024-09-29,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,219.0,11.0,1.6357467954555795e+17,0.0,163.57467954555796,2.1303060441144603e+20
2024-09-30,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,250.0,13.0,1.8786971292251658e+17,1.0,187.86971292251658,2.1321847412436854e+20
2024-10-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,259.0,13.0,1.991245193245456e+17,1.0,199.1245193245456,2.134175986436931e+20
2024-10-02,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,242.0,12.0,1.9796858990096566e+17,0.0,197.96858990096567,2.1361556723359406e+20
2024-10-03,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,349.0,11.0,2.937585144132481e+17,0.0,293.7585144132481,2.139093257480073e+20
2024-10-04,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,294.0,11.0,2.5030560270779594e+17,0.0,250.30560270779594,2.141596313507151e+20
2024-10-05,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,201.0,11.0,1.6640579503114224e+17,0.0,166.40579503114225,2.1432603714574624e+20
2024-10-06,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,268.0,11.0,2.222090991315001e+17,0.0,222.2090991315001,2.1454824624487773e+20
2024-10-07,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,271.0,11.0,2.220901882849475e+17,0.0,222.0901882849475,2.1477033643316268e+20
2024-10-08,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,344.0,12.0,2.8234864984318826e+17,0.0,282.34864984318824,2.1505268508300588e+20
2024-10-09,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,484.0,12.0,3.969855880506376e+17,0.0,396.98558805063755,2.154496706710565e+20
2024-10-10,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,447.0,12.0,3.770772131387549e+17,0.0,377.07721313875487,2.1582674788419525e+20
2024-10-11,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,349.0,13.0,2.923795271776583e+17,0.0,292.3795271776583,2.1611912741137292e+20
2024-10-12,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,229.0,12.0,1.8745194042257862e+17,0.0,187.45194042257862,2.163065793517955e+20
2024-10-13,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,259.0,13.0,2.0878473905469037e+17,2.0,208.78473905469036,2.1651536409085018e+20
2024-10-14,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,264.0,14.0,2.1549404388488042e+17,0.0,215.49404388488043,2.1673085813473506e+20
2024-10-15,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,418.0,13.0,3.1863625227496384e+17,0.0,318.63625227496385,2.1704949438701e+20
2024-10-16,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,341.0,14.0,2.637734994045778e+17,0.0,263.7734994045778,2.173132678864146e+20
2024-10-17,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,350.0,12.0,2.6716708308494874e+17,1.0,267.16708308494873,2.1758043496949953e+20
2024-10-18,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,312.0,12.0,2.3839329364798973e+17,0.0,238.39329364798974,2.1781882826314754e+20
2024-10-19,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,196.0,12.0,1.4879378623117277e+17,0.0,148.79378623117276,2.179676220493787e+20
2024-10-20,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,147.0,11.0,1.1137587908266256e+17,0.0,111.37587908266256,2.1807899792846137e+20
2024-10-21,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,271.0,11.0,1.9844533452120787e+17,0.0,198.44533452120788,2.182774432629826e+20
2024-10-22,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,294.0,12.0,2.219811840568251e+17,0.0,221.9811840568251,2.184994244470394e+20
2024-10-23,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,444.0,12.0,3.3964188290814803e+17,0.0,339.64188290814803,2.1883906632994757e+20
2024-10-24,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,592.0,11.0,4.6264637176365754e+17,0.0,462.64637176365756,2.1930171270171122e+20
2024-10-25,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,412.0,11.0,3.2598797106649786e+17,0.0,325.98797106649783,2.196277006727777e+20
2024-10-26,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,259.0,12.0,2.1171223985499315e+17,1.0,211.71223985499316,2.198394129126327e+20
2024-10-27,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,298.0,10.0,2.4186171271584003e+17,0.0,241.86171271584004,2.2008127462534853e+20
2024-10-28,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,344.0,10.0,2.767527648616612e+17,0.0,276.7527648616612,2.203580273902102e+20
2024-10-29,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,519.0,16.0,3.994469127270508e+17,1.0,399.4469127270508,2.2075747430293727e+20
2024-10-30,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,347.0,11.0,2.634021162085933e+17,0.0,263.4021162085933,2.2102087641914586e+20
2024-10-31,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,338.0,11.0,2.5489144113620816e+17,0.0,254.89144113620816,2.2127576786028206e+20
2024-11-01,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,402.0,12.0,3.2029312349789024e+17,0.0,320.29312349789024,2.2159606098377995e+20
2024-11-02,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,384.0,10.0,3.06572269981062e+17,0.0,306.572269981062,2.2190263325376102e+20
2024-11-03,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,333.0,11.0,2.710322130512373e+17,0.0,271.0322130512373,2.2217366546681227e+20
2024-11-04,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,290.0,13.0,2.348411542933132e+17,0.0,234.84115429331322,2.2240850662110557e+20
2024-11-05,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,221.0,12.0,1.817385500849914e+17,0.0,181.7385500849914,2.2259024517119056e+20
2024-11-06,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,252.0,15.0,1.976563256815965e+17,1.0,197.6563256815965,2.2278790149687217e+20
2024-11-07,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,224.0,12.0,1.5998448664455328e+17,1.0,159.98448664455327,2.2294788598351672e+20
2024-11-08,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,255.0,11.0,1.7582169297993587e+17,0.0,175.82169297993588,2.2312370767649666e+20
2024-11-09,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,381.0,12.0,2.5821839131819648e+17,0.0,258.2183913181965,2.2338192606781486e+20
2024-11-10,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,326.0,10.0,2.0865598575551226e+17,0.0,208.65598575551226,2.2359058205357038e+20
2024-11-11,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,315.0,13.0,1.9873656106583056e+17,0.0,198.73656106583056,2.237893186146362e+20
2024-11-12,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,474.0,12.0,2.8822068366276618e+17,0.0,288.2206836627662,2.2407753929829895e+20
2024-11-13,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,775.0,12.0,4.846941952477611e+17,0.0,484.6941952477611,2.2456223349354673e+20
2024-11-14,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,881.0,14.0,5.5111652979031366e+17,0.0,551.1165297903136,2.2511335002333705e+20
2024-11-15,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,663.0,13.0,4.312872643720734e+17,0.0,431.2872643720734,2.255446372877091e+20
2024-11-16,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,645.0,11.0,4.1559732994934035e+17,0.0,415.59732994934035,2.2596023461765844e+20
2024-11-17,0x00000000fc04c910a0b5fea33b03e0447ad0b0aa,414.0,13.0,2.658327903487601e+17,0.0,265.8327903487601,2.262260674080072e+20
