artifact,star_count,fork_count,fulltime_developer_average_6_months,new_contributor_count_6_months,repo_rank,starred,starred_by_top_devs,forked,forked_by_top_devs,age_of_project_years
radardao-xyz/radar-launch-frontend,0,3,0.0,0.0,4581.0,0.0,0.0,3.0,0.0,1.083333333333485
indexsupply/render,6,0,0.0,0.0,4643.0,8.0,1.0,0.0,0.0,1.083333333333485
playmint/ds,22,9,0.23076923076923078,2.0,4672.0,32.0,0.0,10.0,1.0,1.4166666666667425
crustio/crust,495,38,0.8021978021978022,2.0,4697.0,656.0,1.0,55.0,0.0,4.5
tokenengineeringcommunity/balancerpools_model,54,29,0.0,0.0,4706.0,63.0,2.0,29.0,0.0,3.75
weekinethnews/week-in-ethereum-news-archive,20,0,0.0,0.0,4768.0,26.0,2.0,0.0,0.0,1.5
charmverse/app.charmverse.io,53,17,2.730769230769231,3.0,4803.0,68.0,1.0,22.0,1.0,2.583333333333485
ethzoomer/optimism-prices,10,6,0.0,0.0,4846.0,10.0,0.0,1.0,0.0,1.5
commonsbuild/token-log-hatch-params,9,8,0.0,0.0,4983.0,8.0,0.0,10.0,0.0,3.583333333333485
secureum/race,45,16,0.0,0.0,4986.0,65.0,1.0,23.0,0.0,2.4166666666667425
zenbiteth/zengo,2,2,0.0,0.0,5052.0,4.0,0.0,2.0,0.0,1.083333333333485
grappafinance/cross-margin-engine,6,1,0.0,0.0,5129.0,6.0,1.0,1.0,0.0,1.25
dexkit/open-nft-marketplace,76,29,0.0,0.0,5196.0,85.0,0.0,34.0,1.0,1.9166666666667425
vrypan/fario,28,1,0.0,1.0,5251.0,31.0,1.0,1.0,0.0,0.8333333333334849
lxdao-official/myfirstlayer2-frontend,15,6,0.0,0.0,5294.0,21.0,0.0,12.0,0.0,1.4166666666667425
eoa-blockchain-labs/ethereumonarm,142,35,0.0,4.0,5385.0,172.0,3.0,55.0,1.0,3.583333333333485
curvegrid/hardhat-multibaas-plugin,3,3,0.0,2.0,5486.0,3.0,0.0,4.0,0.0,3.1666666666667425
defientco/crea8ors-subscription-contracts,0,0,0.0,0.0,5604.0,0.0,0.0,0.0,0.0,1.083333333333485
jiffy-labs/jiffy-explorer,17,5,0.0,0.0,5665.0,18.0,0.0,3.0,1.0,1.6666666666667425
ethlimo/documentation,44,5,0.0,2.0,5703.0,47.0,2.0,4.0,0.0,2.0
asharibali/optimism-chatbot-ai,11,2,0.0,0.0,5855.0,14.0,0.0,1.0,0.0,0.8333333333334849
1w3io/ensrecords.1w3.io,1,2,0.0,0.0,5921.0,1.0,0.0,0.0,0.0,0.9166666666667425
galxe/identity-protocol,10,4,0.0,5.0,5942.0,13.0,0.0,5.0,0.0,0.25
vu3th/vue-dapp,193,49,0.21428571428571427,2.0,5981.0,250.0,0.0,61.0,1.0,3.0
limone-eth/findcaster,6,4,0.0,0.0,6139.0,7.0,1.0,4.0,0.0,1.0
unruggable-labs/l2-ens,10,2,0.0,0.0,6250.0,14.0,0.0,1.0,0.0,1.0
w3hc/gov,7,3,0.0,0.0,6488.0,16.0,0.0,4.0,1.0,1.833333333333485
dspytdao/dspytai,9,3,0.0,0.0,6561.0,10.0,1.0,3.0,1.0,2.5
defilab-xyz/uniswap-v3-backtest,54,20,0.0,0.0,6723.0,66.0,1.0,24.0,0.0,2.25
turupawn/randomnessceremony,0,1,0.0,0.0,6786.0,0.0,0.0,1.0,0.0,1.25
g7dao/contracts,1,0,0.0,1.0,6973.0,1.0,0.0,0.0,0.0,0.16666666666674246
validatoxyz/op-node-testnet,2,1,0.0,0.0,7034.0,2.0,0.0,1.0,0.0,0.8333333333334849
zeroknowledgefm/starks,11,6,0.0,0.0,7207.0,10.0,0.0,6.0,1.0,5.75
goplussecurity/goplus-sdk-go,21,7,0.0,1.0,7261.0,24.0,0.0,13.0,0.0,1.583333333333485
kredeum/flashsuite,14,10,0.0,1.0,7461.0,16.0,0.0,12.0,0.0,3.583333333333485
planckerlabs/csbs,9,6,0.0,0.0,7465.0,12.0,0.0,11.0,0.0,2.083333333333485
dforce-network/dtoken,30,10,0.0,0.0,7699.0,35.0,0.0,15.0,0.0,4.333333333333485
filosofiacodigo/projectideas,0,0,0.0,0.0,7946.0,0.0,0.0,0.0,0.0,0.9166666666667425
justindomingue/bunnyai,2,1,0.0,0.0,7960.0,1.0,0.0,1.0,0.0,0.9166666666667425
qd-qd/wallet-abstraction,16,3,0.0,0.0,8216.0,19.0,0.0,3.0,0.0,0.9166666666667425
vmex-finance/vmex,3,0,0.0,0.0,9091.0,9.0,0.0,12.0,1.0,1.1666666666667425
trusted-seed/membership-contracts,0,1,0.0,0.0,9274.0,0.0,0.0,1.0,0.0,1.9166666666667425
seedlefinance/uniswap-v3-pools,44,17,0.0,1.0,9286.0,51.0,0.0,20.0,0.0,3.25
yokifinance/yoki-contracts,0,0,0.0,0.0,10181.0,0.0,0.0,0.0,0.0,1.0
keyring-so/keyring-desktop,5,3,0.0,0.0,10275.0,2.0,0.0,1.0,0.0,0.8333333333334849
idriss-crypto/browser-extensions,110,11,0.0,3.0,11092.0,160.0,0.0,12.0,0.0,2.75
pinsavedao/pinsave,17,14,0.0,0.0,11175.0,24.0,0.0,16.0,0.0,2.4166666666667425
bankless-card/bcard-website,1,3,0.0,1.0,12003.0,2.0,0.0,2.0,0.0,1.4166666666667425
0xs34n/coin-cli,187,37,0.0,0.0,12575.0,213.0,0.0,52.0,0.0,6.5
wakeuplabs/rfg1-optimism,2,0,0.0,0.0,12694.0,2.0,0.0,0.0,0.0,0.6666666666667425
ethglobal/nfthack-support,5,2,0.0,0.0,12801.0,6.0,0.0,0.0,0.0,3.4166666666667425
infinitywallet/crypto-assets,31,31,0.0,0.0,13020.0,47.0,0.0,21.0,0.0,3.0
alphadayhq/home,2,0,0.0,0.0,13147.0,2.0,0.0,1.0,0.0,1.583333333333485
bwarelabs/blast-sdk-js,3,4,0.0,0.0,13272.0,2.0,0.0,4.0,0.0,1.75
jobstash/middleware,0,0,1.0879120879120878,0.0,13804.0,0.0,0.0,0.0,0.0,0.75
sweetmantech/heno._custom_website,1,0,0.0,1.0,14005.0,1.0,0.0,4.0,0.0,0.75
anotherblock/contracts-v2,0,0,0.0,1.0,14199.0,0.0,0.0,0.0,0.0,1.1666666666667425
stevegachau/optimismresolver,27,7,0.0,0.0,14808.0,30.0,0.0,7.0,0.0,1.6666666666667425
spaghetteth/map-website-2022,5,7,0.0,0.0,15621.0,5.0,0.0,5.0,0.0,1.9166666666667425
chainpatrol/docs,2,1,0.0,1.0,15719.0,3.0,0.0,1.0,0.0,1.6666666666667425
grateful-protocol/grateful-contracts,2,0,0.0,0.0,16580.0,2.0,0.0,0.0,0.0,0.8333333333334849
givestation/adminyou,1,0,0.0,0.0,16818.0,1.0,0.0,0.0,0.0,1.0
acryptos/acryptos-assets,3,3,0.0,0.0,17766.0,3.0,0.0,6.0,0.0,3.583333333333485
useweb3/awesome-web3,4,1,1.0,0.0,18327.0,7.0,0.0,0.0,0.0,1.0
travenesia/travenesia,1,0,0.0,0.0,18528.0,1.0,0.0,0.0,0.0,0.75
humpysgold/goldenboys-voting-shares,1,0,0.0,1.0,18606.0,0.0,0.0,0.0,0.0,0.5
bonding-curves/conding,12,0,0.0,2.0,18731.0,18.0,0.0,0.0,0.0,1.333333333333485
etherplay/conquest-eth,7,2,0.0,0.0,19264.0,11.0,0.0,2.0,0.0,0.8333333333334849
coinpassport/coinpassport,2,1,0.0,0.0,19381.0,2.0,0.0,1.0,0.0,2.25
aestus-relay/kubernetes-config,2,0,0.0,0.0,19933.0,0.0,0.0,1.0,0.0,1.6666666666667425
wildcards-protocol/frontend,0,0,0.0,0.0,20203.0,0.0,0.0,0.0,0.0,0.9166666666667425
refractor-labs/project-squallet,2,0,0.0,0.0,20253.0,3.0,0.0,0.0,0.0,0.75
matallo/onchain-reads,4,0,0.0,0.0,20313.0,4.0,0.0,0.0,0.0,1.0
beaconchain/eth2-beaconchain-explorer,0,0,0.0,0.0,20485.0,1.0,0.0,0.0,0.0,2.1666666666667425
mosaicfun/fardrops,1,1,0.0,2.0,22935.0,1.0,0.0,2.0,0.0,0.41666666666674246
uniwhales/component-library,0,0,0.0,0.0,24217.0,0.0,0.0,0.0,0.0,2.25
decentragora/dagora-contracts,4,0,0.0,0.0,27008.0,2.0,0.0,0.0,0.0,0.6666666666667425
mechanism-institute/slashing-engine,1,0,0.0,0.0,30466.0,6.0,0.0,0.0,0.0,1.083333333333485
anotherworlddao/game-contracts,0,0,0.0,0.0,30671.0,0.0,0.0,0.0,0.0,1.25
hildobby/fire-suppression-abm,9,0,0.0,1.0,31007.0,8.0,0.0,0.0,0.0,4.5
