project_name,Median,Median (exclude 0s),Mean,Quadratic,variance,category
Rollup,15,14,58,37,0.6740829255336549,Mean
Rollupcodes,46,44,44,73,0.27435757593490584,Quadratic
Ronan Sandford,99,95,116,118,0.10925656022897309,No difference
SEED Latam,20,19,39,49,0.4638768842018976,Quadratic
Sassaleth,76,73,93,110,0.19440344576297486,Quadratic
Seamless Protocol,59,57,26,31,0.3970667731525321,Median
Secureum,99,95,64,54,0.2868664349886908,Median
ShapeShift DAO,59,57,48,49,0.10441832436690002,No difference
Slither,124,119,83,124,0.17606583130957723,Median
Slugs,20,19,12,19,0.2112483144077984,Median
Small Brain Games,119,114,175,123,0.21398326665675146,Mean
Smart Onboarding SDK,22,21,18,15,0.16643566632465157,Median
Snapshot,198,191,141,175,0.14408629516032695,Median
Socket,76,73,58,65,0.11947115300935236,Median
Solidity,425,444,411,413,0.03579919094567263,No difference
Solow ,13,13,21,34,0.4894871012740496,Quadratic
Sonne Finance,82,88,65,54,0.2157201954464782,Median (exclude 0s)
Soul Wallet,99,95,58,56,0.30085801478604424,Median
Sourcify,198,191,192,188,0.021811435848130254,No difference
SpaghettETH,20,21,32,33,0.26234784420898377,Quadratic
Spearbit,49,48,62,44,0.15379138882059895,Mean
Sphinx,49,48,36,46,0.13330003849663524,Median
Splits,92,89,97,104,0.0686642777413822,No difference
State Channels,62,60,44,38,0.23200312874900456,Median
StreamETH,99,95,91,69,0.15145739557727383,Median
Subli,25,24,20,25,0.10129685714245178,No difference
Summer of Protocols,27,26,76,72,0.5467810324569456,Mean
Superchain Eco,30,29,17,29,0.23560603574958058,Median
Superscan,64,62,37,54,0.22644819307367597,Median
Support NERDs,99,95,64,63,0.24192326202912134,Median
Surreal,39,37,16,23,0.38562709262753825,Median
Sushi,99,95,64,56,0.27607381229363426,Median
Sweetman,25,24,22,22,0.06451612903225806,No difference
Synapse DAO,49,72,24,30,0.4946076573344549,Median (exclude 0s)
Synapse Labs,25,72,39,30,0.5094548075148427,Median (exclude 0s)
Synpress,99,95,86,99,0.06470210785487958,No difference
Synthetix,99,143,167,115,0.22985424510200944,Mean
Synthetix IPFS Node,40,38,52,38,0.16030960219622345,Mean
T2LATAM,10,10,12,23,0.45369617629607034,Quadratic (longtail)
Tally,99,110,97,123,0.11146644189855041,No difference
Taxman The,22,21,20,15,0.15944237697587718,Median
Taz,10,10,59,21,0.9300896014184152,Mean
TechNERD Program,50,49,34,42,0.16938464057459587,Median
Tenderly,76,95,96,128,0.21834862097084487,Quadratic
Test in Prod,272,262,249,193,0.14458948242159994,Median
The Ethernaut,99,95,76,95,0.1133156337479167,No difference
The Noun,49,48,42,37,0.127218603210202,Median
The Opimist,39,37,19,33,0.2818281095514309,Median
The Red Guild,74,72,51,55,0.1855627292777797,Median
The Rollup,5,5,19,14,0.6461601855558048,Mean
Thesleepereth,10,10,15,28,0.5396825396825397,Quadratic
Titanoboa,20,19,18,19,0.042973504259354,No difference
Token,49,48,123,66,0.49388653379047764,Mean
Token,59,67,113,92,0.2970573668466914,Mean
Token Terminal,43,48,54,54,0.10683563630889095,No difference
Tokepad,28,33,14,21,0.3452723026293348,Median (exclude 0s)
TrueBlocks,138,143,109,142,0.1213922911109006,Median (exclude 0s)
TypeChain DethCode,129,124,97,104,0.13582767788366729,Median
Ultra Sound Money,54,53,72,79,0.20194753160289325,Quadratic
Ultra Sound Relay,99,95,103,77,0.12272309788277008,Mean
Umbra,74,72,79,76,0.03968211044777169,No difference
Unitap,29,28,40,25,0.21499798440334428,Mean
Upnode Deploy,62,62,30,36,0.35623972341044363,Median
UseDApp,99,95,59,62,0.2688497188538429,Median
Vaultsfyi,34,33,32,20,0.22020441464463356,Median
Vectorized,99,95,96,129,0.15518633133182683,Quadratic
Velocimeter,63,61,26,29,0.44632174981270784,Median
Velodrome,99,95,326,118,0.6987619498534057,Mean
Venom Fang,40,38,75,28,0.4533978722454019,Mean
VitaDAO,22,24,26,33,0.1823670681440644,Quadratic
Vyper,247,248,227,284,0.09434441763582245,No difference
WASD,74,73,100,57,0.2341464528954235,Mean
WOOFi,39,37,15,22,0.41217789910816677,Median
WTF Academy,49,48,42,54,0.10206070260928606,No difference
Waffle,99,95,68,90,0.15718556000944262,Median
Wagmi Viem,198,191,245,246,0.1344819670031481,Quadratic
WakeUp Labs,20,19,26,25,0.15608375930152205,Mean
Wallet Abstraction,99,95,54,46,0.3725175699688817,Median
Wallet Guard,49,48,48,32,0.18486465072403807,Median
Web3ForGood,20,19,15,23,0.17163833421297844,Quadratic (longtail)
Web3bridge,29,48,138,56,0.7111854110168446,Mean
Web3js,247,238,175,234,0.14669884841838926,Median
Web3xplorer,15,14,28,21,0.3310242176245655,Mean
Week in,59,72,97,126,0.3339870381521309,Quadratic
WhatsABI,94,91,66,67,0.18951596444426871,Median
Wildcards Protocol,40,38,25,24,0.2652347526857697,Median
Wonderland,57,55,53,55,0.02969078476100822,No difference
Xanny,5,5,7,14,0.551226048085002,Quadratic (longtail)
Xofee,50,57,24,31,0.38384275938637097,Median (exclude 0s)
XomNFT,5,5,10,15,0.5471012044321932,Quadratic (longtail)
Yearn,99,95,95,83,0.07449680892769364,No difference
Yoki Finance,20,19,18,21,0.06620484352491311,No difference
ZEFIRIUM,5,5,7,10,0.35006041675945243,Quadratic (longtail)
ZORA,99,143,98,100,0.2001376936479802,Median (exclude 0s)
ZachXBT,153,148,160,131,0.08348537384166954,No difference
Zengo,25,24,27,25,0.049833890661853134,No difference
Zero Knowledge,89,86,90,79,0.05775063730911372,No difference
Zuzalu,99,95,143,93,0.22137450230823605,Mean
abitosol,58,56,79,53,0.19262174139747273,Mean
anotherblock,49,48,25,34,0.296816330840775,Median
beaconchain,223,238,185,246,0.12138034111008544,Quadratic
bh2smith,10,10,10,10,0.0,No difference
blst,64,62,82,74,0.13179536515145487,Mean
crate crypto,49,48,47,22,0.3138702599611232,Median
criptomommy,17,18,21,19,0.09108400680852977,No difference
cryo,49,48,69,60,0.17610397116931326,Mean
cryptolawyer,5,5,5,8,0.2608695652173913,Quadratic (longtail)
daboyshine,6,7,5,13,0.46373889576016825,Quadratic (longtail)
