slug,# GitHub Repos,Date First Commit,Total Stars,Total Forks,Total Contributors,Contributors Last 6 Months,Avg Monthly Active Devs Last 6 Months,# OP Contracts,Date First Txn,Total Onchain Users,Onchain Users Last 6 Months,Total Txns,Total Txn Fees (ETH),Txn Fees Last 6 Months (ETH),# NPM Packages,Date First Download,Total Downloads,Downloads Last 6 Months
metagov,33,2019-12-15,70.0,18.0,69,18,1.8333333333333333,1,2023-09-04,2,2,2.0,2.230734003e-09,2.230734003e-09,0,,,
metricsdao,9,2021-11-03,12.0,8.0,79,19,1.0,0,,0,0,,,,0,,,
mirror,4,2020-10-28,457.0,52.0,19,5,0.16666666666666666,22,2022-01-19,46699,33540,103260.0,0.2464487556284492,0.22236641721962216,0,,,
moonwell-fi,9,2022-02-26,6.0,6.0,22,13,1.8333333333333333,0,,0,0,,,,0,,,
mosaicfun,2,2023-06-22,,1.0,3,3,0.5,1,2023-08-22,997,997,1225.0,0.00353848004725875,0.00353848004725875,0,,,
nacion-bankless,1,2023-08-14,1.0,,1,1,0.0,0,,0,0,,,,0,,,
nethermindeth,114,2017-01-04,1009.0,330.0,1023,238,19.666666666666668,0,,0,0,,,,0,,,
nftearth,53,2023-01-09,11.0,9.0,8,8,2.5,14,2023-01-27,5807,38,15897.0,0.002738643972844523,0.0004584193602682139,0,,,
nicenode,7,2022-03-24,142.0,20.0,24,11,1.8333333333333333,0,,0,0,,,,0,,,
nimbus-status-im,1,2018-07-20,463.0,211.0,224,44,3.3333333333333335,0,,0,0,,,,0,,,
nodeguardians,6,2022-06-30,45.0,35.0,25,12,0.8333333333333334,0,,0,0,,,,0,,,
nouns-ourzora,3,2022-06-08,98.0,31.0,27,10,2.0,0,,0,0,,,,0,,,
onchain-reads-matallo,1,2023-08-26,3.0,,2,2,0.0,0,,0,0,,,,0,,,
op-ai-web-asharibali,2,2023-10-12,9.0,2.0,1,1,0.3333333333333333,0,,0,0,,,,0,,,
opdelegate-michael-vander-meiden,1,2023-08-25,,,2,2,0.0,0,,0,0,,,,0,,,
openocean-finance,16,2020-09-03,24.0,18.0,12,1,0.3333333333333333,1,2022-01-20,23423,13044,47952.0,0.4066898228478161,0.3541157998203347,0,,,
opensource-observer,4,2023-07-28,19.0,10.0,18,18,1.8333333333333333,0,,0,0,,,,1,2023-08-08,14169.0,14169.0
openzeppelin,93,2015-07-10,23295.0,11724.0,2298,224,8.5,0,,0,0,,,,10,2019-07-26,48766066.0,18363058.0
opti-domains,8,2021-04-19,1.0,,28,2,0.5,0,,0,0,,,,0,,,
optimism-box-truffle,1,2021-03-11,24.0,14.0,9,0,,0,,0,0,,,,0,,,
optimism-gas-tracker-buildooor,1,2023-08-28,1.0,,1,1,0.16666666666666666,0,,0,0,,,,0,,,
optimism-prices,1,2023-01-29,10.0,3.0,2,2,0.0,0,,0,0,,,,0,,,
optimism-resource-center-govguide,1,2023-09-23,,,1,1,0.5,0,,0,0,,,,0,,,
optinames-optimismresolver,3,2022-06-30,25.0,4.0,1,0,0.0,1,2022-08-10,7705,3931,26350.0,0.9871748078004257,0.985072614597662,0,,,
otterscan,6,2021-07-01,1077.0,152.0,42,14,2.5,0,,0,0,,,,0,,,
pairwise-general-magic,4,2022-11-21,6.0,,13,11,2.1666666666666665,0,,0,0,,,,0,,,
pheasant-network,2,2022-12-22,114.0,7.0,2,2,0.0,1,2023-09-14,695,695,1508.0,0.013029148831047138,0.013029148831047138,0,,,
pin-save-dpytdao,2,2021-11-05,15.0,12.0,7,4,1.0,1,2023-10-23,1,1,1.0,8.8979581397538e-05,8.8979581397538e-05,0,,,
plancker-labs,18,2021-06-21,9.0,6.0,21,4,0.5,0,,0,0,,,,0,,,
playmint,3,2022-08-18,15.0,2.0,16,15,6.5,0,,0,0,,,,0,,,
pokt-foundation,63,2017-05-01,14.0,56.0,136,44,6.0,0,,0,0,,,,0,,,
polynomial-protocol,6,2021-07-09,18.0,1.0,10,4,0.0,77,2022-03-30,80945,14646,390482.0,0.6009482601717697,0.5203671761655054,0,,,
ponder-surveys,1,2023-03-13,7.0,,1,1,0.5,0,,0,0,,,,0,,,
prettier-solidity,3,2018-05-15,700.0,74.0,116,13,1.0,0,,0,0,,,,1,2018-10-10,8433877.0,2204316.0
project-squallet-refractor-labs,1,2023-02-08,1.0,,3,2,0.0,2,2023-10-17,3,3,9.0,0.00010815446669760001,0.00010815446669760001,0,,,
protocol-guild,278,2013-12-19,44159.0,19170.0,16287,1636,50.5,0,,0,0,,,,0,,,
public-assembly,30,2022-09-03,26.0,6.0,21,9,2.1666666666666665,0,,0,0,,,,0,,,
punk-domains,47,2022-01-03,12.0,10.0,8,5,1.3333333333333333,15,2022-02-23,447,64,1307.0,0.00030552731464484804,0.00020259402851717607,0,,,
pwnfinance,11,2021-04-09,15.0,6.0,20,13,1.0,0,,0,0,,,,0,,,
pyth-network,28,2018-02-14,127.0,74.0,554,39,4.833333333333333,4,2022-09-09,11,7,969.0,0.004360991747456044,0.004349520739874043,0,,,
rabbithole,4,2020-09-02,75.0,17.0,24,15,2.5,5,2022-08-05,345061,192207,2366242.0,10.298165890839014,10.15656959196307,0,,,
radardao-xyz,12,2022-02-15,2.0,3.0,14,6,1.8333333333333333,0,,0,0,,,,0,,,
radicalxchange,14,2014-07-28,37.0,12.0,78,4,0.0,0,,0,0,,,,0,,,
rainbow,21,2018-03-24,3572.0,542.0,699,202,7.0,3,2022-03-04,3423,1427,21842.0,0.05255300551633158,0.046069121881220025,5,2021-11-01,3872986.0,1845372.0
remix-project,1,2015-07-22,2127.0,871.0,685,83,6.666666666666667,1,2022-04-14,74,34,241.0,0.0019208051777693264,0.0018799302947284768,0,,,
reth-paradigmxyz,1,2022-09-19,2601.0,544.0,368,278,7.0,0,,0,0,,,,0,,,
retropgf-hub-fwb-creators,2,2023-06-27,3.0,5.0,6,6,1.5,0,,0,0,,,,0,,,
revert-finance,9,2022-02-17,24.0,9.0,6,2,0.3333333333333333,11,2022-07-18,1663,450,106525.0,0.2995854072755824,0.28108590127387173,0,,,
revm-bluealloy,1,2021-10-26,1129.0,275.0,117,63,1.1666666666666667,0,,0,0,,,,0,,,
revoke-cash,6,2019-10-11,560.0,198.0,121,68,1.3333333333333333,0,,0,0,,,,0,,,
revolte-pgrandne,1,2020-11-28,,,2,1,0.0,0,,0,0,,,,0,,,
roll-op-0xfableorg,1,2023-06-16,57.0,11.0,11,11,0.6666666666666666,0,,0,0,,,,0,,,
