transaction_name,transaction_name_url,organization_name,organization_name_url,funding_type,money_raised,money_raised_currency,money_raised_usd,announced_date,funding_stage,pre_money_valuation,pre_money_valuation_currency,pre_money_valuation_usd,equity_only_funding,sentiment,total_funding_amount,total_funding_amount_currency,total_funding_amount_usd,number_of_funding_rounds,lead_investors,investor_names,number_of_investors,number_of_partner_investors,organization_website
Seed Round - Golden,https://www.crunchbase.com/funding_round/golden-2cb6-seed--a755a5ca,Golden,https://www.crunchbase.com/organization/golden-2cb6,Seed,5000000,USD,5000000,2019-05-01,Seed,,,,Yes,,59500000,USD,59500000,5,,"Andreessen Horowitz, Aston Motes, Augusto Marietti, Christina Brodbeck, DCVC, Founders Fund, Gigafund, Howie Liu, Immad Akhund, Jack Smith, James Smith, James Tamplin, John R. Adler, Josh Buckley, Lee Linden, Lionheart Ventures, Liquid 2 Ventures, Mike Einziger, Paul Mckellar, Sumon Sadhu, SV Angel, The Tribe, UpHonest Capital, Wally Wang",24,3,https://golden.com
Seed Round - Hedgey Finance,https://www.crunchbase.com/funding_round/hedgey-finance-seed--12bf2f97,Hedgey Finance,https://www.crunchbase.com/organization/hedgey-finance,Seed,,,,2022-01-01,Seed,,,,Yes,,,,,2,,"Acrew Capital, Blockchange Ventures, Compound, ConsenSys, ConsenSys Mesh, Flori Ventures, focal, Portal Ventures, Protocol Labs, seedclub, Tachyon by ConSensys Mesh",11,2,https://hedgey.finance/
Seed Round - Exorde Labs,https://www.crunchbase.com/funding_round/exorde-labs-seed--e8ea674a,Exorde Labs,https://www.crunchbase.com/organization/exorde-labs,Seed,,,,2022-10-13,Seed,,,,Yes,,2500000,USD,2500000,3,,,,,https://exorde.network/
Series A - Unstoppable Domains,https://www.crunchbase.com/funding_round/unstoppable-domains-series-a--4704b534,Unstoppable Domains,https://www.crunchbase.com/organization/unstoppable-domains,Series A,1733500,USD,1733500,2020-07-01,Early Stage Venture,,,,Yes,,71955997,USD,71955997,4,"Boost VC, Coinbase Ventures, Naval Ravikant, Protocol Labs","Andrew Rosener, Balaji Srinivasan, Boost VC, Coinbase Ventures, Meltem Demirors, Naval Ravikant, Protocol Labs",7,,https://unstoppabledomains.com/
Series A - NFTPort,https://www.crunchbase.com/funding_round/nftport-series-a--8efe9b24,NFTPort,https://www.crunchbase.com/organization/nftport,Series A,26000000,USD,26000000,2022-06-15,Early Stage Venture,,,,Yes,,26000000,USD,26000000,1,"Atomico, Taavet+Sten","Atomico, Balaji Srinivasan, First Fellow Partners, IDEO CoLab Ventures, Jaynti Kanani, Jutta Steiner, Kaspar Tiri, Ott Kaukver, Protocol Labs, Sparkle Ventures, Taavet+Sten",11,1,https://nftport.xyz/
Venture Round - Toku,https://www.crunchbase.com/funding_round/workdao-series-unknown--b7fd151e,Toku,https://www.crunchbase.com/organization/workdao,Venture - Series Unknown,20000000,USD,20000000,2023-03-08,,,,,Yes,,20312500,USD,20312500,5,"Blockchain Capital, Protocol Labs","Batara Eto, Blockchain Capital, Cameron Teitelman, Cameron Winklevoss, Eiji Araki, Gmjp, Harry Stebbings, Joe Lau, Joi Ito, Justin Waldron, Lee Wittlinger, Marshall Sandman, Matthew Ocko, Next Web Capital, Orange DAO, Orrick Venture Fund, Paul Veradittakit, Peter Bell, Protocol Labs, Quantstamp, Reverie, Richard Ma, Ryan Berkun, Tashi Nakanishi, TJ Kawamura, Tyler Winklevoss",26,4,https://www.toku.com
Seed Round - Powerloom Protocol,https://www.crunchbase.com/funding_round/powerloom-seed--96b880f7,Powerloom Protocol,https://www.crunchbase.com/organization/powerloom,Seed,3100000,USD,3100000,2021-10-06,Seed,,,,Yes,,3100000,USD,3100000,2,Blockchain Capital,"Blockchain Capital, CMS Holdings, Fenbushi Capital, Mapleblock Capital, Protocol Labs",5,2,https://powerloom.io
Series A - Mask Network,https://www.crunchbase.com/funding_round/dimension-293e-series-a--dec21d1b,Mask Network,https://www.crunchbase.com/organization/dimension-293e,Series A,700000,USD,700000,2019-12-01,Early Stage Venture,,,,Yes,,53850000,USD,53850000,11,Hashkey Exchange,Hashkey Exchange,1,1,https://mask.io
Seed Round - Jupe,https://www.crunchbase.com/funding_round/jupe-seed--e10997a8,Jupe,https://www.crunchbase.com/organization/jupe,Seed,9500000,USD,9500000,2021-12-02,Seed,,,,Yes,,15600000,USD,15600000,5,Initialized Capital,"Alan Rutledge, Austen Allred, Daft Capital, FAST — by GETTYLAB, Gaingels, Gelt VC, Immad Akhund, Initialized Capital, Jon Dishotsky, Protocol Labs, Ryan Petersen, Soma Capital, Y Combinator, Zach Klein",14,3,http://www.jupe.com
Seed Round - Canza Finance,https://www.crunchbase.com/funding_round/canza-seed--8f02ec1f,Canza Finance,https://www.crunchbase.com/organization/canza,Seed,3300000,USD,3300000,2022-02-22,Seed,,,,Yes,,5780000,USD,5780000,3,Fenbushi Capital,"Adaverse, Bixin Ventures, Boxing Ventures, Celo, ConsenSys, ConsenSys Mesh, Davoa Capital, Dominance Ventures, Emergo Partners, Fenbushi Capital, HashKey Capital, Hashkey Exchange, MEXC Global, NGC Ventures, Protocol Labs, Rene Reinsberg, XanPool",17,3,https://canza.io/
Seed Round - Gensyn,https://www.crunchbase.com/funding_round/gensyn-seed--5deed886,Gensyn,https://www.crunchbase.com/organization/gensyn,Seed,6500000,USD,6500000,2022-03-18,Seed,,,,Yes,,50600000,USD,50600000,3,Eden Block,"7percent Ventures, CoinFund, Counterview Capital, Eden Block, Entrepreneurs First, Galaxy Digital, Hypersphere Ventures, Id4 ventures, Jsquare, Matias Ventures, Maven 11 Capital, Peer Venture Partners, Zee Prime Capital",13,5,https://www.gensyn.ai
Initial Coin Offering - Chingari,https://www.crunchbase.com/funding_round/chingari-initial-coin-offering--761b6cea,Chingari,https://www.crunchbase.com/organization/chingari,Initial Coin Offering,40000000,USD,40000000,2021-11-04,,,,,Yes,,88423327,USD,88423327,7,Republic Crypto,"Criterion VC, Disrupt Ventures, Republic Crypto",3,,https://chingari.io/
Seed Round - Swan Chain,https://www.crunchbase.com/funding_round/filswan-seed--8cc24ce7,Swan Chain,https://www.crunchbase.com/organization/filswan,Seed,3000000,USD,3000000,2023-01-16,Seed,,,,Yes,,4200000,USD,4200000,4,"SNZ Holding, YZi Labs","BetterverseDAO, Chain Capital, Chainlink Labs, DAO Kondr VC, FBG Capital, Filecoin Foundation, LD Capital, ODIG, PreAngel, Protocol Labs, SNZ Holding, Unicorn Hunter Ventures, Waterdrip Capital, YZi Labs",14,,https://filswan.com/
Seed Round - Swan Chain,https://www.crunchbase.com/funding_round/filswan-seed--b9d86502,Swan Chain,https://www.crunchbase.com/organization/filswan,Seed,,,,2024-09-25,Seed,,,,Yes,,4200000,USD,4200000,4,Optimism,"Optimism, Waterdrip Capital",2,,https://filswan.com/
Pre Seed Round - Blast.gg,https://www.crunchbase.com/funding_round/blast-gg-pre-seed--19fdbef6,Blast.gg,https://www.crunchbase.com/organization/blast-gg,Pre-Seed,1800000,USD,1800000,2022-02-28,Seed,12000000,USD,12000000,Yes,,1800000,USD,1800000,1,Sanctor Capital,"ConsenSys Mesh, FBG Capital, GBV Capital, Protocol Labs, Ripio Ventures, Sanctor Capital",6,,https://blast.gg
Seed Round - Metropolis World Ltd,https://www.crunchbase.com/funding_round/metropolis-world-ltd-seed--186b4164,Metropolis World Ltd,https://www.crunchbase.com/organization/metropolis-world-ltd,Seed,,,,2024-11-01,Seed,,,,Yes,,1300000,USD,1300000,3,,Funders,1,,https://metropolisworld.io
Seed Round - Fleek,https://www.crunchbase.com/funding_round/fleek-2537-seed--dbf18a7d,Fleek,https://www.crunchbase.com/organization/fleek-2537,Seed,,,,2021-01-01,Seed,,,,Yes,,25000000,USD,25000000,4,,Swadharma Source Ventures,1,,https://fleek.xyz/
Pre Seed Round - Ephere Football,https://www.crunchbase.com/funding_round/ephere-football-pre-seed--3285ced5,Ephere Football,https://www.crunchbase.com/organization/ephere-football,Pre-Seed,285000,USD,285000,2021-09-01,Seed,,,,Yes,,535000,USD,535000,2,,"C4+, Club del Inversor, ConsenSys Mesh, Martin Rubi, Protocol Labs",5,,https://ephere.football
Pre Seed Round - AstraKode,https://www.crunchbase.com/funding_round/astrakode-pre-seed--9babca85,AstraKode,https://www.crunchbase.com/organization/astrakode,Pre-Seed,100000,EUR,106350,2023-09-14,Seed,,,,Yes,,322991,USD,322991,5,Lazio Innova,"Digital Magics, Lazio Innova",2,,https://www.astrakode.tech/
Series A - Syndicate,https://www.crunchbase.com/funding_round/syndicate-a949-series-a--8e7e97b4,Syndicate,https://www.crunchbase.com/organization/syndicate-a949,Series A,20000000,USD,20000000,2021-08-31,Early Stage Venture,,,,Yes,,27800000,USD,27800000,4,Andreessen Horowitz,"A Capital, Aave, Alexis Ohanian, Alice Lloyd George, Andreessen Horowitz, Archetype, Ashley Tyson, Ashton Kutcher, Atelier Ventures, Biz Stone, Bored Elon, Boris Wertz, Coinbase Ventures, CoinFund, Cordozar Broadus, David Eckstein, Delphi Ventures, Electric Capital, IDEO CoLab Ventures, Jalak Jobanputra, Jonathan Glick, Jonathan Hillis, Lenny Rachitsky, Makena Capital Management, Maple Leaf Capital, Matthew Ball, Packy McCormick, Protocol Labs, Ryan Hoover, Ryan Junee, Scalar Capital, Scott Belsky, Snoop Dogg Ventures, Sound Ventures, Table Management, The Council, Thirty Five Ventures, Todd Goldberg, True Ventures, Variant, Weekend Fund",41,2,https://syndicate.io/
Venture Round - Decrypt,https://www.crunchbase.com/funding_round/decrypt-series-unknown--eeea4c29,Decrypt,https://www.crunchbase.com/organization/decrypt,Venture - Series Unknown,10000000,USD,10000000,2022-04-01,,40000000,USD,40000000,Yes,,10000000,USD,10000000,2,,"Alex Bamberger, Audrey LLC, Canvas Prime, COIND, ConsenSys, Don Ho, Global Coin Research, Hack VC, HashKey Capital, Honey DAO, IOSG Ventures, Jordan Garbis, Mask Network, Nexo, Orange DAO, Own.fund, Protocol Labs, Rick Seeger, SKH Management Services, Steven Fingerhood, Terry McDonell, To Kenz Capital, William Mougayar, XBTO Humla Ventures",24,,https://decrypt.co
Series A - Fluence Labs,https://www.crunchbase.com/funding_round/fluence-labs-series-a--8ed1dea2,Fluence Labs,https://www.crunchbase.com/organization/fluence-labs,Series A,9000000,USD,9000000,2022-02-17,Early Stage Venture,,,,Yes,,9000000,USD,9000000,2,Multicoin Capital,"Alameda Ventures, AngelDAO, Arweave, Hard Yaka, Inception Capital, Multicoin Capital, Peer Venture Partners, Polymorphic Capital, Protocol Labs, Signum Capital, Stakely.vc, StreamingFast, Tiger Global Management, UOB Venture, Zerion",15,,https://fluence.network
Pre Seed Round - Metropolis World Ltd,https://www.crunchbase.com/funding_round/metropolis-world-ltd-pre-seed--7272774a,Metropolis World Ltd,https://www.crunchbase.com/organization/metropolis-world-ltd,Pre-Seed,1200000,USD,1200000,2024-02-15,Seed,,,,Yes,,1300000,USD,1300000,3,,"Acacia Digital, American Chemical Society, Block Consult, Cluster Capital, Cointelegraph, EthLizards, IBC, Lamina1, Outlier Ventures, Primal Capital, Protocol Labs, Zephyrus Capital",12,,https://metropolisworld.io
Seed Round - OP Games,https://www.crunchbase.com/funding_round/op-games-seed--f054ef50,OP Games,https://www.crunchbase.com/organization/op-games,Seed,8600000,USD,8600000,2021-10-07,Seed,,,,Yes,,10600000,USD,10600000,3,,"3Commas Capital, 8186 Capital, Ascensive Assets, Basics Capital, Bitcoin.com, Bitrise Capital, Block Hype, BR Capital, Caballeros Capital, Cointelligence, CYBERIGHT CAPITAL, D1 Ventures, DeFi Alliance, DeltaHub Capital, DFG Capital, Digital Strategies, Double Peak Group, Dutch Crypto Investors, Eden Holdings, Everest Ventures Group, Exnetwork Capital, FBG Capital, FireX Capital, FTVentures, Fundamental Labs, Genblock Capital, GFS Ventures, GSR Ventures, Huobi Ventures, HyperEdge, Israeli Blockchain Association, IVC, JRR Group, Jsquare, Kernel Ventures, Kerve Capital, LD Capital, LongHash Ventures, Lotus Capital, Lucid Blue Ventures, Mechanism Capital, Mentha Partners, Momentum 6, Morningstar Ventures, MV Global, Newave Capital, OKX Ventures, OSAZ, Polygon Studios, Protocol Labs, Republic Crypto, SevenX Ventures, Spark Digital Capital, Synaps, Tensor Ventures, The Spartan Group, X21 Digital, ZB Capital, ZMT Capital",59,,https://www.opgames.org/
Seed Round - DataUnion,https://www.crunchbase.com/funding_round/dataunion-seed--9caad043,DataUnion,https://www.crunchbase.com/organization/dataunion,Seed,,,,2021-01-01,Seed,,,,Yes,,,,,1,,"BMW Venture Capital, Bruce Pon, Daniel de Witte, Flori Ventures, Laurent Rochat, MaxStealth, Ocean Protocol, Oliver Durrer, Outlier Ventures, Pedro Oliveira, Protocol Labs, Trent McConaghy",12,,https://www.dataunion.app
Seed Round - Talent Protocol,https://www.crunchbase.com/funding_round/talent-protocol-seed--41fa568e,Talent Protocol,https://www.crunchbase.com/organization/talent-protocol,Seed,1300000,USD,1300000,2021-12-21,Seed,,,,Yes,,1650000,USD,1650000,2,,"Flori Ventures, Founderheads,, Good News Ventures, Protocol Labs",4,,https://www.talentprotocol.com/
Angel Round - Kindred,https://www.crunchbase.com/funding_round/metapals-angel--74912c94,Kindred,https://www.crunchbase.com/organization/metapals,Angel,575000,USD,575000,2022-04-01,Seed,,,,Yes,,1207000,USD,1207000,4,,"Acequia Capital (AceCap), BlueYard Capital, Protocol Labs",3,,https://www.kindredlabs.ai/
Seed Round - Numbers Protocol,https://www.crunchbase.com/funding_round/numbers-protocol-seed--ce5d6d5a,Numbers Protocol,https://www.crunchbase.com/organization/numbers-protocol,Seed,500000,USD,500000,2020-01-01,Seed,,,,Yes,,6470000,USD,6470000,12,,National Development Fund of Taiwan Government,1,1,https://numbersprotocol.io
Seed Round - Celestia,https://www.crunchbase.com/funding_round/lazyledger-seed--b136f290,Celestia,https://www.crunchbase.com/organization/lazyledger,Seed,1500000,USD,1500000,2021-03-03,Seed,,,,Yes,,156500000,USD,156500000,6,"Interchain Foundation, YZi Labs","Cryptium Labs, Divergence Ventures, Dokia Capital, Everstake Capital, Interchain Foundation, KR1, Mapleblock Capital, Maven 11 Capital, Michael Ng, Michael Youssefmir, P2P Capital, Ramsey Khoury, Signature Ventures, Simon Johnson, Tokonomy, yield ventures, YZi Labs",17,5,https://celestia.org
Series B - Hex Trust,https://www.crunchbase.com/funding_round/hex-trust-series-b--50ffb601,Hex Trust,https://www.crunchbase.com/organization/hex-trust,Series B,88000000,USD,88000000,2022-03-15,Early Stage Venture,239000000,USD,239000000,Yes,,131000000,USD,131000000,7,"Animoca Brands, Liberty City Ventures","Adrian Cheng, Animoca Brands, BlockFi, Caesar Chad, Cell Rising Capital, COIND, CoinList, Crowd Venture Capital, Eterna Capital, Fenbushi Capital, HashKey Capital, Kenetic, LeadBlock Partners, Liberty City Ventures, Morgan Creek Capital Management, Primavera Capital Group, Protocol Labs, Pulsar Trading, QBN Capital, Radiant Tech Ventures, Ripple, Ryze Labs, Terra, To Kenz Capital, Topaz, Wintermute Ventures",26,1,https://www.hextrust.com
Venture Round - Secured Finance,https://www.crunchbase.com/funding_round/secured-finance-series-unknown--acd6eaed,Secured Finance,https://www.crunchbase.com/organization/secured-finance,Venture - Series Unknown,4080000,USD,4080000,2025-05-16,,,,,Yes,,8080000,USD,8080000,3,,,,,https://secured.finance/
Series A - Zama,https://www.crunchbase.com/funding_round/zama-aa23-series-a--27932acb,Zama,https://www.crunchbase.com/organization/zama-aa23,Series A,67000000,EUR,73372392,2024-03-07,Early Stage Venture,327000000,USD,327000000,Yes,,139272392,USD,139272392,5,"Multicoin Capital, Protocol Labs","Anatoly Yakovenko, Blockchange Ventures, Gavin Wood, Hack VC, Juan Benet, Julien Bouteloup, Metaplanet, Multicoin Capital, Portal Ventures, Protocol Labs, Stake Capital Group, Tarun Chitra, Vsquared Ventures",13,1,https://zama.ai
Pre Seed Round - Artizen,https://www.crunchbase.com/funding_round/artizen-d358-pre-seed--46e0cac3,Artizen,https://www.crunchbase.com/organization/artizen-d358,Pre-Seed,,,,2022-01-25,Seed,,,,Yes,,2200000,USD,2200000,2,Brinc,Brinc,1,,https://www.artizen.fund/
Seed Round - Coinshift,https://www.crunchbase.com/funding_round/coinshift-seed--c08ce3b8,Coinshift,https://www.crunchbase.com/organization/coinshift,Seed,2500000,USD,2500000,2021-09-30,Seed,,,,Yes,,17500000,USD,17500000,2,,"Alliance DAO, BR Capital, ConsenSys Mesh, Ethereal Ventures, FinTech Collective, Gnosis, LongHash Ventures, Peak XV Partners, Protocol Labs, True Capital Management, Volt Capital, Weekend Fund",12,1,https://coinshift.xyz/
Venture Round - Mask Network,https://www.crunchbase.com/funding_round/dimension-293e-series-unknown--16374e70,Mask Network,https://www.crunchbase.com/organization/dimension-293e,Venture - Series Unknown,2000000,USD,2000000,2020-11-17,,,,,Yes,,53850000,USD,53850000,11,Hashkey Exchange,"Alameda Research, Alexander Pack, Balaji Srinivasan, Evernew Capital, Hashkey Exchange, IOSG Ventures, Liang Xinjun, Ryze Labs, SNZ Holding, Tang Hongbo",10,,https://mask.io
Secondary Market - ConsenSys,https://www.crunchbase.com/funding_round/consensus-systems-secondary-market--efcccb1d,ConsenSys,https://www.crunchbase.com/organization/consensus-systems,Secondary Market,,,,2022-08-31,,,,,No,,725000000,USD,725000000,6,,"Axevil Capital, Raison Wealth",2,,https://consensys.io
Series A - Unstoppable Domains,https://www.crunchbase.com/funding_round/unstoppable-domains-series-a--d605be7e,Unstoppable Domains,https://www.crunchbase.com/organization/unstoppable-domains,Series A,65000000,USD,65000000,2022-07-27,Early Stage Venture,935000000,USD,935000000,Yes,,71955997,USD,71955997,4,Pantera Capital,"Alchemy Ventures, Alt Tab Capital, Boost VC, Broadhaven Capital Partners, CoinDCX, CoinDCX Ventures, CoinGecko, Draper Associates, EI Ventures, Gaingels, Hard Yaka, Mayfield Fund, OKG Ventures, Pantera Capital, Polygon, Rainfall Ventures, Redbeard Ventures, Sound Media Ventures, The Spartan Group, We3",20,3,https://unstoppabledomains.com/
Series A - thirdweb,https://www.crunchbase.com/funding_round/thirdweb-series-a--b8df9fe9,thirdweb,https://www.crunchbase.com/organization/thirdweb,Series A,24000000,USD,24000000,2022-08-25,Early Stage Venture,136000000,USD,136000000,Yes,,29000000,USD,29000000,2,Haun Ventures,"Coinbase Ventures, Haun Ventures, Joseph Lacob, Polygon, Protocol Labs, Shopify Ventures, Shrug Capital",7,,https://thirdweb.com
Series C - double jump.tokyo,https://www.crunchbase.com/funding_round/doublejump-tokyo-series-c--440530a7,double jump.tokyo,https://www.crunchbase.com/organization/doublejump-tokyo,Series C,3000000000,JPY,23356528,2022-04-27,Late Stage Venture,,,,Yes,,36267354,USD,36267354,6,"Amber Group, JAFCO, Jump Crypto","Access Ventures, Amber Group, Arriba Studio, Circle Ventures, Com2uS, Dentsu Ventures, Fenbushi Capital, IVC, JAFCO, Jump Crypto, Next Web Capital, PKO Investments, Polygon, Protocol Labs, Tess Ventures, Wemade, Z Venture Capital",17,,https://www.doublejump.tokyo/
Seed Round - Spruce,https://www.crunchbase.com/funding_round/spruce-systems-seed--b86fabe2,Spruce,https://www.crunchbase.com/organization/spruce-systems,Seed,7500000,USD,7500000,2021-11-02,Seed,,,,Yes,,41645000,USD,41645000,4,"Electric Capital, Ethereal Ventures","A.Capital Ventures, Alameda Research, Benedict Chan, BITKRAFT Ventures, Coinbase Ventures, Electric Capital, Ethereal Ventures, Future Positive, Gemini Frontier Fund, Jaynti Kanani, Joseph Eagan, Jutta Steiner, Ken Ng, Lily Liu, Maya Zehavi, Protocol Labs, SV Angel, Third Kind Venture Capital, Yun-Fang Juan",19,3,https://www.spruceid.com
Seed Round - Anytype,https://www.crunchbase.com/funding_round/anytype-seed--33311f1b,Anytype,https://www.crunchbase.com/organization/anytype,Seed,1200000,USD,1200000,2020-03-12,Seed,,,,Yes,,14684858,USD,14684858,6,,"Acequia Capital (AceCap), Alex MacCaw, AltaIR Capital, Ash Egan, Charlie Songhurst, Declan Kelly, Jag Singh, Jeremy Yap, Jesse Clayburgh, s16vc, System.One, Tiny VC",12,,https://anytype.io
Seed Round - Numbers Protocol,https://www.crunchbase.com/funding_round/numbers-protocol-seed--0c93266f,Numbers Protocol,https://www.crunchbase.com/organization/numbers-protocol,Seed,,,,2021-11-15,Seed,,,,Yes,,6470000,USD,6470000,12,,"8186 Capital, DWeb3 Capital, Gate Labs",3,,https://numbersprotocol.io
Series B - QuickNode,https://www.crunchbase.com/funding_round/quiknode-series-b--57c8cfda,QuickNode,https://www.crunchbase.com/organization/quiknode,Series B,60000000,USD,60000000,2023-01-24,Early Stage Venture,740000000,USD,740000000,Yes,,101900000,USD,101900000,9,50T Funds,"50T Funds, Antenna Ventures, Protocol Labs, QED Investors, Seven Seven Six, Tiger Global Management",6,3,https://www.quicknode.com
Seed Round - Impossible Cloud,https://www.crunchbase.com/funding_round/impossible-cloud-seed--7cb2c0d0,Impossible Cloud,https://www.crunchbase.com/organization/impossible-cloud,Seed,7000000,USD,7000000,2024-01-01,Seed,,,,Yes,,20043264,USD,20043264,4,,"1kx, HV Capital, Laureus Capital, LBBW VC, Protocol Labs",5,,https://www.impossiblecloud.com
Pre Seed Round - Notifi,https://www.crunchbase.com/funding_round/notifi-pre-seed--62343abf,Notifi,https://www.crunchbase.com/organization/notifi,Pre-Seed,2500000,USD,2500000,2022-03-03,Seed,,,,Yes,,12500000,USD,12500000,2,"Hashed, Race Capital","Hashed, Race Capital",2,,https://notifi.network/
Series A - Unstoppable Domains,https://www.crunchbase.com/funding_round/unstoppable-domains-series-a--144951a7,Unstoppable Domains,https://www.crunchbase.com/organization/unstoppable-domains,Series A,,,,2022-02-22,Early Stage Venture,,,,Yes,,71955997,USD,71955997,4,,Reawaken Capital,1,,https://unstoppabledomains.com/
Series A - QuickNode,https://www.crunchbase.com/funding_round/quiknode-series-a--9833355e,QuickNode,https://www.crunchbase.com/organization/quiknode,Series A,35000000,USD,35000000,2021-10-27,Early Stage Venture,,,,Yes,,101900000,USD,101900000,9,Tiger Global Management,"Angel Collective Opportunity Fund, Anthony Pompliano, Arrington XRP Capital, Crossbeam Venture Partners, Oldslip, Seven Seven Six, Soma Capital, Tiger Global Management",8,2,https://www.quicknode.com
Seed Round - Bluesky,https://www.crunchbase.com/funding_round/bluesky-514d-seed--4a389d3f,Bluesky,https://www.crunchbase.com/organization/bluesky-514d,Seed,8000000,USD,8000000,2023-07-05,Seed,,,,Yes,,36000000,USD,36000000,3,Neo,"Abdul Ly, Ali Evans, Amir Shevat, Amjad Masad, Automattic, Bob Young, Brad Fitzpatrick, Darkmode Ventures, Heather Meeker, Jeremy Johnson, Joseph Beda, Katelyn Donnelly, Kris Nóva, Neo, Outset Capital, Protocol Labs, Sarah Drasner, Stav Erez",18,,https://bsky.social
Series A - Cryptio,https://www.crunchbase.com/funding_round/cryptio-series-a--349bc2c8,Cryptio,https://www.crunchbase.com/organization/cryptio,Series A,10000000,USD,10000000,2022-06-06,Early Stage Venture,,,,Yes,,26225000,USD,26225000,5,Point Nine,"Alven, Avantgarde Finance, BlueYard Capital, CoinShares, Draper Associates, Kima Ventures, Pascal Gauthier, Point Nine, Protocol Labs, SGH CAPITAL",10,2,https://cryptio.co
Seed Round - Bluesky,https://www.crunchbase.com/funding_round/bluesky-514d-seed--73fb7446,Bluesky,https://www.crunchbase.com/organization/bluesky-514d,Seed,13000000,USD,13000000,2023-03-01,Seed,,,,Yes,,36000000,USD,36000000,3,"Atlas Benjelloun, Atlas Finance Group, Jack Dorsey","Atlas Benjelloun, Atlas Finance Group, Jack Dorsey",3,1,https://bsky.social
Series A - Element,https://www.crunchbase.com/funding_round/new-vector-im-series-a--bbec24d4,Element,https://www.crunchbase.com/organization/new-vector-im,Series A,8500000,USD,8500000,2019-09-24,Early Stage Venture,,,,Yes,,46200000,USD,46200000,5,"Dawn Capital, Firstminute Capital, Notion Capital","Dawn Capital, Firstminute Capital, Notion Capital",3,1,https://element.io
Seed Round - Degame,https://www.crunchbase.com/funding_round/degame-seed--a4c5c759,Degame,https://www.crunchbase.com/organization/degame,Seed,3700000,USD,3700000,2021-12-07,Seed,,,,Yes,,10200000,USD,10200000,2,"A&T Capital, Hack VC, Kenetic, Protocol Labs","A&T Capital, Collinstar Capital, DoraHacks, FBG Capital, Fenbushi Capital, Foresight Ventures, Hack VC, HashKey Capital, Kenetic, NGC Ventures, Protocol Labs, Starboard",12,2,https://degame.com/en/home
Pre Seed Round - AstraKode,https://www.crunchbase.com/funding_round/astrakode-pre-seed--5b7eb697,AstraKode,https://www.crunchbase.com/organization/astrakode,Pre-Seed,30000,EUR,29164,2022-10-14,Seed,,,,Yes,,322991,USD,322991,5,Faber,Faber,1,,https://www.astrakode.tech/
Seed Round - Expanso,https://www.crunchbase.com/funding_round/expanso-seed--655d2b7a,Expanso,https://www.crunchbase.com/organization/expanso,Seed,7500000,USD,7500000,2023-11-21,Seed,,,,Yes,,7500000,USD,7500000,2,"General Catalyst, Hetz Ventures","Array Ventures, General Catalyst, Hetz Ventures, Protocol Labs",4,1,https://www.expanso.io
Pre Seed Round - TransCrypts,https://www.crunchbase.com/funding_round/transcrypts-pre-seed--10a26776,TransCrypts,https://www.crunchbase.com/organization/transcrypts,Pre-Seed,2200000,USD,2200000,2022-05-01,Seed,,,,Yes,,20620000,USD,20620000,6,"Mark Cuban Companies, Protocol Labs","Alumni Ventures, Asymmetry Ventures, Atland Ventures, DVC, Everywhere Ventures, Global Millennial Capital, Isaac Kato, Mark Cuban Companies, Onepiece, Protocol Labs, Sunmeet Jolly, Techstars, Techstars Ventures, Underdog Labs, UpHonest Capital",15,3,https://www.transcrypts.com
Series A - Unstoppable Domains,https://www.crunchbase.com/funding_round/unstoppable-domains-series-a--a94a123f,Unstoppable Domains,https://www.crunchbase.com/organization/unstoppable-domains,Series A,5222497,USD,5222497,2018-02-01,Early Stage Venture,,,,Yes,,71955997,USD,71955997,4,"Boost VC, Draper Associates","Boost VC, Draper Associates, Stephen Gill, Winslow Strong",4,1,https://unstoppabledomains.com/
Seed Round - Spexi,https://www.crunchbase.com/funding_round/spexi-geospatial-seed--36a9eaf4,Spexi,https://www.crunchbase.com/organization/spexi-geospatial,Seed,5500000,USD,5500000,2022-10-04,Seed,,,,Yes,,17000000,USD,17000000,2,Blockchange Ventures,"Adam Jackson, Alliance DAO, Blockchange Ventures, CyLon Ventures, Dapper Labs, FJ Labs, Fort Capital, InDro Robotics, Protocol Labs, Vinny Lingham",10,,https://spexi.com
Pre Seed Round - Spice AI,https://www.crunchbase.com/funding_round/spice-ai-pre-seed--e6c7c75a,Spice AI,https://www.crunchbase.com/organization/spice-ai,Pre-Seed,1055000,USD,1055000,2021-10-14,Seed,,,,Yes,,14555000,USD,14555000,2,,"Cardinia Ventures, Elysium Venture Capital, Founders' Co-op, Geek Ventures, Ihar Mahaniok, Madrona, Mark Russinovich, Nat Friedman, Picus Capital, Protoscale Capital, Sarah Novotny, TA Ventures, Thomas Dohmke",13,4,https://spice.ai
Seed Round - Numbers Protocol,https://www.crunchbase.com/funding_round/numbers-protocol-seed--c1bedbb3,Numbers Protocol,https://www.crunchbase.com/organization/numbers-protocol,Seed,350000,USD,350000,2021-01-01,Seed,,,,Yes,,6470000,USD,6470000,12,,"Darwin Venture Management, Double Peak Group, Kevin Lin, Steve Chen",4,,https://numbersprotocol.io
