transaction_date,transaction_cnt,active_users,total_transferred,unique_users,retained_percent,daa_to_maa_ratio,total_transferred_in_tokens,cum_transferred
2024-07-20,133623.0,108697.0,3.33691319464532e+20,95423.0,0.09231165533547384,0.09,333691.31946453196,5.156854913578047e+21
2024-07-21,125505.0,98980.0,7.900573862690213e+20,83562.0,0.07788442109517074,0.08,790057.3862690213,5.946912299847067e+21
2024-07-22,147851.0,121327.0,5.828609817431772e+20,95887.0,0.08443297864448969,0.1,582860.9817431772,6.529773281590244e+21
2024-07-23,180164.0,150004.0,3.931634353462869e+20,57418.0,0.21426761953014586,0.12,393163.43534628686,6.922936716936531e+21
2024-07-24,135478.0,106836.0,1.9552428902809695e+20,18866.0,0.12412482683739563,0.09,195524.28902809694,7.118461005964628e+21
2024-07-25,113324.0,85154.0,5.665150381454711e+20,7681.0,0.10363576578904103,0.07,566515.0381454711,7.684976044110099e+21
2024-07-26,159314.0,129822.0,7.190033191009248e+20,10307.0,0.08286731062531774,0.11,719003.3191009248,8.403979363211023e+21
2024-07-27,146136.0,118727.0,5.495137919139172e+20,3398.0,0.08603771677882874,0.1,549513.7919139172,8.95349315512494e+21
2024-07-28,133222.0,116971.0,7.437895801895423e+20,15845.0,0.08183224901898761,0.09,743789.5801895423,9.697282735314483e+21
2024-07-29,139824.0,116512.0,5.7049639649795093e+20,3795.0,0.07685045317220544,0.09,570496.3964979509,1.0267779131812434e+22
2024-07-30,74351.0,58802.0,2.028689867574692e+20,7549.0,0.04028774531478521,0.05,202868.98675746922,1.0470648118569903e+22
2024-07-31,25824.0,12916.0,3.799022792621201e+19,5055.0,0.26618148033446887,0.01,37990.22792621201,1.0508638346496115e+22
2024-08-01,71606.0,57325.0,1.5619600404070787e+20,5148.0,0.06604448320976886,0.05,156196.00404070786,1.0664834350536823e+22
2024-08-02,29218.0,15680.0,3.71306343279417e+19,5479.0,0.18558673469387754,0.01,37130.634327941705,1.0701964984864765e+22
2024-08-03,34074.0,18534.0,4.9144425134315495e+19,7636.0,0.28677026006258766,0.01,49144.4251343155,1.075110940999908e+22
2024-08-04,77962.0,63124.0,4.402584296604521e+20,6931.0,0.08693999112857233,0.05,440258.4296604521,1.119136783965953e+22
2024-08-05,58583.0,42436.0,2.5333388422753324e+20,5865.0,0.14949571118861343,0.03,253333.88422753324,1.1444701723887063e+22
2024-08-06,49207.0,29225.0,6.62470159920185e+19,10826.0,0.10901625320786998,0.02,66247.0159920185,1.1510948739879082e+22
2024-08-07,90216.0,71508.0,2.86610357287727e+20,9829.0,0.09298260334508027,0.06,286610.357287727,1.1797559097166808e+22
2024-08-08,148319.0,124387.0,6.070440000031739e+20,10437.0,0.08744482944359137,0.1,607044.000003174,1.2404603097169982e+22
2024-08-09,220229.0,191933.0,6.752362061734108e+20,4299.0,0.09849791333434063,0.15,675236.2061734109,1.3079839303343393e+22
2024-08-10,115462.0,109110.0,7.2154682990658e+20,3555.0,0.05572358170653469,0.09,721546.8299065799,1.3801386133249973e+22
2024-08-11,113437.0,108555.0,6.994059346458203e+20,1625.0,0.07830132191055225,0.09,699405.9346458203,1.4500792067895792e+22
2024-08-12,93058.0,87697.0,5.1047720680968126e+20,5847.0,0.04049169298835764,0.07,510477.20680968126,1.5011269274705473e+22
2024-08-13,10562.0,6398.0,5.480707598907215e+19,815.0,0.5539231009690528,0.01,54807.07598907215,1.5066076350694545e+22
2024-08-14,87287.0,83587.0,4.9265179716753306e+20,10160.0,0.024932106667304724,0.07,492651.7971675331,1.5558728147862079e+22
2024-08-15,94274.0,90839.0,5.173712072778629e+20,6669.0,0.022600424927619194,0.07,517371.20727786294,1.6076099355139941e+22
2024-08-16,98385.0,95233.0,6.16752857919343e+20,3309.0,0.013860741549672907,0.08,616752.857919343,1.6692852213059284e+22
2024-08-17,102846.0,98895.0,5.870993618431527e+20,7207.0,0.02351989483795945,0.08,587099.3618431527,1.7279951574902436e+22
2024-08-18,65618.0,62089.0,3.141282646504744e+20,7240.0,0.04164988967449951,0.05,314128.26465047436,1.759407983955291e+22
2024-08-19,67462.0,64029.0,3.874303373021111e+20,3790.0,0.03920098705274173,0.05,387430.33730211115,1.7981510176855021e+22
2024-08-20,85796.0,81271.0,5.8430668446817976e+20,3227.0,0.055148823073421026,0.06,584306.6844681797,1.8565816861323201e+22
2024-08-21,71412.0,67163.0,5.43098178799299e+20,4361.0,0.046037252653991036,0.05,543098.178799299,1.91089150401225e+22
2024-08-22,70517.0,64439.0,5.1788685598493934e+20,1036.0,0.045919396638681546,0.05,517886.8559849393,1.962680189610744e+22
2024-08-23,31971.0,25179.0,1.3606006738220517e+20,8786.0,0.08252909170340363,0.02,136060.06738220516,1.9762861963489646e+22
2024-08-24,436520.0,429661.0,1.1809972554458842e+21,4366.0,0.037394597135881544,0.34,1180997.255445884,2.094385921893553e+22
2024-08-25,637556.0,634199.0,3.339498305036486e+21,4591.0,0.2778638881486726,0.5,3339498.305036486,2.4283357523972016e+22
2024-08-26,428813.0,425428.0,1.9564459109274715e+21,6548.0,0.6286915764829771,0.34,1956445.9109274715,2.623980343489949e+22
2024-08-27,641808.0,637806.0,2.962862031762735e+21,1367.0,0.16172315719827032,0.5,2962862.0317627355,2.9202665466662224e+22
2024-08-28,809102.0,805663.0,3.447644213862584e+21,3295.0,0.5168935398547532,0.64,3447644.213862584,3.265030968052481e+22
2024-08-29,804319.0,799687.0,3.2278538209047536e+21,6881.0,0.727487129339354,0.63,3227853.8209047536,3.5878163501429564e+22
2024-08-30,810813.0,806621.0,3.12549276378261e+21,6123.0,0.7122043685944204,0.64,3125492.7637826097,3.900365626521217e+22
2024-08-31,748634.0,743640.0,2.7381200964063393e+21,2012.0,0.7055510730998871,0.59,2738120.096406339,4.174177636161851e+22
2024-09-01,640898.0,636567.0,2.263485755667458e+21,3449.0,0.571317708897885,0.53,2263485.755667458,4.400526211728597e+22
2024-09-02,85072.0,80880.0,2.9101560820267637e+20,1100.0,0.06502225519287834,0.07,291015.60820267635,4.429627772548865e+22
2024-09-03,298951.0,295799.0,5.693516246982453e+20,5717.0,0.07271153722629217,0.25,569351.6246982453,4.486562935018689e+22
2024-09-04,169800.0,166691.0,3.729112095638593e+20,8422.0,0.03583876753993917,0.14,372911.20956385933,4.523854055975075e+22
2024-09-05,166646.0,163173.0,3.015106232571667e+20,3202.0,0.0358515195528672,0.14,301510.62325716665,4.554005118300792e+22
2024-09-06,121151.0,119409.0,2.0645544836145745e+20,482.0,0.04257635521610599,0.1,206455.44836145744,4.574650663136937e+22
2024-09-07,40407.0,38075.0,9.501030717523085e+19,11584.0,0.05300065659881812,0.03,95010.30717523085,4.5841516938544605e+22
2024-09-08,159510.0,157197.0,1.1549320557969449e+20,7999.0,0.01275469633644408,0.13,115493.20557969449,4.59570101441243e+22
2024-09-09,106894.0,105103.0,1.0116403715919911e+20,2794.0,0.0368781100444326,0.09,101164.03715919911,4.60581741812835e+22
2024-09-10,552112.0,550248.0,1.6840501677798368e+21,4577.0,0.007325787644843779,0.46,1684050.1677798368,4.7742224349063335e+22
2024-09-11,983602.0,981492.0,3.7536281596846093e+21,1707.0,0.5344944227767521,0.82,3753628.159684609,5.149585250874795e+22
2024-09-12,807001.0,804997.0,2.650139100955871e+21,304.0,0.9860322460829046,0.67,2650139.100955871,5.414599160970381e+22
2024-09-13,1018575.0,1016803.0,3.2297208825000247e+21,10431.0,0.7882923240785088,0.85,3229720.8825000245,5.737571249220384e+22
2024-09-14,1016040.0,1012962.0,2.9508412269277217e+21,5852.0,0.9915031363466744,0.85,2950841.226927722,6.0326553719131555e+22
2024-09-15,1009534.0,1007797.0,2.716380494142586e+21,2587.0,0.9956052657430018,0.84,2716380.4941425864,6.304293421327414e+22
2024-09-16,555332.0,553670.0,2.269052516611069e+21,5918.0,0.9834395939819748,0.46,2269052.516611069,6.531198672988521e+22
2024-09-17,274707.0,272786.0,7.845209424417933e+20,2519.0,0.06948303798582038,0.23,784520.9424417933,6.609650767232701e+22
2024-09-18,69810.0,67497.0,1.7133828560886401e+19,1169.0,0.09601908232958502,0.06,17133.828560886403,6.6113641500887896e+22
2024-09-19,166766.0,164314.0,1.970943771758068e+20,5852.0,0.024994826977616028,0.14,197094.37717580682,6.6310735878063705e+22
