,oso_project_name,oso_display_name,round_number,oso_generated_round_label,gitcoin_project_id,num_donors,crowd_funding_usd,match_funding_usd
1305,geo-web,Geo Web,18,GG-18 - 0x8de918f0163b2021839a8d84954dd7e8e151326d,0x5711c88512392c525a48cdce25ccfa89289f4bca8cfa32b06dd546bb5f2206cb,285,428.92521109483505,103.207826
1306,,,22,GG-22 - 608,0xfbeb246c9e40c2fe556a4b783d66ac6eb23b30a5e7fbabf080bb08b7677ce0f4,32,28.921563977841288,103.09185500000001
1307,choraclub,Chora Club,20,GG-20 - 25,0x4e9a6efc02fca23d8b644389931e3ebd48ed3468a85b0ff5d6d96ab52e147d78,37,148.63946263992693,102.7626499375
1308,positiveblockchain,PositiveBlockchain,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0x0bc38014b8d746279009d2548385acc8601602c140bd4f141a6d71f5a5b54c2e,44,48.07156802990721,102.50777078125
1309,dexkit,DexKit,22,GG-22 - 608,0xb8769b6e63e581c7dcd3e917462186cc8973e0366026dd1a092ef4e555e23063,59,51.34804656932829,102.49248375
1310,,,19,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,0x87fc73855cd59fb87c824d9f52fcaba5ad43b4c67e0068f491cf7b6b3ed2e12a,45,72.49181775702164,102.466184
1311,,,19,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,0xd87947483f07940f24f551ec19d0c594543f0e5c0d5ff195468e27a7304e4328,50,47.09680537413806,102.26605473437499
1312,,,19,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,0x020bae0e0ad2957ec67ef01ffe85303bb9baeb2647734ba14576abe2f0f8298d,36,375.8831779807806,101.865796203125
1313,cleanifyorg,Cleanify,20,GG-20 - 25,0x71769291d42294b931582a342488597945e826f3326c725ab9a9cb6a2c5ef605,16,82.33960845321417,101.86385125000001
1314,poscidondao,PoSciDonDAO,20,GG-20 - 25,0x7ea8c4ebe8d6307efe7492f8b41da2e4e487a2cef99f2174cf42b570d3dac7d0,27,24.522348217084073,101.86385125000001
1315,,,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0x52636321f4f19d11f0710423510525c6e411c2dce841855256606721ca4dde49,40,212.34753968003133,101.257676015625
1316,jacobhomanicsorganization,Engagement.Vision,22,GG-22 - 608,0xde89deb7c913c18bce5d3abe054482245ba7079b2232b2a98fedebb6677ed2ce,37,20.80436453811126,100.69436999999999
1317,stallionstake,Stallion Stake,20,GG-20 - 23,0x231f99a63e6eba380e40dbbcd81841d5cf2359b336e1135d65f08293c5ed9aa1,11,13.049807615578175,100.3658560546875
1318,pepemon-dao,Pepemon: Degen Battleground,18,GG-18 - 0x8de918f0163b2021839a8d84954dd7e8e151326d,0x1e9e8d47b2f14f961f5b27b76a06753d987cc36ea0e85405bace67aa4fa3f89d,345,653.7095200542899,100.2075985
1319,luncosim,LunCo,18,GG-18 - 0x8de918f0163b2021839a8d84954dd7e8e151326d,0x7a7bba183fb942fef3a8f2c97d939367c8d82328a2a5d42b9f7ba2e358ff3423,212,707.3923942991896,99.90757575
1320,,,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0xe4cf78755728b69c71149848d68bd9b5b854c64ff7eef760dc2055cfc36ae7c0,62,81.81558720287649,99.257524390625
1321,4seascm,4seasCM,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0xa06603617f8125c3e4b220d0d75d2366f2bcb8e5f358873240a1c1eb75c5593e,36,69.13021682828912,97.0073538125
1322,bcdevs,ThirdTube,20,GG-20 - 25,0xa7230d4086efc47244c916a6175463560d4e533fe68af5d745d2c01876cfee26,32,142.79645769331546,96.1714595625
1323,,,19,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,0xcf2f732c538f004f46ae21b498fbc05b9a3d54b579b2988352bcefdbe24d09ec,38,70.27448192238808,94.461013375
1324,perpetualorganizationarchitect,Perpetual Organization Architect,22,GG-22 - 608,0xb6801f5964c53f9599253d9340f9ce953c4235016fa46bfc0630756db88819b2,67,618.0519469231949,93.202229375
1325,,,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0x7d33e1df4ed9c9c4eb2bcebd9d26486ba58824b9e98687e4ed7cd2da61fd4c38,43,53.76541734728744,92.50701265625
1326,frontierregistry,FrontierRegistry,22,GG-22 - 608,0x5a5bdee7e1980fd8fc1b704b607309edb3a30cfe550c121a7589fdc0aea1da02,67,78.52706955785834,92.3031725
1327,,,19,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,0x1f1db02934051015844945b577bd5ca5f4cbc9a6c007fd532c05afed3003e0f2,46,47.77954855863936,88.056876875
1328,,,19,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,0xe24aaf54ffefa4666f026e660d89e75c8d87e59a4e7170400b3608007456c49f,35,34.7846652995795,87.65661834375
1329,thebadge,The Badge,22,GG-22 - 608,0x89be508f9dd7d107e86cb9c0d1c0762682d14b0ae4351adeafd8db10a87e14c3,42,24.249899139918853,87.208516875
1330,,,18,GG-18 - 0x2871742b184633f8dc8546c6301cbc209945033e,0x21d38235f2f0a3ff72689cf46def66c68ecfae91407bd7a5b07ae8badf056370,51,63.96481862393921,86.00651987500001
1331,tradao-xyz,Tradao,19,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,0xf887e76e0b125cc6a2d66a9e8055c8848be018b2e63dab4809bd4ffda8a6ba85,43,50.681476382073015,85.6553256875
1332,dspytdao,Dspyt DAO,19,GG-19 - 0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,0x2b3ab7db23e408acd50dc3777af52018461618c900225bd8a8e81a31e88d09a9,40,264.6301992137451,85.455196421875
1333,aikilabs,Aiki Labs,20,GG-20 - 25,0x0c91f84979d7852f1786f92653970a1f44f4f9de0da4cf8c094983e35ee69dd9,25,27.635772138251923,85.38587531249999
1334,etheralpha,Ether Alpha,18,GG-18 - 0x8de918f0163b2021839a8d84954dd7e8e151326d,0x0dae7b32c9bd9d38ddb9c6d455da6082c95be22445480aacbfeaa3da252ec0aa,312,385.8137632464932,84.60641550000001
1335,,,22,GG-22 - 608,0xfd061a146da1309cf6e7fb5cdd4aaab61b298ecc23d7750ab1ac21ac9b817560,47,39.697905351698864,83.612289375
1336,fundpg,FundPG,18,GG-18 - 0x8de918f0163b2021839a8d84954dd7e8e151326d,0xf0572ad90c411f8f5d5dcb0938f0021e1b5d28d7cf427ddc34cc3a53cc740336,997,508.89355744163413,83.4063245
1337,,,22,GG-22 - 608,0xed5e3c7b4839745c4bcc3216b591305d3731be8681bd6434d1fb32f21cd295d6,99,418.8021693092305,83.31260375
1338,helheimlabs,HelheimLabs (AutoChessia),18,GG-18 - 0x8de918f0163b2021839a8d84954dd7e8e151326d,0x5a992201cd635e1564839ded6511757595c08c0811d7f5e0e06c956c621cc7ff,236,501.7008033436141,82.80627899999999
1339,smartinvoicexyz,Smart Invoice,18,GG-18 - 0x8de918f0163b2021839a8d84954dd7e8e151326d,0x99d8b6358b13472acbf827e385f402eb6b3db6711cd59b36284912f24f933278,242,397.5953462355901,82.2062335
1340,,,22,GG-22 - 609,0x44eb49421b42a27fb781934866279d5603b6d2176d598c5d1372eca0073e34e9,91,63.01677205602755,81.83682609375
