project,head-to-head_comparisons,elo_rating,margin_of_error,num_main_round_appearances,highest_unique_donor_count_in_one_round,crowd_funding_usd,match_funding_usd,project_id,project_source,project_namespace,display_name,event_source,repository_count,first_created_at_date,last_updated_at_date,first_commit_date,last_commit_date,star_count,fork_count,developer_count,contributor_count,contributor_count_6_months,new_contributor_count_6_months,fulltime_developer_average_6_months,active_developer_count_6_months,commit_count_6_months,opened_pull_request_count_6_months,merged_pull_request_count_6_months,opened_issue_count_6_months,closed_issue_count_6_months,comment_count_6_months,release_count_6_months,time_to_first_response_days_average_6_months,time_to_merge_days_average_6_months
kleo-network,180,1534.337225934765,29.814239699997195,4,2171,6126.837102915539,10169.314733328125,8Cbx1kry684FjhGuy51QwWWzZ-k9MgdaehqXqaYUJjQ=,OSS_DIRECTORY,oso,Kleo Network,GITHUB,23,2022-12-27 19:37:25+00:00,2025-01-12 11:51:00+00:00,2023-05-12 19:42:27+00:00,2024-11-27 21:56:34+00:00,17,17,4.0,13.0,11.0,9.0,0.7663043478260869,3.0,419.0,71.0,62.0,20.0,13.0,79.0,0.0,27.616015625000003,0.0
datonic,84,1532.9093635262511,43.64357804719848,3,1014,3878.238160725204,14975.33469765625,wTISQvdyzQlkF_4BDB0fomEtR_3tf77sX5mJ_YXK03s=,OSS_DIRECTORY,oso,datonic & Gitcoin Grants Data Portal,GITHUB,7,2022-03-16 10:08:34+00:00,2025-01-17 06:53:17+00:00,2022-03-24 10:58:40+00:00,2025-01-15 09:44:36+00:00,312,19,2.0,12.0,3.0,1.0,0.0,2.0,67.0,0.0,0.0,7.0,18.0,11.0,0.0,45.119791666666664,0.0
synpress-synthexio,79,1529.1873247797107,45.00351603704096,3,510,3765.1446385575564,20149.496704250003,oEZd9jgPWaKJGuupx-tvUXbdQi5zQ7zNdtdDcpoHODA=,OSS_DIRECTORY,oso,Synpress,GITHUB,1,2020-11-18 22:10:14+00:00,2025-01-19 22:58:17+00:00,2020-11-18 23:57:53+00:00,2024-12-03 01:18:53+00:00,622,201,2.0,160.0,17.0,13.0,0.0,1.0,34.0,52.0,25.0,8.0,4.0,121.0,0.0,4.439496527777777,0.0
impersonator-eth,186,1523.4466790745944,29.32942300427066,4,1089,7062.535734986299,25849.368023890624,YiVBgk8qj5rlmSzq46c6dSloDMgSUFXZuMPev32Zc94=,OSS_DIRECTORY,oso,Impersonator,GITHUB,8,2021-08-21 16:18:40+00:00,2025-01-17 19:38:42+00:00,2021-08-23 11:14:16+00:00,2024-11-25 14:33:32+00:00,346,69,1.0,21.0,6.0,4.0,0.0,1.0,31.0,6.0,3.0,1.0,1.0,11.0,0.0,41.596180555555556,0.0
elefria-labs,140,1520.7713262164848,33.806170189140666,4,1346,4402.639670790681,14964.941147703124,gxFQ-R2HhThIoNUP7P6Z8b-vdPCTIFsovfFyt0Idqfs=,OSS_DIRECTORY,oso,Elefria Labs,GITHUB,6,2022-03-05 05:55:22+00:00,2024-12-15 11:47:31+00:00,2022-03-05 07:52:26+00:00,2024-12-15 11:47:29+00:00,80,23,1.0,7.0,2.0,1.0,0.0,1.0,42.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
show-karma,140,1518.5444291960466,33.806170189140666,3,330,1718.3347354594089,10899.09712096875,A_o78Ln8zx3Z8XBY0Z02pmZyZXFQoi5Ykz_GWTyRT14=,OSS_DIRECTORY,oso,Karma,GITHUB,23,2021-09-22 17:20:46+00:00,2025-01-16 21:10:13+00:00,2022-03-09 19:18:56+00:00,2025-01-20 09:39:25+00:00,34,27,8.0,17.0,7.0,1.0,1.0706521739130435,4.0,1036.0,223.0,214.0,0.0,0.0,224.0,0.0,0.1584325396825397,0.0
starksheet-the-candy-shop,167,1511.6199597717814,30.952929301365472,3,1240,4020.6109742801295,5378.18555321875,zLOHFV9eukigS4J9Wlvx07ObXJl7brWiJI_xOhzU6mg=,OSS_DIRECTORY,oso,Starksheet,GITHUB,1,2022-06-28 11:10:24+00:00,2024-09-23 05:54:23+00:00,2022-08-05 17:36:58+00:00,2023-12-09 14:20:56+00:00,44,11,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zkp2p,200,1494.3936203803646,28.2842712474619,4,555,6840.601058332861,7227.60665890625,h1D700UT-AjJK4ogurAfO93wrQ1SsxoAy2EvlKbRvMQ=,OSS_DIRECTORY,oso,ZKP2P Fiat On Ramp,GITHUB,17,2023-04-01 09:01:54+00:00,2025-01-19 17:56:26+00:00,2023-04-01 09:05:21+00:00,2025-01-19 17:56:25+00:00,389,57,4.0,19.0,10.0,6.0,0.0,4.0,141.0,36.0,24.0,1.0,1.0,10.0,0.0,0.14618055555555556,0.0
citizenwallet,203,1492.3358727646355,28.07449625374386,4,1405,6016.809515424394,20931.416423734376,cNbq80ciLtyg6QeEt-oj-Nmuop4o7zci8mzsDZssXeE=,OSS_DIRECTORY,oso,Citizen Wallet,GITHUB,39,2022-12-09 10:58:31+00:00,2025-01-19 16:42:56+00:00,2022-12-09 11:24:08+00:00,2025-01-20 09:44:53+00:00,35,31,7.0,14.0,9.0,2.0,1.0815217391304348,7.0,931.0,71.0,66.0,32.0,37.0,93.0,10.0,71.03058574879228,0.0
opensource-observer,80,1491.2144648819342,44.72135954999579,3,223,1624.248192631604,16999.632345015627,Erx9J64anc8oSeN-wDKm0sojJf8ONrFVYbQ7GFnqSyc=,OSS_DIRECTORY,oso,Open Source Observer,GITHUB,14,2023-07-25 20:41:57+00:00,2025-01-19 03:39:06+00:00,2023-07-28 01:52:08+00:00,2025-01-19 03:39:06+00:00,207,183,84.0,144.0,68.0,50.0,2.5652173913043477,44.0,1139.0,718.0,661.0,553.0,418.0,2090.0,0.0,37.97238425925926,0.0
