,chain_id,round_id,round_name,project_name_x,project_github,payout_address,status,total_donations_count,total_amount_donated_in_usd,unique_donors_count,project_github_org_space,project_id,artifact_namespace,project_source,project_namespace,project_name_y,display_name,event_source,repository_count,first_commit_date,last_commit_date,star_count,fork_count,contributor_count,contributor_count_6_months,new_contributor_count_6_months,fulltime_developer_average_6_months,active_developer_count_6_months,commit_count_6_months,opened_pull_request_count_6_months,merged_pull_request_count_6_months,opened_issue_count_6_months,closed_issue_count_6_months
33,42161,26,Web3 Infrastructure,Stereum - Ethereum Node Installer & Manager,stereum-dev,0x81D30BF2047cC5Ee5f903CC00594edC8D5018D31,APPROVED,170,339.3274,167,stereum-dev,shWCf8CjI4xyoivlHAWzZXw3Qc_X5m0pRVlBlkKGqLY=,stereum-dev,OSS_DIRECTORY,oso,stereum-dev,Stereum - Ethereum Node Installer & Manager,GITHUB,16,2020-09-30 17:56:42+00:00,2024-05-21 15:12:01+00:00,213,94,55.0,18.0,6.0,0.5,7.0,347.0,226.0,198.0,105.0,74.0
34,42161,26,Web3 Infrastructure,DAOstar,metagov,0x539bDe90Cc8005727a7f2dd5dEA5F6D83e82BbA2,APPROVED,151,314.5087,148,metagov,osL3B-y8yn0ALvvF90E-K8sPXgenbqc3PCpeCC67MHE=,metagov,OSS_DIRECTORY,oso,metagov,The Metagovernance Project,GITHUB,50,2020-01-29 13:19:04+00:00,2024-05-19 14:39:45+00:00,251,84,65.0,15.0,4.0,1.0,12.0,516.0,48.0,43.0,25.0,16.0
35,42161,31,OpenCivics Consortium Round 02,Metagov,metagov,0xc38B9fBB57b0c33f85Cb0A03669a9D6127538369,APPROVED,90,358.9168,87,metagov,osL3B-y8yn0ALvvF90E-K8sPXgenbqc3PCpeCC67MHE=,metagov,OSS_DIRECTORY,oso,metagov,The Metagovernance Project,GITHUB,50,2020-01-29 13:19:04+00:00,2024-05-19 14:39:45+00:00,251,84,65.0,15.0,4.0,1.0,12.0,516.0,48.0,43.0,25.0,16.0
36,42161,25,dApps & Apps ,Metagov,metagov,0xc38B9fBB57b0c33f85Cb0A03669a9D6127538369,APPROVED,96,242.51952,92,metagov,osL3B-y8yn0ALvvF90E-K8sPXgenbqc3PCpeCC67MHE=,metagov,OSS_DIRECTORY,oso,metagov,The Metagovernance Project,GITHUB,50,2020-01-29 13:19:04+00:00,2024-05-19 14:39:45+00:00,251,84,65.0,15.0,4.0,1.0,12.0,516.0,48.0,43.0,25.0,16.0
37,42161,26,Web3 Infrastructure,Seed Protocol by JournoDAO,journodao,0xec8E47e050A122970CBB4bAf44413f3f070b543D,APPROVED,184,453.8168,176,journodao,ucuhA8ZiSCO7IZuMv06h1vSDT6BeyFNpkuOEUijGfWQ=,journodao,OSS_DIRECTORY,oso,journodao,JournoDAO,GITHUB,9,2022-10-19 18:32:33+00:00,2024-05-16 22:52:43+00:00,0,1,2.0,2.0,1.0,0.0,1.0,20.0,0.0,0.0,3.0,0.0
38,42161,26,Web3 Infrastructure,PORTERS,porters-xyz,0xC2B18B24175b274d52f609c1Bcd44f801262B895,APPROVED,615,1784.3058,605,porters-xyz,wY2AlECqtdyTjvV39aHhCC0idM0f7gn7Fp24-bvU6MU=,porters-xyz,OSS_DIRECTORY,oso,porters-xyz,PORTERS,GITHUB,3,2024-01-17 02:04:26+00:00,2024-05-21 15:35:20+00:00,0,1,5.0,5.0,5.0,0.3333333333333333,3.0,474.0,92.0,92.0,155.0,114.0
39,42161,26,Web3 Infrastructure,Shielded Voting by Shutter Network,shutter-network,0xB476Ee7D610DAe7B23B671EBC7Bd6112E9772969,APPROVED,378,749.1791,371,shutter-network,FqJlC8IuZE2E3eTvQdMA4uG39qNxQSPSgw79bRli5Hs=,shutter-network,OSS_DIRECTORY,oso,shutter-network,Shutter Network,GITHUB,31,2021-04-12 09:00:15+00:00,2024-05-20 16:46:31+00:00,87,30,22.0,10.0,3.0,0.0,6.0,283.0,48.0,42.0,22.0,6.0
40,42161,26,Web3 Infrastructure,"Blockhead: portfolio tracker, block explorer and web3 browser",blockhead-info,0x048669c431230A9A8298b7Ec045f1E1137827cCA,APPROVED,320,234.4774,313,blockhead-info,1gim6IGn9cTwgE7-NOcTEksmqkdo-sEUJ96F7i9mFVk=,blockhead-info,OSS_DIRECTORY,oso,blockhead-info,blockhead-info,GITHUB,1,2023-04-27 02:36:49+00:00,2023-04-27 02:46:07+00:00,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,42161,23,Hackathon Alumni,"Blockhead: portfolio tracker, block explorer and web3 browser",blockhead-info,0x048669c431230A9A8298b7Ec045f1E1137827cCA,APPROVED,52,109.4725,52,blockhead-info,1gim6IGn9cTwgE7-NOcTEksmqkdo-sEUJ96F7i9mFVk=,blockhead-info,OSS_DIRECTORY,oso,blockhead-info,blockhead-info,GITHUB,1,2023-04-27 02:36:49+00:00,2023-04-27 02:46:07+00:00,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,42161,26,Web3 Infrastructure,L2BEAT,l2beat,0x07631B9e7b017e60809C35D556d5BFDf64401D4d,APPROVED,3629,12611.043,3547,l2beat,kZVtBKGSl84JGQpuRfuqaUVlY0BP3XZWNy2wYKjB79s=,l2beat,OSS_DIRECTORY,oso,l2beat,L2BEAT,GITHUB,12,2021-12-09 11:26:17+00:00,2024-05-21 11:26:15+00:00,833,366,278.0,113.0,80.0,1.75,49.0,982.0,1486.0,1356.0,35.0,40.0
43,42161,26,Web3 Infrastructure,Lighthouse by Sigma Prime,sigp,0xC9a872868afA68BA937f65A1c5b4B252dAB15D85,APPROVED,369,1377.9772,362,sigp,Pv9DcQi2GVUwbkEZPSnblqG96Ij1wGqJaeR_2OTedCk=,sigp,OSS_DIRECTORY,oso,lighthouse-sigp,Lighthouse by Sigma Prime,GITHUB,1,2020-11-24 16:29:06+00:00,2024-03-28 05:55:03+00:00,2757,672,549.0,103.0,61.0,0.0,3.0,91.0,652.0,340.0,167.0,129.0
