Project ID,Project Name,Score,Full-time developer months (cumulative),New GitHub contributors (last 6 months),Fork count (most forked repo owned by the project),Star count (from developers in the OP community only),"NPM downloads (last 6 months, all packages)",L2 sequencer fees (OP ETH),Transactions (on OP Mainnet),High value users (on OP Mainnet)
0xfaaed11baa954ccc12629031eeaf8dbfb8041b73f0e050614152b0d1b6beaed7,DeepDAO,,,,,,,,,
0xc6aefba00febddc9d0c0e0c35619ef05265c805e0fe304ce4bf5ca53a6f80d09,DeFi Africa,,,6.0,,6.0,,,,
0x3d17e2141d2f43c7bf1c32b2da17f39f8fd1d47fda7ddd5bc1ffb49562e99cf9,DeFi Declassified (OptiNauts NFT collection),,,,,,,,,
0xc4a629437b7193a4c4ea51f2f43c9f4f0e1ba9887f7f38e576ac45d7f66ec208,DeFi France,,,,,,,,,
0x8207d38dd2b645c6df0b29f35e36bf30a6e42eac03054c63f139089c8f443082,DeFI Saint ,,,,,,,,,
0xf77b5c952f2a7dddc5634a1ff63a57835a6c3e72a52c133b63a2ac65c20819f0,Defi-lab.xyz,,2.0,,20.0,16.0,,,,
0x1eeb37b64c871d9e9988756d714dadd6cd645edb0f185389f2139d561df9e079,Defigourmet,,,,,,,,,
0xda04cebe79ec8547116a948edfbdb87e48dcb0543b29b7276df53df579170f74,DefiLlama,6.0,362.0,909.0,3635.0,2397.0,,0.2572038290777564,147171.0,3095.0
0xa308b01ca0cc1fda4dbfa5b4f26d676bd1cb23cebd2d1dd25c40fea46d58f1e6,Definomics labs,,1.0,,,1.0,,,,
0x37772ce655f287f26af2d3c5252c704af87428dec0c993fd5d30f2e4f35f0314,Defy Foundation,,,,,,,,,
0xf251eca6ba1ed9dd7203accd891e6d00b086a4af7d0b6bf19eb663a2eecaca84,Delegate,,7.0,12.0,44.0,56.0,,0.0027808725867857,2549.0,170.0
0xf780b4a39ea9529b9e7af1638c816801ce89cf06e93dd6d66ea383fb3ed263f0,Department of Decentralization,1.5,3.0,65.0,128.0,110.0,,,,
0xf4307a080fe3c893ca3a441a8c2b31011cee4fa51e46db8493a44445bffeff93,DeSchool,,,,,,,,,
0xc76784fc7db684faae15967f8494991615dbc9149b371f2efc9afa9956e25097,DevRel Uni,,,,,,,,,
0xe6ebcb24497bf6894cbff1547be6c433a210ff34d9b8c863f7e2f9f727a5ed9d,DexKit,,22.0,,89.0,7.0,,,,
0x03a6b6d06964fe9fe43aba6058e2369640a18fb38bf650c587184cd16015fb70,dForce,0.25,42.0,,12.0,48.0,,0.1786849022386606,74376.0,250.0
0x553a463819936d8c8f5bdd26e2c3c6eba8fca668093e1b18f388f24bc6666012,Diego,,,,,,,,,
0xe87485f46475bbd8b881558918f50099485718a652f363cb94454a58deddc58f,Divergent,,,,,,,,,
0xa97288157a5dbd10e18e03c08b6434e4999a7741ec8f4b5e5d10d5638560e7a4,dm3 protocol.,,21.0,7.0,12.0,21.0,,4.07035e-07,10.0,
0xeef1e2aa3447f6231738c67c99227d02f33b87d853ea16fa21a137ed73bcd100,Donate3,,,,,,,,,
0xbfff1e92ab7d10ccc59fc3f26df800c8c3c632e4ebe3c8f416aa2871569b18b7,donnoh.eth,,,,,,,,,
0xf3b403af50cdb976fea39b15645501515f7ee31a5353476611a1bf5a44dae665,Doris Protocol,,,3.0,,3.0,,,,
0x60e8b63d4c87c43409731ac1370379af9884f7239cf69b052fb36c14d121f736,Downstream,,42.0,7.0,1.0,13.0,,,,
0x7f3bf5b2180022c8ff66d6ad6517253fe8b01761df9a8bc4dbd4df65e05ad8f6,DRAMA,,,,,,,,,
0x0ce37173aac4d925ca6434dc28b7fad840870ec6ee27bda8c7db4685cb6fd812,draper,1.0,20.0,54.0,55.0,60.0,,,,
0x70552a6638c8b5ce74bc1e16c7c2580d29ece1c3f29804abb452be1204f74806,Duct Tape ,,,,,,,,,
0xc56adc46c6687b1b8b40930bf6724b819917ac03b0b9f83e7f02ea219098275b,dudedodut,,,,,,,,,
0x8526b3343ae97a1859ff98d7f7d414ba2f47735d62a84b94f5aef514b5260aa6,Edge & Node / The Graph,,35.0,7.0,7.0,30.0,,,,
0xc239e46090b3ed9696d3ab3fc213668a3081333eaeeb4bf9f26e13d46ca1bfed,EGG 🥚 RECORDS,,,,,,,,,
0x74bb2fd6c1dacf0d3556a80af369e620df5ee6f348a8435b0b977064c79bc50d,EIP Fun,,,,,,,,,
0x62303737eacb3de8795ae5ad00bc2da45a36e8c4a033c20257b0f893f7c4d3a4,EIP-4824/ DAOstar,,,,,,,,,
0xbd677b4b419fc7f370267f8a16c767ee86d5821a9ff623372d1201eba82028c2,Encriptados,,,,,,,,,
0xe04b509d073efc17c44e3dd988dbb46724a11836aff71575424bcc7a0ec91123,Endaoment,,14.0,1.0,3.0,13.0,,0.0003281309732724,58.0,
0x3fefb03794a7df62a191bd6d771f6ccfa00a52b266b352a9d1d070b6b257bf44,Equalizer,,,,,,,,,
0xe32dd99f7bf39e91647601d011d0801f61cc551b89aa37f9b8f387178ce98464,ERC-6551 Tooling,,0.0,1.0,,,,,,
0x31fa3f2b3ab4221bb89dd64e864339a6c59ab6658d91860e239e2491f4bb2435,ERC1155 Bridge,,10.0,,1.0,11.0,,,,
0x2eb508d0de065158c7ad478b90f5ad3bb34f530ae4eff096d2183a28e2d24930,ERC4337 Smart Accounts Dune Dashboard,,,,,,,,,
0x75c17ab86592588357ebe8f116dab73c6a531ec20a5b23a1f57ae7d85dbb3549,Erigon,4.5,186.0,196.0,829.0,777.0,,,,
0xe05c110f8480f685c1918cf8ebdc592f92a2012f3f40bbf8568161d665136040,Espacio Cripto,,,,,,,,,
