project_id,project_name,applicant_type,applicant_address,applicant_ens,award_result,median_amount_result,ballot_result,quorum_result,included_in_ballots,included_in_lists,lists_min_amount,lists_quartile_1_amount,lists_median_amount,lists_quartile_3_amount,lists_max_amount,funding_reported_total,funding_reported_usd,funding_reported_op,vc_funding,has_token,impact_category
0x9f375d025498e4a6e457e9bbd517f1c75395fbc521bb3300f85b02ed6cbbe5d1,roll-op,PROJECT,0x576F1E53afe5e99b2257258C7E3248d3a1822548,norswap.eth,74534.46,75000,55,true,55,5,31162,40581,72402.23,2180000,4285000,67500,0,50000,,,DEVELOPER_ECOSYSTEM|OP_STACK
0xa41c1671630bb1c1474b3ec7fecf4fc13f3bb292d29620a83878dfcd66ed4006,TypeChain / DethCode,PROJECT,0xb41c548387CF11dC6553CD134C76754D5820EBe1,,124224.11,125000,55,true,55,7,59836,125000,150000,210000,400000,6066720.45,0,4493867,,,DEVELOPER_ECOSYSTEM
0x29a3d9a092906a2b2cbe6e979b3d56f3a88047a9b2b5647ed8f8d40783cd5edf,EthStaker,PROJECT,0xD165df4296C85e780509fa1eace0150d945d49Fd,,81987.91,82500,54,true,54,9,0,11090,75000,100000,175000,0,0,0,,,END_USER_EXPERIENCE_AND_ADOPTION
0xdc0face64ba51ddef44e2735f61245b27d54351a77d1a838b15d447e5ac6fcd0,Cannon,PROJECT,0x07Aeeb7E544A070a2553e142828fb30c214a1F86,noahlitvin.eth,99379.28,100000,54,true,54,9,25000,87500,150000,200000,248625,189270,0,140200,,,DEVELOPER_ECOSYSTEM
0x5e97794e6f3b8af9c3b97da269e51387e788cb4b3c609d708aaa668538ef1de2,Ultra Sound Money,PROJECT,0xa8dbd44FAFD2D795700693cdA7f5275714eBE075,,54658.61,55000,54,true,54,6,50000,50809,87500,100000,123561,10000,10000,0,,,END_USER_EXPERIENCE_AND_ADOPTION|OP_STACK
0xcab1256cd3698caa9028d2bd357d50587a5876530cc310b890051df99f626a76,DappRadar,PROJECT,0xE416dE13e7859Ba860de0DE3563dA1e4e97dbd97,nmaison.eth,76445.53,76923,54,true,54,9,41360,76908,100000,116174,139852,121800,121800,0,7320000,false,END_USER_EXPERIENCE_AND_ADOPTION
0x6ae2bf87fcbddb4d715add72ea987fcb9537ec19e3f859befeebeed533144e73,Synthetix,PROJECT,0x7B66b603347038CCAd178387c696660bcdcB14d7,,99379.28,100000,54,true,54,12,76923,175000,310000,408367.345,600000,12150000,0,9000000,36000000,true,DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION|OP_STACK
0x12da34c1a3904b0f73945a9d7babe8f5182000b737a7da1fc3777554589a2191,Immunefi,PROJECT,0x6c79837a6f08e1DF4a2971795f67A1849c122a05,,129193.07,130000,53,true,53,4,31162,50234.5,135657.5,228504,255000,418500,0,310000,24000000,false,COLLECTIVE_GOVERNANCE|DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION|OP_STACK
0x258d37e997650d7c83eba44f7210224fdb2afbf331e6e6dedb8bf6e83c75645c,Funding the Commons,PROJECT,0x576edCed7475D8F64a5e2D5227c93Ca57d7f5d20,fundingthecommons.eth,92656.28,93235,53,true,53,5,10000,28261.5,49505,196785.1,300335.2,225189,225189,0,,,COLLECTIVE_GOVERNANCE|DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION
0xaee5d6c20a44b769b67767b8e691476d87b0b644784f635664c3f133c63e822b,Keccak hashing,PROJECT,0x63527768F33f47482a893818d01F0218ee113Ba8,,81987.91,82500,52,true,52,4,0,12500,27459,114959,200000,84832.3179405,0,62838.75403,,,OP_STACK
0xcec7aea98b44a9e53c771a33664e9349c0cfd6d9bb769a40c2acb8baf1a3beb1,Coordinape,PROJECT,0xd06D692B8e283b7b7bBD56Ca946Ad46c21879Ff0,coordineoape.eth,99379.28,100000,52,true,52,10,33972,100000,167500,884956,1000000,76215,8715,50000,,,END_USER_EXPERIENCE_AND_ADOPTION
0xa9833d02614a828dbce1c5a02c8c0bfd809fa0399db60f3ab9692a8421f01307,BrightID,PROJECT,0x4B8810b079eb22ecF2D1f75E08E0AbbD6fD87dbF,,74534.46,75000,52,true,52,6,75000,75000,100000,150000,1000000,761002,761002,0,,,DEVELOPER_ECOSYSTEM|END_USER_EXPERIENCE_AND_ADOPTION
