package_name,dependency_github_url,package_source,min_version,max_version
aws-smithy-json,https://github.com/smithy-lang/smithy-rs,RUST,0.27.0-alpha,0.61.3
aws-smithy-observability,https://github.com/awslabs/smithy-rs,RUST,0.1.0,0.1.3
aws-smithy-query,https://github.com/smithy-lang/smithy-rs,RUST,0.27.0-alpha,0.61.0
aws-smithy-runtime,https://github.com/smithy-lang/smithy-rs,RUST,0.0.1,1.8.3
aws-smithy-runtime-api,https://github.com/smithy-lang/smithy-rs,RUST,0.0.1,1.8.0
aws-smithy-types,https://github.com/smithy-lang/smithy-rs,RUST,0.27.0-alpha,1.3.1
aws-smithy-xml,https://github.com/smithy-lang/smithy-rs,RUST,0.27.0-alpha,0.61.0
aws-types,https://github.com/smithy-lang/smithy-rs,RUST,0.0.22-alpha,1.3.7
axum,https://github.com/tokio-rs/axum,RUST,0.0.0,0.8.4
axum-core,https://github.com/tokio-rs/axum,RUST,0.0.0,0.5.2
axum-extra,https://github.com/tokio-rs/axum,RUST,0.1.0,0.11.0
backon,https://github.com/xuanwo/backon,RUST,0.4.4,1.5.0
backtrace,https://github.com/rust-lang/backtrace-rs,RUST,0.1.0,0.3.75
base-x,https://github.com/orkon/base-x-rs,RUST,0.1.0,0.2.11
base16ct,https://github.com/rustcrypto/formats,RUST,0.0.0,0.2.0
base64,https://github.com/marshallpierce/rust-base64,RUST,0.1.0,0.22.1
base64-simd,https://github.com/nugine/simd,RUST,0.5.0,0.8.0
base64ct,https://github.com/rustcrypto/formats,RUST,0.0.0,1.7.3
basic-cookies,https://github.com/drjokepu/basic-cookies,RUST,0.1.0,0.1.5
bech32,https://github.com/rust-bitcoin/rust-bech32,RUST,0.1.0,0.11.0
beef,https://github.com/maciejhirsz/beef,RUST,0.1.0,0.5.2
bimap,https://github.com/billyrieger/bimap-rs,RUST,0.1.0,0.6.3
bincode,https://github.com/bincode-org/bincode,RUST,0.0.1,2.0.1
bincode_derive,https://github.com/bincode-org/bincode,RUST,2.0.0-alpha.0,2.0.1
bindgen,https://github.com/rust-lang/rust-bindgen,RUST,0.0.2,0.71.1
binstring,https://github.com/jedisct1/rust-binstring,RUST,0.1.3,0.1.6
bit-set,https://github.com/contain-rs/bit-set,RUST,0.1.0,0.8.0
bit-vec,https://github.com/contain-rs/bit-vec,RUST,0.1.0,0.8.0
