name,githubProjectLink,OSOName,categoryHasOsoName,repo_name_with_owner,repo_owner,repo_name,is_org,verified_oso_name,fork_count,star_count,created_at,updated_at,status
NFT.Storage - Long-Term Storage Flagship Product,https://github.com/nftstorage/NFT.Storage-Flagship-Preservation-Public-Good,https://www.opensource.observer/projects/nftstorage,True,nftstorage/nft.storage-flagship-preservation-public-good,nftstorage,nft.storage-flagship-preservation-public-good,False,nftstorage,0,2,2024-03-06 08:33:09+00:00,2024-10-07 05:48:14+00:00,1_oso_match_by_github_repo
NFT.Storage: Education & Outreach Initiatives,https://github.com/nftstorage/NFT.Storage-Flagship-Preservation-Public-Good,,False,nftstorage/nft.storage-flagship-preservation-public-good,nftstorage,nft.storage-flagship-preservation-public-good,False,nftstorage,0,2,2024-03-06 08:33:09+00:00,2024-10-07 05:48:14+00:00,1_oso_match_by_github_repo
QUADB,https://github.com/nijoe1/QUADB,quadb-nijoe1,True,nijoe1/quadb,nijoe1,quadb,False,quadb-nijoe1,0,0,2024-07-13 11:51:26+00:00,2024-11-02 14:02:23+00:00,1_oso_match_by_github_repo
HashKing- Fil Staking,https://github.com/NodeDAO/HashKing-FIL,NodeDAO,True,nodedao/hashking-fil,nodedao,hashking-fil,False,nodedao,1,1,2023-05-26 09:35:30+00:00,2024-05-24 03:55:53+00:00,1_oso_match_by_github_repo
Open Source Observer,https://github.com/opensource-observer/oso,,False,opensource-observer/oso,opensource-observer,oso,False,opensource-observer,16,73,2023-07-25 20:41:57+00:00,2024-11-20 15:56:19+00:00,1_oso_match_by_github_repo
"ProbeLab (probelab.io): building tools for P2P layer monitoring, measurements and analytics",https://github.com/probe-lab/hermes,hermes-probe-lab,True,probe-lab/hermes,probe-lab,hermes,False,hermes-probe-lab,5,29,2023-11-30 15:20:09+00:00,2024-11-14 07:57:50+00:00,1_oso_match_by_github_repo
Old Faithful,https://github.com/rpcpool/yellowstone-faithful,,True,rpcpool/yellowstone-faithful,rpcpool,yellowstone-faithful,False,yellowstone-faithful-rpcpool,17,86,2023-05-12 05:22:36+00:00,2024-11-18 08:23:51+00:00,1_oso_match_by_github_repo
Solana Ledger on Filecoin,https://github.com/rpcpool/yellowstone-faithful,,True,rpcpool/yellowstone-faithful,rpcpool,yellowstone-faithful,False,yellowstone-faithful-rpcpool,17,86,2023-05-12 05:22:36+00:00,2024-11-18 08:23:51+00:00,1_oso_match_by_github_repo
Farcaster,https://github.com/s0nik42/lotus-farcaster,,False,s0nik42/lotus-farcaster,s0nik42,lotus-farcaster,False,lotus-farcaster-s0nik42,68,98,2020-10-27 10:43:17+00:00,2024-10-20 17:17:14+00:00,1_oso_match_by_github_repo
Network Health Dashboard,  https://github.com/starboard-ventures/filecoin-network-health-dashboard,,False,starboard-ventures/filecoin-network-health-dashboard,starboard-ventures,filecoin-network-health-dashboard,False,starboard-ventures,0,1,2022-11-19 13:13:58+00:00,2023-12-29 07:13:39+00:00,1_oso_match_by_github_repo
Drand-RS,https://github.com/storswiftlabs/drand-rs,,True,storswiftlabs/drand-rs,storswiftlabs,drand-rs,False,storswiftlabs,1,2,2024-09-29 23:55:37+00:00,2024-10-15 03:25:17+00:00,1_oso_match_by_github_repo
Curio Dashboard,https://github.com/strahe/curio-dashboard,curio-dashboard-strahe,True,strahe/curio-dashboard,strahe,curio-dashboard,False,curio-dashboard-strahe,0,0,2024-08-27 14:12:29+00:00,2024-11-20 14:22:37+00:00,1_oso_match_by_github_repo
Filecoin Extend (Sector Renewal Tool),https://github.com/strahe/extend,filecoin-extend-strahe,True,strahe/extend,strahe,extend,False,filecoin-extend-strahe,0,0,2024-05-09 07:50:08+00:00,2024-11-13 09:12:34+00:00,1_oso_match_by_github_repo
The Green Hosting Offer,https://github.com/twinquasar/green,,True,twinquasar/green,twinquasar,green,False,twinquasar,0,2,2023-12-22 10:17:12+00:00,2024-05-08 18:23:06+00:00,1_oso_match_by_github_repo
Ed25519 in Web Browsers (WebTransitions.org),https://github.com/webtransitions/initiatives/,web-transitions,True,webtransitions/initiatives,webtransitions,initiatives,False,webtransitions,0,0,2024-06-18 12:13:50+00:00,2024-10-14 04:39:19+00:00,1_oso_match_by_github_repo
Womenbiz - Filecoin Impact,https://github.com/womenbiz/Filecoin,,False,womenbiz/filecoin,womenbiz,filecoin,False,womenbiz,0,0,2024-10-02 04:40:34+00:00,2024-10-22 02:46:23+00:00,1_oso_match_by_github_repo
TreeD-GPU,https://github.com/xutianyi1999/treed_gpu,,True,xutianyi1999/treed_gpu,xutianyi1999,treed_gpu,False,treed-gpu-xutianyi1999,0,6,2023-12-11 06:59:03+00:00,2024-10-22 10:31:36+00:00,1_oso_match_by_github_repo
Beryx Filecoin API,https://github.com/Zondax/rfpg-beryx-api,,True,zondax/rfpg-beryx-api,zondax,rfpg-beryx-api,False,zondax,0,0,2024-11-04 19:56:35+00:00,2024-11-07 13:14:27+00:00,1_oso_match_by_github_repo
Beryx Explorer,https://github.com/Zondax/web-beryx-explorer,,True,zondax/web-beryx-explorer,zondax,web-beryx-explorer,False,zondax,1,4,2024-02-22 00:50:47+00:00,2024-11-06 16:15:48+00:00,1_oso_match_by_github_repo
Filecoin Ledger App & Installation Hub,https://github.com/Zondax/web-hub,,True,zondax/web-hub,zondax,web-hub,False,zondax,0,0,2024-11-04 20:00:35+00:00,2024-11-04 21:52:53+00:00,1_oso_match_by_github_repo
Certifiably Green Filecoin Storage Initiative by DCENT,https://github.com/cryptowhizzard,,False,cryptowhizzard,cryptowhizzard,,True,cryptowhizzard,4,4,2018-08-27 11:08:03+00:00,2024-11-15 15:12:52+00:00,2_oso_match_by_github_org
DeFinomics Labs,https://github.com/Definomics-Labs,,False,definomics-labs,definomics-labs,,True,definomics-labs,0,0,2022-11-30 23:28:46+00:00,2024-10-15 02:19:57+00:00,2_oso_match_by_github_org
ETHGlobal,https://github.com/ethglobal,,False,ethglobal,ethglobal,,True,ethglobal,23,40,2018-09-18 20:40:37+00:00,2024-10-07 18:09:31+00:00,2_oso_match_by_github_org
FIL Builder Community,https://github.com/orgs/FIL-Builders,,False,fil-builders,fil-builders,,True,fil-builders,9,19,2024-06-24 22:59:32+00:00,2024-11-18 20:04:47+00:00,2_oso_match_by_github_org
Filecoin On-chain Developer Experience,https://github.com/orgs/FIL-Builders,fil-builders,True,fil-builders,fil-builders,,True,fil-builders,9,19,2024-06-24 22:59:32+00:00,2024-11-18 20:04:47+00:00,2_oso_match_by_github_org
Filecoin Station,https://github.com/filecoin-station,,False,filecoin-station,filecoin-station,,True,filecoin-station,31,149,2022-02-09 11:33:25+00:00,2024-11-20 16:45:35+00:00,2_oso_match_by_github_org
FILLiquid,https://github.com/FILL-Lab,FILL-Lab,True,fill-lab,fill-lab,,True,fill-lab,2,8,2023-01-21 04:25:46+00:00,2024-10-10 07:37:53+00:00,2_oso_match_by_github_org
Storage Onboarding R&D,https://github.com/FilOzone,,False,filozone,filozone,,True,filozone,40,106,2022-11-03 16:50:24+00:00,2024-11-21 01:16:48+00:00,2_oso_match_by_github_org
Filecoin wallet FiveToken,https://github.com/FiveToken,FiveToken,True,fivetoken,fivetoken,,True,fivetoken,26,19,2021-06-01 08:23:07+00:00,2024-10-15 10:57:42+00:00,2_oso_match_by_github_org
Funding the Commons,https://github.com/fundingthecommons,,False,fundingthecommons,fundingthecommons,,True,fundingthecommons,2,1,2022-04-07 19:57:53+00:00,2024-10-21 14:09:44+00:00,2_oso_match_by_github_org
Lighthouse,https://github.com/lighthouse-web3/,https://www.opensource.observer/projects/lighthouse-web3,True,lighthouse-web3,lighthouse-web3,,True,lighthouse-web3,41,70,2021-11-06 04:04:40+00:00,2024-11-20 19:00:58+00:00,2_oso_match_by_github_org
Randamu,https://github.com/randa-mu,drand,True,randa-mu,randa-mu,,True,drand,4,0,2022-12-24 12:46:54+00:00,2024-11-12 09:06:37+00:00,2_oso_match_by_github_org
Data123 (Full Archival History Node Service),https://github.com/storswiftlabs,,True,storswiftlabs,storswiftlabs,,True,storswiftlabs,15,37,2020-04-15 01:52:48+00:00,2024-10-15 03:25:17+00:00,2_oso_match_by_github_org
Titan Network,https://github.com/Titannet-dao,titannetwork,True,titannet-dao,titannet-dao,,True,titannet-dao,49,84,2023-04-14 01:43:25+00:00,2024-11-19 10:23:39+00:00,2_oso_match_by_github_org
UCAN Working Group,https://github.com/ucan-wg,,True,ucan-wg,ucan-wg,,True,ucan-wg,74,515,2020-09-03 04:15:50+00:00,2024-11-20 15:11:11+00:00,2_oso_match_by_github_org
fil-minerinfo-SafeMatrix,https://github.com/freedomhz/RPGF-filminerfnfo,fil-miner-management,True,freedomhz/rpgf-filminerfnfo,freedomhz,rpgf-filminerfnfo,False,fil-miner-management,0,0,2024-10-28 08:30:52+00:00,2024-10-28 08:36:18+00:00,3_oso_match_by_project_name
Data Horizon,https://github.com/herrehesse/datahorizon,https://github.com/cryptowhizzard,True,herrehesse/datahorizon,herrehesse,datahorizon,False,cryptowhizzard,4,4,2018-08-27 11:08:03+00:00,2024-11-15 15:12:52+00:00,3_oso_match_by_project_name
ChainSafe Filecoin Community Services,https://github.com/ChainSafe/filecoin-community-services,,True,chainsafe/filecoin-community-services,chainsafe,filecoin-community-services,False,,,,,,4_could_not_match_to_oso
Chainup Cloud (Filecoin Public RPC) - Updated (4 Nov 2024),https://github.com/chainupcloud,chainupcloud,True,chainupcloud,chainupcloud,,True,,,,,,4_could_not_match_to_oso
RIBS,https://github.com/FILCAT/ribs,,True,filcat/ribs,filcat,ribs,False,,,,,,4_could_not_match_to_oso
iso-filecoin,https://github.com/hugomrdias/filecoin,,True,hugomrdias/filecoin,hugomrdias,filecoin,False,,,,,,4_could_not_match_to_oso
Filecoin BlockChain explorer,https://github.com/ipfs-force-community/filscan-backend,ipfs-force-community-filescan,True,ipfs-force-community/filscan-backend,ipfs-force-community,filscan-backend,False,,,,,,4_could_not_match_to_oso
Prolly Tree Indexed Data Oracle for IPLD,https://github.com/KenCloud-Tech/prolly-tree-oracle,,True,kencloud-tech/prolly-tree-oracle,kencloud-tech,prolly-tree-oracle,False,,,,,,4_could_not_match_to_oso
StorageStats Retrieve,https://github.com/NDLABS-Leo/RPGF2---NDLabs-storagestats,storagestats,True,ndlabs-leo/rpgf2---ndlabs-storagestats,ndlabs-leo,rpgf2---ndlabs-storagestats,False,,,,,,4_could_not_match_to_oso
TDrive,https://github.com/ttsszzyy/tdrive.git,,True,ttsszzyy/tdrive,ttsszzyy,tdrive,False,,,,,,4_could_not_match_to_oso
