date,forecasted_transaction_cnt,forecasted_active_users,forecasted_unique_users,forecasted_total_op_transferred,forecasted_cum_op_transferred_in_tokens
2024-11-24,9.350086961476455,5.903632777387538,6.112188836405345,2579725317.1830864,-15039.09730570297
2024-11-25,10.468160077679805,8.037811128041172,4.895681515651447,14559603626.540052,-14988.2690779832
2024-11-26,9.568262407165305,4.078630097928056,4.847803780017925,2659652695.207236,-15006.322145663522
2024-11-27,5.739573867687161,4.822673091190965,7.6956863983179575,8530457710.475858,-15078.079281019149
2024-11-28,7.668800243248366,8.343869830719346,8.03780302418365,12667918993.759726,-15132.70187941464
2024-11-29,7.951461933363163,3.817928926927863,6.275687493347441,14225584652.486637,-14983.68795113001
2024-11-30,5.4700505866077425,4.294882235232384,7.933290101072587,164093324.84770954,-15014.77045165991
2024-12-01,6.897694720509817,5.052135581777229,8.393313553042772,83662408430.72885,-15024.543273586753
2024-12-02,5.887886977189563,6.319519642853315,5.726128634296637,338146586.93454957,-15038.619656017734
2024-12-03,7.293690716383599,6.13576770047314,3.9127792396870924,6974174423.503033,-14980.797102711353
2024-12-04,6.709230718525904,7.054880818952392,7.681752220528699,6823839892.4917345,-15145.496028679207
2024-12-05,7.781296072800946,4.400839314918984,5.717285915660893,9685521749.088879,-15107.755194676154
2024-12-06,8.251167240076908,5.384410501813189,5.612035732397084,11632383211.150455,-14908.235689657742
2024-12-07,11.34435066361111,7.965656384162023,4.400716027693696,12802574042.7587,-15013.491906127347
2024-12-08,6.285440414738104,7.94070074255993,3.930047416004223,75012226874.0979,-15031.675096952073
2024-12-09,9.098280923827112,8.874816623328702,7.493316081590808,6666125186.344559,-15054.712979472317
2024-12-10,7.931280644952002,9.834392553835308,6.323902247872332,715960865.4247472,-15085.019147182382
2024-12-11,1.8386472832869052,6.824706080266582,4.953370390566845,486004411.919056,-15074.92322666242
2024-12-12,9.016724632490934,9.252537933209096,6.616233329054857,3367117118.991115,-15048.147972105828
2024-12-13,12.421952613298547,4.465599876140834,5.055000399743468,834286055.9012873,-15070.453377460715
2024-12-14,8.832615629275642,6.384388769787593,5.005194867749444,1707251097.3471053,-15088.197765215855
2024-12-15,10.81315139227748,6.354082727594806,5.2747182327638145,33784059665.691166,-15078.61422714185
2024-12-16,5.81378911845215,8.205895639697987,4.553506642956243,6791029396.50393,-15012.642270344404
2024-12-17,7.800640421805065,6.692070142021952,5.315419914278942,4913545070.484533,-15031.003992790356
2024-12-18,8.561363922524851,5.450200954842564,5.395848870957069,5037865383.668776,-14995.68530493669
2024-12-19,10.914837508011445,5.23086267355751,5.544113225524554,5297898259.24218,-15077.855390131777
2024-12-20,6.081872616960835,5.648871464438859,5.586157963867605,7954789428.411264,-15152.711548347068
2024-12-21,5.083436524147065,7.03970012648245,5.728679182542353,6250740850.483759,-15062.161524572988
2024-12-22,10.969343149832403,7.226194018569446,6.464374850546729,9452039277.784555,-15048.571968723658
2024-12-23,5.267014112610531,6.876302400901992,5.792675650534645,9980500493.475267,-15061.088557151636
2024-12-24,7.324785364202424,8.811274524046908,6.210620330942777,1872214697.0465906,-15071.76067080177
2024-12-25,6.826580012277875,5.8776655655272885,4.176449191082953,19634404595.581493,-15045.053971627516
2024-12-26,5.923027676703117,4.58873532484412,6.344188871283604,12379646187.541496,-15115.68908004004
2024-12-27,7.5567010657603255,5.358549593335269,5.24220812517883,25177507211.087677,-15105.782751995961
2024-12-28,5.484810399957101,8.315010179173573,5.454279191148853,23845375552.44467,-15137.40664173631
2024-12-29,8.459625894409347,8.606059181888462,6.990475207842577,37132550524.995514,-15075.8405046594
