date,token,value,readable_date
1716508800,WETH,1923517.9702,2024-05-24 00:00:00
1716508800,WSTETH,1370244.60982,2024-05-24 00:00:00
1716595200,OP,1020451.96785,2024-05-25 00:00:00
1716595200,SNX,36417.42736,2024-05-25 00:00:00
1716595200,WETH,1872574.64074,2024-05-25 00:00:00
1716595200,WSTETH,1398353.39144,2024-05-25 00:00:00
1716681600,OP,1016537.19212,2024-05-26 00:00:00
1716681600,SNX,36795.46294,2024-05-26 00:00:00
1716681600,WETH,1877231.36513,2024-05-26 00:00:00
1716681600,WSTETH,1402743.09141,2024-05-26 00:00:00
1716768000,OP,1017662.41212,2024-05-27 00:00:00
1716768000,SNX,37677.54596,2024-05-27 00:00:00
1716768000,WETH,1926831.24432,2024-05-27 00:00:00
1716768000,WSTETH,1442782.85854,2024-05-27 00:00:00
1716854400,OP,1040627.27673,2024-05-28 00:00:00
1716854400,SNX,39567.72385,2024-05-28 00:00:00
1716854400,WETH,1950490.81277,2024-05-28 00:00:00
1716854400,WSTETH,1589551.95505,2024-05-28 00:00:00
1716940800,OP,1025588.06393,2024-05-29 00:00:00
1716940800,SNX,44997.06596,2024-05-29 00:00:00
1716940800,WETH,1924197.22414,2024-05-29 00:00:00
1716940800,WSTETH,1641504.86763,2024-05-29 00:00:00
1717027200,OP,1029053.49405,2024-05-30 00:00:00
1717027200,SNX,43492.14736,2024-05-30 00:00:00
1717027200,WETH,1882514.57039,2024-05-30 00:00:00
1717027200,WSTETH,1613246.10544,2024-05-30 00:00:00
1717113600,OP,1029045.04921,2024-05-31 00:00:00
1717113600,SNX,41836.73691,2024-05-31 00:00:00
1717113600,WETH,1868471.38193,2024-05-31 00:00:00
1717113600,WSTETH,1603436.63034,2024-05-31 00:00:00
1717200000,OP,1029045.04921,2024-06-01 00:00:00
1717200000,SNX,42890.17992,2024-06-01 00:00:00
1717200000,WETH,1854169.40511,2024-06-01 00:00:00
1717200000,WSTETH,1618504.71751,2024-06-01 00:00:00
1717286400,OP,1028301.04921,2024-06-02 00:00:00
1717286400,SNX,43642.63922,2024-06-02 00:00:00
1717286400,WETH,1868033.26078,2024-06-02 00:00:00
1717286400,WSTETH,1629916.71246,2024-06-02 00:00:00
1717372800,OP,967667.98196,2024-06-03 00:00:00
1717372800,SNX,41234.76947,2024-06-03 00:00:00
1717372800,WETH,1860408.25541,2024-06-03 00:00:00
1717372800,WSTETH,1620793.7913,2024-06-03 00:00:00
1717459200,OP,979204.11148,2024-06-04 00:00:00
1717459200,SNX,39579.35902,2024-06-04 00:00:00
1717459200,WETH,1850223.62829,2024-06-04 00:00:00
1717459200,WSTETH,1616413.86949,2024-06-04 00:00:00
1717545600,OP,1173848.44996,2024-06-05 00:00:00
1717545600,SNX,41385.26133,2024-06-05 00:00:00
1717545600,WETH,1824945.78939,2024-06-05 00:00:00
1717545600,WSTETH,1626289.50591,2024-06-05 00:00:00
1717632000,OP,1197857.60948,2024-06-06 00:00:00
1717632000,SNX,42137.72063,2024-06-06 00:00:00
1717632000,WETH,1839577.78414,2024-06-06 00:00:00
1717632000,WSTETH,1694094.9983,2024-06-06 00:00:00
1717718400,OP,1185298.684,2024-06-07 00:00:00
1717718400,RETH,924.94128,2024-06-07 00:00:00
1717718400,SNX,41234.76947,2024-06-07 00:00:00
1717718400,WETH,1818028.93332,2024-06-07 00:00:00
1717718400,WSTETH,1674200.05285,2024-06-07 00:00:00
1717804800,OP,1083021.9348,2024-06-08 00:00:00
1717804800,RETH,6932.05013,2024-06-08 00:00:00
1717804800,SNX,37923.94856,2024-06-08 00:00:00
1717804800,WETH,1843082.27035,2024-06-08 00:00:00
1717804800,WSTETH,1590409.48598,2024-06-08 00:00:00
1717891200,OP,1029270.38866,2024-06-09 00:00:00
1717891200,RETH,6906.79252,2024-06-09 00:00:00
1717891200,SNX,35666.57067,2024-06-09 00:00:00
1717891200,WETH,1795649.33663,2024-06-09 00:00:00
1717891200,WSTETH,1575982.06733,2024-06-09 00:00:00
1717977600,OP,1070649.10877,2024-06-10 00:00:00
1717977600,RETH,6975.72933,2024-06-10 00:00:00
1717977600,SNX,36569.52183,2024-06-10 00:00:00
1717977600,WETH,1819366.60689,2024-06-10 00:00:00
1717977600,WSTETH,1591155.0049,2024-06-10 00:00:00
1718064000,OP,1042406.57615,2024-06-11 00:00:00
1718064000,RETH,6907.67459,2024-06-11 00:00:00
1718064000,SNX,33577.55439,2024-06-11 00:00:00
1718064000,WETH,1808516.9865,2024-06-11 00:00:00
1718064000,WSTETH,1574573.26675,2024-06-11 00:00:00
1718150400,OP,966435.27382,2024-06-12 00:00:00
1718150400,RETH,5731.95252,2024-06-12 00:00:00
1718150400,SNX,31470.1765,2024-06-12 00:00:00
1718150400,WETH,1735021.70622,2024-06-12 00:00:00
1718150400,WSTETH,1507147.81259,2024-06-12 00:00:00
