,Devtool Project,Devtool URL,Onchain Builder,List of Packages Used by Project,Total Package Dependents in OSO,Total Package Dependents in RF4,Devtool Star Count,Devtool Fork Count,Devtool Created Date,Devtool Language,License
174,Paul Miller,https://github.com/paulmillr/noble-curves,Smol Dapp,@noble/curves,1579,146,734,69,2022-12-03,JavaScript,MIT License
166,Rainbow,https://github.com/rainbow-me/rainbowkit,Smol Dapp,@rainbow-me/rainbowkit,536,59,2508,692,2021-08-04,MDX,MIT License
177,Rollup,https://github.com/rollup/rollup,Smol Dapp,rollup,1820,108,25560,1548,2015-05-14,JavaScript,Other
167,Safe,https://github.com/safe-global/safe-apps-sdk,Smol Dapp,"@safe-global/safe-apps-provider, @safe-global/safe-apps-sdk",767,82,279,138,2020-04-17,TypeScript,MIT License
168,Safe,https://github.com/safe-global/safe-gateway-typescript-sdk,Smol Dapp,@safe-global/safe-gateway-typescript-sdk,764,82,21,24,2021-07-07,TypeScript,MIT License
187,Solana Labs,https://github.com/solana-labs/solana-web3.js,Smol Dapp,@solana/web3.js,1072,83,2384,925,2018-08-22,TypeScript,MIT License
176,UnJS,https://github.com/unjs/crossws,Smol Dapp,crossws,646,72,439,18,2023-12-07,TypeScript,Other
169,Wallet Connect,https://github.com/walletconnect/walletconnect-monorepo,Smol Dapp,"@walletconnect/core, @walletconnect/ethereum-provider, @walletconnect/legacy-modal, @walletconnect/legacy-provider, @walletconnect/types, @walletconnect/universal-provider, @walletconnect/utils",1365,103,1495,732,2018-08-26,TypeScript,Apache License 2.0
170,Wallet Connect,https://github.com/walletconnect/walletconnect-utils,Smol Dapp,"@walletconnect/crypto, @walletconnect/encoding, @walletconnect/environment, @walletconnect/events, @walletconnect/heartbeat, @walletconnect/jsonrpc-http-connection, @walletconnect/jsonrpc-provider, @walletconnect/jsonrpc-types, @walletconnect/jsonrpc-utils, @walletconnect/jsonrpc-ws-connection, @walletconnect/keyvaluestorage, @walletconnect/logger, @walletconnect/randombytes, @walletconnect/relay-api, @walletconnect/relay-auth, @walletconnect/safe-json, @walletconnect/time, @walletconnect/window-getters, @walletconnect/window-metadata",1305,104,117,80,2021-07-08,TypeScript,MIT License
186,Webpack,https://github.com/webpack/enhanced-resolve,Smol Dapp,enhanced-resolve,2183,118,946,192,2012-08-13,JavaScript,MIT License
171,ethers.js,https://github.com/ethers-io/ethers.js,Smol Dapp,"@ethersproject/abi, @ethersproject/abstract-provider, @ethersproject/abstract-signer, @ethersproject/address, @ethersproject/base64, @ethersproject/basex, @ethersproject/bignumber, @ethersproject/bytes, @ethersproject/constants, @ethersproject/contracts, @ethersproject/hash, @ethersproject/hdnode, @ethersproject/json-wallets, @ethersproject/keccak256, @ethersproject/logger, @ethersproject/networks, @ethersproject/pbkdf2, @ethersproject/properties, @ethersproject/providers, @ethersproject/random, @ethersproject/rlp, @ethersproject/sha2, @ethersproject/signing-key, @ethersproject/solidity, @ethersproject/strings, @ethersproject/transactions, @ethersproject/units, @ethersproject/wallet, @ethersproject/web, @ethersproject/wordlists, ethers",2552,180,8086,1925,2016-07-16,TypeScript,MIT License
188,import-js,https://github.com/import-js/eslint-import-resolver-typescript,Smol Dapp,eslint-import-resolver-typescript,1262,89,747,64,2017-09-24,TypeScript,ISC License
180,swc,https://github.com/swc-project/swc,Smol Dapp,@swc/helpers,1424,105,31569,1254,2017-12-22,Rust,Apache License 2.0
185,typescript-eslint,https://github.com/typescript-eslint/typescript-eslint,Smol Dapp,"@typescript-eslint/eslint-plugin, @typescript-eslint/parser, @typescript-eslint/scope-manager, @typescript-eslint/type-utils, @typescript-eslint/types, @typescript-eslint/typescript-estree, @typescript-eslint/utils, @typescript-eslint/visitor-keys",2399,144,15470,2764,2019-01-13,TypeScript,MIT License
172,wevm,https://github.com/wevm/abitype,Smol Dapp,abitype,1121,107,498,48,2022-08-03,TypeScript,MIT License
173,wevm,https://github.com/wevm/isows,Smol Dapp,isows,811,94,49,5,2023-10-08,TypeScript,Other
201,Arda TANRIKULU,https://github.com/ardatan/graphql-tools,Sound.xyz,@graphql-tools/utils,684,50,5364,822,2016-03-22,TypeScript,MIT License
199,Babel,https://github.com/babel/babel,Sound.xyz,"@babel/code-frame, @babel/helper-validator-identifier, @babel/highlight, @babel/runtime",3014,168,43379,5661,2014-09-28,TypeScript,MIT License
196,DefinitelyTyped,https://github.com/definitelytyped/definitelytyped,Sound.xyz,"@types/fs-extra, @types/is-ci, @types/istanbul-lib-coverage, @types/minimist, @types/node, @types/normalize-package-data, @types/prettier, @types/react, @types/react-dom, @types/semver, @types/ws",3187,186,49096,30292,2012-10-05,TypeScript,Other
195,ESLint,https://github.com/eslint/js,Sound.xyz,"eslint-scope, eslint-visitor-keys",2722,153,2301,207,2014-12-06,JavaScript,"BSD 2-Clause ""Simplified"" License"
200,Facebook Open Source,https://github.com/facebook/react,Sound.xyz,"react, react-dom",2629,151,231896,47467,2013-05-24,JavaScript,MIT License
197,Fastify,https://github.com/fastify/fastify-cors,Sound.xyz,@fastify/cors,83,7,426,59,2018-08-11,JavaScript,MIT License
189,Prettier Solidity,https://github.com/prettier-solidity/prettier-plugin-solidity,Sound.xyz,prettier-plugin-solidity,1095,117,731,75,2018-05-15,Solidity,MIT License
194,Rollup,https://github.com/rollup/rollup,Sound.xyz,rollup,1820,108,25560,1548,2015-05-14,JavaScript,Other
190,Solhint,https://github.com/protofire/solhint,Sound.xyz,solhint,1014,111,1055,172,2017-10-16,JavaScript,MIT License
191,ethers.js,https://github.com/ethers-io/ethers.js,Sound.xyz,"@ethersproject/abi, @ethersproject/abstract-provider, @ethersproject/abstract-signer, @ethersproject/address, @ethersproject/base64, @ethersproject/basex, @ethersproject/bignumber, @ethersproject/bytes, @ethersproject/constants, @ethersproject/contracts, @ethersproject/hash, @ethersproject/hdnode, @ethersproject/json-wallets, @ethersproject/keccak256, @ethersproject/logger, @ethersproject/networks, @ethersproject/pbkdf2, @ethersproject/properties, @ethersproject/providers, @ethersproject/random, @ethersproject/rlp, @ethersproject/sha2, @ethersproject/signing-key, @ethersproject/solidity, @ethersproject/strings, @ethersproject/transactions, @ethersproject/units, @ethersproject/wallet, @ethersproject/web, @ethersproject/wordlists, ethers",2552,180,8086,1925,2016-07-16,TypeScript,MIT License
198,pnpm,https://github.com/pnpm/pnpm,Sound.xyz,"@pnpm/constants, @pnpm/error, @pnpm/exportable-manifest, @pnpm/graceful-fs, @pnpm/read-project-manifest, @pnpm/types, @pnpm/write-project-manifest",64,6,30644,1061,2016-01-28,TypeScript,MIT License
192,wevm,https://github.com/wevm/viem,Sound.xyz,viem,978,106,2715,962,2022-07-22,TypeScript,Other
193,wevm,https://github.com/wevm/wagmi,Sound.xyz,wagmi,889,92,6153,1124,2021-11-23,TypeScript,MIT License
229,Coinbase,https://github.com/coinbase/coinbase-wallet-sdk,Superfluid,@coinbase/wallet-sdk,964,93,1540,613,2019-05-01,TypeScript,MIT License
202,Ethereum Miscellenia,https://github.com/ethereum/solc-js,Superfluid,solc,1799,149,1470,481,2016-04-04,TypeScript,MIT License
203,EthereumJS,https://github.com/ethereumjs/ethereumjs-monorepo,Superfluid,"@ethereumjs/common, @ethereumjs/rlp, @ethereumjs/tx, @ethereumjs/util, @nomicfoundation/ethereumjs-common, @nomicfoundation/ethereumjs-rlp, @nomicfoundation/ethereumjs-tx, @nomicfoundation/ethereumjs-util, ethereumjs-util, merkle-patricia-tree, rlp",2298,170,2631,783,2015-07-10,TypeScript,
230,Facebook Open Source,https://github.com/facebook/metro,Superfluid,"metro, metro-babel-transformer, metro-cache, metro-cache-key, metro-config, metro-core, metro-file-map, metro-minify-terser, metro-resolver, metro-runtime, metro-source-map, metro-symbolicate, metro-transform-plugins, metro-transform-worker, ob1",573,56,5285,637,2016-12-14,JavaScript,MIT License
204,Hardhat,https://github.com/nomicfoundation/hardhat,Superfluid,"@nomicfoundation/hardhat-chai-matchers, @nomicfoundation/hardhat-ethers, @nomicfoundation/hardhat-toolbox",1119,121,7470,1474,2018-04-14,TypeScript,Other
