,Devtool Project,Devtool URL,Onchain Builder,List of Packages Used by Project,Total Package Dependents in OSO,Total Package Dependents in RF4,Devtool Star Count,Devtool Fork Count,Devtool Created Date,Devtool Language,License
0,Blocknative,https://github.com/blocknative/web3-onboard,Across,"@web3-onboard/coinbase, @web3-onboard/common, @web3-onboard/core, @web3-onboard/gnosis, @web3-onboard/injected-wallets, @web3-onboard/metamask, @web3-onboard/phantom, @web3-onboard/react, @web3-onboard/walletconnect",98,16,876,527,2019-08-16,TypeScript,MIT License
26,Coinbase,https://github.com/coinbase/coinbase-wallet-sdk,Across,@coinbase/wallet-sdk,964,93,1540,613,2019-05-01,TypeScript,MIT License
1,Ethereum Miscellenia,https://github.com/ethereum/solc-js,Across,solc,1799,149,1470,481,2016-04-04,TypeScript,MIT License
2,EthereumJS,https://github.com/ethereumjs/ethereumjs-monorepo,Across,"@ethereumjs/block, @ethereumjs/blockchain, @ethereumjs/common, @ethereumjs/ethash, @ethereumjs/rlp, @ethereumjs/tx, @ethereumjs/util, @ethereumjs/vm, @nomicfoundation/ethereumjs-block, @nomicfoundation/ethereumjs-blockchain, @nomicfoundation/ethereumjs-common, @nomicfoundation/ethereumjs-ethash, @nomicfoundation/ethereumjs-evm, @nomicfoundation/ethereumjs-rlp, @nomicfoundation/ethereumjs-statemanager, @nomicfoundation/ethereumjs-trie, @nomicfoundation/ethereumjs-tx, @nomicfoundation/ethereumjs-util, @nomicfoundation/ethereumjs-vm, ethereumjs-util, merkle-patricia-tree, rlp",2298,170,2631,783,2015-07-10,TypeScript,
3,Hardhat,https://github.com/nomicfoundation/hardhat,Across,@nomicfoundation/hardhat-verify,1119,121,7470,1474,2018-04-14,TypeScript,Other
4,IPFS,https://github.com/ipfs/protons,Across,protons,653,55,34,23,2016-06-08,TypeScript,Other
5,Jolly Roger and Hardhat-deploy,https://github.com/wighawag/hardhat-deploy,Across,hardhat-deploy,737,80,1206,298,2020-03-19,TypeScript,MIT License
6,Metamask,https://github.com/metamask/core,Across,"@metamask/eth-json-rpc-provider, @metamask/json-rpc-engine, @metamask/json-rpc-middleware-stream",548,69,300,203,2018-05-29,TypeScript,MIT License
7,Metamask,https://github.com/metamask/eth-block-tracker,Across,eth-block-tracker,1705,136,131,82,2017-02-04,TypeScript,MIT License
8,OpenZeppelin,https://github.com/openzeppelin/defender-client,Across,"@openzeppelin/defender-base-client, @openzeppelin/platform-deploy-client",254,34,56,47,2020-07-09,TypeScript,MIT License
9,OpenZeppelin,https://github.com/openzeppelin/openzeppelin-contracts,Across,@openzeppelin/contracts,1773,146,25275,11910,2016-08-01,Solidity,MIT License
10,Optimism,https://github.com/ethereum-optimism/ecosystem,Across,@eth-optimism/sdk,108,17,105,55,2023-09-11,TypeScript,MIT License
11,Optimism,https://github.com/ethereum-optimism/optimism,Across,"@eth-optimism/contracts, @eth-optimism/core-utils",422,53,5915,3465,2020-02-06,Go,MIT License
24,Paul Miller,https://github.com/paulmillr/noble-curves,Across,@noble/curves,1579,146,734,69,2022-12-03,JavaScript,MIT License
12,Prettier Solidity,https://github.com/prettier-solidity/prettier-plugin-solidity,Across,prettier-plugin-solidity,1095,117,731,75,2018-05-15,Solidity,MIT License
28,Rollup,https://github.com/rollup/rollup,Across,"@rollup/rollup-android-arm-eabi, @rollup/rollup-android-arm64, @rollup/rollup-darwin-arm64, @rollup/rollup-darwin-x64, @rollup/rollup-linux-arm-gnueabihf, @rollup/rollup-linux-arm-musleabihf, @rollup/rollup-linux-arm64-gnu, @rollup/rollup-linux-arm64-musl, @rollup/rollup-linux-powerpc64le-gnu, @rollup/rollup-linux-riscv64-gnu, @rollup/rollup-linux-s390x-gnu, @rollup/rollup-linux-x64-gnu, @rollup/rollup-linux-x64-musl, @rollup/rollup-win32-arm64-msvc, @rollup/rollup-win32-ia32-msvc, @rollup/rollup-win32-x64-msvc, rollup",1820,108,25560,1548,2015-05-14,JavaScript,Other
13,Safe,https://github.com/safe-global/safe-apps-sdk,Across,"@safe-global/safe-apps-provider, @safe-global/safe-apps-sdk",767,82,279,138,2020-04-17,TypeScript,MIT License
14,Safe,https://github.com/safe-global/safe-gateway-typescript-sdk,Across,@safe-global/safe-gateway-typescript-sdk,764,82,21,24,2021-07-07,TypeScript,MIT License
25,Solana Labs,https://github.com/solana-labs/solana-program-library,Across,"@solana/spl-token, @solana/spl-token-group, @solana/spl-token-metadata, @solana/spl-type-length-value, spl-associated-token-account, spl-discriminator-derive, spl-discriminator-syn, spl-memo, spl-pod, spl-program-error, spl-program-error-derive, spl-tlv-account-resolution, spl-token, spl-token-group-interface, spl-token-metadata-interface, spl-transfer-hook-interface, spl-type-length-value",409,30,3749,2184,2020-05-29,Rust,Apache License 2.0
15,Solhint,https://github.com/protofire/solhint,Across,solhint,1014,111,1055,172,2017-10-16,JavaScript,MIT License
16,Synpress,https://github.com/synthetixio/synpress,Across,@synthetixio/synpress,51,7,625,204,2020-11-18,TypeScript,
27,UnJS,https://github.com/unjs/crossws,Across,crossws,646,72,439,18,2023-12-07,TypeScript,Other
17,Wallet Connect,https://github.com/walletconnect/walletconnect-monorepo,Across,"@walletconnect/browser-utils, @walletconnect/client, @walletconnect/core, @walletconnect/ethereum-provider, @walletconnect/iso-crypto, @walletconnect/mobile-registry, @walletconnect/qrcode-modal, @walletconnect/socket-transport, @walletconnect/types, @walletconnect/universal-provider, @walletconnect/utils",1365,103,1495,732,2018-08-26,TypeScript,Apache License 2.0
18,Wallet Connect,https://github.com/walletconnect/walletconnect-utils,Across,"@walletconnect/crypto, @walletconnect/encoding, @walletconnect/environment, @walletconnect/events, @walletconnect/heartbeat, @walletconnect/jsonrpc-http-connection, @walletconnect/jsonrpc-provider, @walletconnect/jsonrpc-types, @walletconnect/jsonrpc-utils, @walletconnect/jsonrpc-ws-connection, @walletconnect/keyvaluestorage, @walletconnect/logger, @walletconnect/randombytes, @walletconnect/relay-api, @walletconnect/relay-auth, @walletconnect/safe-json, @walletconnect/time, @walletconnect/window-getters, @walletconnect/window-metadata",1305,104,117,80,2021-07-08,TypeScript,MIT License
19,ethers.js,https://github.com/ethers-io/ethers.js,Across,"@ethersproject/abi, @ethersproject/abstract-provider, @ethersproject/abstract-signer, @ethersproject/address, @ethersproject/base64, @ethersproject/basex, @ethersproject/bignumber, @ethersproject/bytes, @ethersproject/constants, @ethersproject/contracts, @ethersproject/experimental, @ethersproject/hardware-wallets, @ethersproject/hash, @ethersproject/hdnode, @ethersproject/json-wallets, @ethersproject/keccak256, @ethersproject/logger, @ethersproject/networks, @ethersproject/pbkdf2, @ethersproject/properties, @ethersproject/providers, @ethersproject/random, @ethersproject/rlp, @ethersproject/sha2, @ethersproject/signing-key, @ethersproject/solidity, @ethersproject/strings, @ethersproject/transactions, @ethersproject/units, @ethersproject/wallet, @ethersproject/web, @ethersproject/wordlists, ethers",2552,180,8086,1925,2016-07-16,TypeScript,MIT License
20,gas-reporter,https://github.com/cgewecke/hardhat-gas-reporter,Across,hardhat-gas-reporter,1347,139,416,64,2019-06-20,TypeScript,MIT License
21,solidity-coverage,https://github.com/sc-forks/solidity-coverage,Across,solidity-coverage,1407,138,989,269,2017-05-01,JavaScript,MIT License
22,wevm,https://github.com/wevm/abitype,Across,abitype,1121,107,498,48,2022-08-03,TypeScript,MIT License
23,wevm,https://github.com/wevm/isows,Across,isows,811,94,49,5,2023-10-08,TypeScript,Other
29,zkSync Era,https://github.com/matter-labs/hardhat-zksync,Across,"@matterlabs/hardhat-zksync-deploy, @matterlabs/hardhat-zksync-solc, @matterlabs/hardhat-zksync-upgradable, @matterlabs/hardhat-zksync-verify",150,27,281,228,2021-11-17,TypeScript,Apache License 2.0
30,Alchemy,https://github.com/alchemyplatform/aa-sdk,Agora,"@aa-sdk/core, @account-kit/infra, @account-kit/logging, @account-kit/smart-contracts, @alchemy/aa-accounts, @alchemy/aa-alchemy, @alchemy/aa-core",35,6,240,140,2023-05-19,TypeScript,MIT License
58,Babel,https://github.com/babel/babel,Agora,"@babel/code-frame, @babel/compat-data, @babel/core, @babel/generator, @babel/helper-annotate-as-pure, @babel/helper-compilation-targets, @babel/helper-create-class-features-plugin, @babel/helper-create-regexp-features-plugin, @babel/helper-environment-visitor, @babel/helper-member-expression-to-functions, @babel/helper-module-imports, @babel/helper-module-transforms, @babel/helper-optimise-call-expression, @babel/helper-plugin-utils, @babel/helper-remap-async-to-generator, @babel/helper-replace-supers, @babel/helper-simple-access, @babel/helper-skip-transparent-expression-wrappers, @babel/helper-string-parser, @babel/helper-validator-identifier, @babel/helper-validator-option, @babel/helper-wrap-function, @babel/helpers, @babel/highlight, @babel/parser, @babel/plugin-proposal-async-generator-functions, @babel/plugin-proposal-class-properties, @babel/plugin-proposal-export-default-from, @babel/plugin-proposal-logical-assignment-operators, @babel/plugin-proposal-nullish-coalescing-operator, @babel/plugin-proposal-numeric-separator, @babel/plugin-proposal-object-rest-spread, @babel/plugin-proposal-optional-catch-binding, @babel/plugin-proposal-optional-chaining, @babel/plugin-syntax-async-generators, @babel/plugin-syntax-bigint, @babel/plugin-syntax-class-properties, @babel/plugin-syntax-class-static-block, @babel/plugin-syntax-dynamic-import, @babel/plugin-syntax-export-default-from, @babel/plugin-syntax-flow, @babel/plugin-syntax-import-attributes, @babel/plugin-syntax-import-meta, @babel/plugin-syntax-json-strings, @babel/plugin-syntax-jsx, @babel/plugin-syntax-logical-assignment-operators, @babel/plugin-syntax-nullish-coalescing-operator, @babel/plugin-syntax-numeric-separator, @babel/plugin-syntax-object-rest-spread, @babel/plugin-syntax-optional-catch-binding, @babel/plugin-syntax-optional-chaining, @babel/plugin-syntax-private-property-in-object, @babel/plugin-syntax-top-level-await, @babel/plugin-syntax-typescript, @babel/plugin-transform-arrow-functions, @babel/plugin-transform-async-to-generator, @babel/plugin-transform-block-scoping, @babel/plugin-transform-classes, @babel/plugin-transform-computed-properties, @babel/plugin-transform-destructuring, @babel/plugin-transform-flow-strip-types, @babel/plugin-transform-function-name, @babel/plugin-transform-literals, @babel/plugin-transform-modules-commonjs, @babel/plugin-transform-named-capturing-groups-regex, @babel/plugin-transform-parameters, @babel/plugin-transform-private-methods, @babel/plugin-transform-private-property-in-object, @babel/plugin-transform-react-display-name, @babel/plugin-transform-react-jsx, @babel/plugin-transform-react-jsx-self, @babel/plugin-transform-react-jsx-source, @babel/plugin-transform-runtime, @babel/plugin-transform-shorthand-properties, @babel/plugin-transform-spread, @babel/plugin-transform-sticky-regex, @babel/plugin-transform-typescript, @babel/plugin-transform-unicode-regex, @babel/preset-flow, @babel/preset-typescript, @babel/register, @babel/runtime, @babel/runtime-corejs3, @babel/template, @babel/traverse, @babel/types, babel-core",3014,168,43379,5661,2014-09-28,TypeScript,MIT License
47,Coinbase,https://github.com/coinbase/coinbase-wallet-sdk,Agora,@coinbase/wallet-sdk,964,93,1540,613,2019-05-01,TypeScript,MIT License
53,DefinitelyTyped,https://github.com/definitelytyped/definitelytyped,Agora,"@types/accepts, @types/aws-lambda, @types/babel__core, @types/babel__generator, @types/babel__template, @types/babel__traverse, @types/bn.js, @types/body-parser, @types/btoa-lite, @types/bunyan, @types/caseless, @types/connect, @types/content-disposition, @types/cookie, @types/cookies, @types/css-font-loading-module, @types/d3-array, @types/d3-color, @types/d3-ease, @types/d3-interpolate, @types/d3-path, @types/d3-scale, @types/d3-shape, @types/d3-time, @types/d3-timer, @types/debug, @types/dns-packet, @types/dom-screen-wake-lock, @types/estree, @types/estree-jsx, @types/express, @types/express-serve-static-core, @types/graceful-fs, @types/hapi__catbox, @types/hapi__hapi, @types/hapi__mimos, @types/hapi__shot, @types/hast, @types/http-assert, @types/http-errors, @types/istanbul-lib-coverage, @types/istanbul-lib-report, @types/istanbul-reports, @types/jest, @types/json-schema, @types/json5, @types/jsonwebtoken, @types/keygrip, @types/koa, @types/koa-compose, @types/koa__router, @types/lru-cache, @types/mailchimp__mailchimp_marketing, @types/mdast, @types/memcached, @types/mime, @types/mime-db, @types/mixpanel-browser, @types/ms, @types/mysql, @types/node, @types/node-forge, @types/parse-json, @types/pbkdf2, @types/pg, @types/pg-pool, @types/prettier, @types/prismjs, @types/prop-types, @types/qs, @types/ramda, @types/range-parser, @types/react, @types/react-dom, @types/react-infinite-scroller, @types/request, @types/scheduler, @types/secp256k1, @types/semver, @types/send, @types/serve-static, @types/shimmer, @types/sinonjs__fake-timers, @types/sizzle, @types/stack-utils, @types/swagger-ui-dist, @types/swagger-ui-react, @types/tedious, @types/tough-cookie, @types/trusted-types, @types/unist, @types/use-sync-external-store, @types/uuid, @types/yargs, @types/yargs-parser, @types/yauzl",3187,186,49096,30292,2012-10-05,TypeScript,Other
52,ESLint,https://github.com/eslint/js,Agora,"eslint-scope, eslint-visitor-keys",2722,153,2301,207,2014-12-06,JavaScript,"BSD 2-Clause ""Simplified"" License"
31,Ethereum Attestation Service,https://github.com/ethereum-attestation-service/eas-contracts,Agora,@ethereum-attestation-service/eas-contracts,60,7,262,87,2020-10-03,TypeScript,MIT License
32,Ethereum Attestation Service,https://github.com/ethereum-attestation-service/eas-sdk,Agora,@ethereum-attestation-service/eas-sdk,61,7,104,49,2020-10-21,TypeScript,MIT License
33,Ethereum Miscellenia,https://github.com/ethereum/solc-js,Agora,solc,1799,149,1470,481,2016-04-04,TypeScript,MIT License
34,EthereumJS,https://github.com/ethereumjs/ethereumjs-monorepo,Agora,"@ethereumjs/common, @ethereumjs/rlp, @ethereumjs/tx, @ethereumjs/util, @nomicfoundation/ethereumjs-common, @nomicfoundation/ethereumjs-rlp, @nomicfoundation/ethereumjs-tx, @nomicfoundation/ethereumjs-util, ethereumjs-util, rlp",2298,170,2631,783,2015-07-10,TypeScript,
48,Facebook Open Source,https://github.com/facebook/metro,Agora,"metro, metro-babel-transformer, metro-cache, metro-cache-key, metro-config, metro-core, metro-file-map, metro-minify-terser, metro-resolver, metro-runtime, metro-source-map, metro-symbolicate, metro-transform-plugins, metro-transform-worker, ob1",573,56,5285,637,2016-12-14,JavaScript,MIT License
57,Jared Wray,https://github.com/jaredwray/keyv,Agora,keyv,2493,153,2727,158,2017-07-07,TypeScript,MIT License
35,Metamask,https://github.com/metamask/core,Agora,"@metamask/eth-json-rpc-provider, @metamask/json-rpc-engine, @metamask/json-rpc-middleware-stream",548,69,300,203,2018-05-29,TypeScript,MIT License
36,Metamask,https://github.com/metamask/eth-block-tracker,Agora,eth-block-tracker,1705,136,131,82,2017-02-04,TypeScript,MIT License
56,Multiformats,https://github.com/multiformats/js-multiformats,Agora,multiformats,1470,112,242,54,2020-04-22,TypeScript,Other
37,OpenZeppelin,https://github.com/openzeppelin/merkle-tree,Agora,@openzeppelin/merkle-tree,142,18,474,113,2022-10-24,TypeScript,MIT License
46,Paul Miller,https://github.com/paulmillr/noble-curves,Agora,@noble/curves,1579,146,734,69,2022-12-03,JavaScript,MIT License
55,Pinata,https://github.com/pinatacloud/pinata-web3,Agora,pinata-web3,13,1,2,1,2024-08-24,TypeScript,MIT License
51,Ponder,https://github.com/ponder-sh/ponder,Agora,"@ponder/core, @ponder/utils",35,6,730,119,2022-08-17,TypeScript,MIT License
38,Prettier Solidity,https://github.com/prettier-solidity/prettier-plugin-solidity,Agora,prettier-plugin-solidity,1095,117,731,75,2018-05-15,Solidity,MIT License
50,Rollup,https://github.com/rollup/rollup,Agora,"@rollup/rollup-android-arm-eabi, @rollup/rollup-android-arm64, @rollup/rollup-darwin-arm64, @rollup/rollup-darwin-x64, @rollup/rollup-freebsd-arm64, @rollup/rollup-freebsd-x64, @rollup/rollup-linux-arm-gnueabihf, @rollup/rollup-linux-arm-musleabihf, @rollup/rollup-linux-arm64-gnu, @rollup/rollup-linux-arm64-musl, @rollup/rollup-linux-loongarch64-gnu, @rollup/rollup-linux-powerpc64le-gnu, @rollup/rollup-linux-riscv64-gnu, @rollup/rollup-linux-s390x-gnu, @rollup/rollup-linux-x64-gnu, @rollup/rollup-linux-x64-musl, @rollup/rollup-win32-arm64-msvc, @rollup/rollup-win32-ia32-msvc, @rollup/rollup-win32-x64-msvc, rollup",1820,108,25560,1548,2015-05-14,JavaScript,Other
39,Safe,https://github.com/safe-global/safe-apps-sdk,Agora,"@safe-global/safe-apps-provider, @safe-global/safe-apps-sdk",767,82,279,138,2020-04-17,TypeScript,MIT License
40,Safe,https://github.com/safe-global/safe-gateway-typescript-sdk,Agora,@safe-global/safe-gateway-typescript-sdk,764,82,21,24,2021-07-07,TypeScript,MIT License
49,UnJS,https://github.com/unjs/crossws,Agora,crossws,646,72,439,18,2023-12-07,TypeScript,Other
41,Wallet Connect,https://github.com/walletconnect/walletconnect-monorepo,Agora,"@walletconnect/core, @walletconnect/ethereum-provider, @walletconnect/types, @walletconnect/universal-provider, @walletconnect/utils",1365,103,1495,732,2018-08-26,TypeScript,Apache License 2.0
42,Wallet Connect,https://github.com/walletconnect/walletconnect-utils,Agora,"@walletconnect/environment, @walletconnect/events, @walletconnect/heartbeat, @walletconnect/jsonrpc-http-connection, @walletconnect/jsonrpc-provider, @walletconnect/jsonrpc-types, @walletconnect/jsonrpc-utils, @walletconnect/jsonrpc-ws-connection, @walletconnect/keyvaluestorage, @walletconnect/logger, @walletconnect/relay-api, @walletconnect/relay-auth, @walletconnect/safe-json, @walletconnect/time, @walletconnect/window-getters, @walletconnect/window-metadata",1305,104,117,80,2021-07-08,TypeScript,MIT License
43,ethers.js,https://github.com/ethers-io/ethers.js,Agora,"@ethersproject/abi, @ethersproject/abstract-provider, @ethersproject/abstract-signer, @ethersproject/address, @ethersproject/base64, @ethersproject/basex, @ethersproject/bignumber, @ethersproject/bytes, @ethersproject/constants, @ethersproject/contracts, @ethersproject/hash, @ethersproject/hdnode, @ethersproject/json-wallets, @ethersproject/keccak256, @ethersproject/logger, @ethersproject/networks, @ethersproject/pbkdf2, @ethersproject/properties, @ethersproject/providers, @ethersproject/random, @ethersproject/rlp, @ethersproject/sha2, @ethersproject/signing-key, @ethersproject/strings, @ethersproject/transactions, @ethersproject/units, @ethersproject/wallet, @ethersproject/web, @ethersproject/wordlists, ethers",2552,180,8086,1925,2016-07-16,TypeScript,MIT License
54,swc,https://github.com/swc-project/swc,Agora,@swc/helpers,1424,105,31569,1254,2017-12-22,Rust,Apache License 2.0
59,typescript-eslint,https://github.com/typescript-eslint/typescript-eslint,Agora,"@typescript-eslint/eslint-plugin, @typescript-eslint/parser, @typescript-eslint/scope-manager, @typescript-eslint/type-utils, @typescript-eslint/types, @typescript-eslint/typescript-estree, @typescript-eslint/utils, @typescript-eslint/visitor-keys",2399,144,15470,2764,2019-01-13,TypeScript,MIT License
44,wevm,https://github.com/wevm/abitype,Agora,abitype,1121,107,498,48,2022-08-03,TypeScript,MIT License
45,wevm,https://github.com/wevm/isows,Agora,isows,811,94,49,5,2023-10-08,TypeScript,Other
72,Arda TANRIKULU,https://github.com/ardatan/graphql-tools,Basepaint,"@graphql-tools/executor, @graphql-tools/merge, @graphql-tools/schema, @graphql-tools/utils, cross-inspect",684,50,5364,822,2016-03-22,TypeScript,MIT License
69,Babel,https://github.com/babel/babel,Basepaint,"@babel/code-frame, @babel/compat-data, @babel/core, @babel/generator, @babel/helper-annotate-as-pure, @babel/helper-compilation-targets, @babel/helper-module-imports, @babel/helper-module-transforms, @babel/helper-plugin-utils, @babel/helper-string-parser, @babel/helper-validator-identifier, @babel/helper-validator-option, @babel/helpers, @babel/highlight, @babel/parser, @babel/plugin-syntax-jsx, @babel/plugin-transform-react-jsx, @babel/plugin-transform-react-jsx-development, @babel/template, @babel/traverse, @babel/types",3014,168,43379,5661,2014-09-28,TypeScript,MIT License
66,DefinitelyTyped,https://github.com/definitelytyped/definitelytyped,Basepaint,"@types/estree, @types/json-schema, @types/node, @types/semver",3187,186,49096,30292,2012-10-05,TypeScript,Other
65,ESLint,https://github.com/eslint/js,Basepaint,"eslint-scope, eslint-visitor-keys",2722,153,2301,207,2014-12-06,JavaScript,"BSD 2-Clause ""Simplified"" License"
70,Facebook Open Source,https://github.com/facebook/react,Basepaint,"react, react-reconciler, scheduler",2629,151,231896,47467,2013-05-24,JavaScript,MIT License
68,Jared Wray,https://github.com/jaredwray/keyv,Basepaint,keyv,2493,153,2727,158,2017-07-07,TypeScript,MIT License
62,Paul Miller,https://github.com/paulmillr/noble-curves,Basepaint,@noble/curves,1579,146,734,69,2022-12-03,JavaScript,MIT License
64,Ponder,https://github.com/ponder-sh/ponder,Basepaint,"@ponder/core, @ponder/utils",35,6,730,119,2022-08-17,TypeScript,MIT License
63,Rollup,https://github.com/rollup/rollup,Basepaint,"@rollup/rollup-android-arm-eabi, @rollup/rollup-android-arm64, @rollup/rollup-darwin-arm64, @rollup/rollup-darwin-x64, @rollup/rollup-freebsd-arm64, @rollup/rollup-freebsd-x64, @rollup/rollup-linux-arm-gnueabihf, @rollup/rollup-linux-arm-musleabihf, @rollup/rollup-linux-arm64-gnu, @rollup/rollup-linux-arm64-musl, @rollup/rollup-linux-powerpc64le-gnu, @rollup/rollup-linux-riscv64-gnu, @rollup/rollup-linux-s390x-gnu, @rollup/rollup-linux-x64-gnu, @rollup/rollup-linux-x64-musl, @rollup/rollup-win32-arm64-msvc, @rollup/rollup-win32-ia32-msvc, @rollup/rollup-win32-x64-msvc, rollup",1820,108,25560,1548,2015-05-14,JavaScript,Other
67,UnJS,https://github.com/unjs/pathe,Basepaint,pathe,1038,92,458,21,2021-09-22,TypeScript,Other
71,typescript-eslint,https://github.com/typescript-eslint/typescript-eslint,Basepaint,"@typescript-eslint/eslint-plugin, @typescript-eslint/parser, @typescript-eslint/scope-manager, @typescript-eslint/type-utils, @typescript-eslint/types, @typescript-eslint/typescript-estree, @typescript-eslint/utils, @typescript-eslint/visitor-keys",2399,144,15470,2764,2019-01-13,TypeScript,MIT License
60,wevm,https://github.com/wevm/abitype,Basepaint,abitype,1121,107,498,48,2022-08-03,TypeScript,MIT License
61,wevm,https://github.com/wevm/isows,Basepaint,isows,811,94,49,5,2023-10-08,TypeScript,Other
99,DefinitelyTyped,https://github.com/definitelytyped/definitelytyped,Boost Studios,"@types/abstract-leveldown, @types/aria-query, @types/bn.js, @types/cacheable-request, @types/chai, @types/chai-subset, @types/eslint, @types/eslint-scope, @types/estree, @types/fs-extra, @types/glob, @types/hoist-non-react-statics, @types/http-cache-semantics, @types/inquirer, @types/is-ci, @types/istanbul-lib-coverage, @types/json-schema, @types/json5, @types/jsonfile, @types/keyv, @types/level-errors, @types/levelup, @types/lru-cache, @types/minimatch, @types/minimist, @types/node, @types/normalize-package-data, @types/pbkdf2, @types/prompt, @types/prompts, @types/prop-types, @types/react, @types/react-dom, @types/responselike, @types/revalidator, @types/secp256k1, @types/semver, @types/through, @types/tinycolor2, @types/trusted-types, @types/yauzl",3187,186,49096,30292,2012-10-05,TypeScript,Other
97,ESLint,https://github.com/eslint/js,Boost Studios,"eslint-scope, eslint-visitor-keys",2722,153,2301,207,2014-12-06,JavaScript,"BSD 2-Clause ""Simplified"" License"
73,Ethereum Miscellenia,https://github.com/ethereum/solc-js,Boost Studios,solc,1799,149,1470,481,2016-04-04,TypeScript,MIT License
74,EthereumJS,https://github.com/ethereumjs/ethereumjs-monorepo,Boost Studios,"@ethereumjs/block, @ethereumjs/common, @ethereumjs/rlp, @ethereumjs/tx, @ethereumjs/util, @nomicfoundation/ethereumjs-common, @nomicfoundation/ethereumjs-rlp, @nomicfoundation/ethereumjs-tx, @nomicfoundation/ethereumjs-util, ethereumjs-util, merkle-patricia-tree, rlp",2298,170,2631,783,2015-07-10,TypeScript,
75,Hop Protocol,https://github.com/hop-protocol/hop,Boost Studios,@hop-protocol/sdk,11,2,2851,195,2020-10-19,TypeScript,MIT License
102,Jared Wray,https://github.com/jaredwray/keyv,Boost Studios,keyv,2493,153,2727,158,2017-07-07,TypeScript,MIT License
100,Lens Protocol,https://github.com/lens-protocol/metadata,Boost Studios,@lens-protocol/metadata,31,3,8,6,2023-08-14,TypeScript,MIT License
76,Metamask,https://github.com/metamask/eth-sig-util,Boost Studios,@metamask/eth-sig-util,1907,153,583,229,2017-02-21,TypeScript,ISC License
101,Multiformats,https://github.com/multiformats/js-multiformats,Boost Studios,multiformats,1470,112,242,54,2020-04-22,TypeScript,Other
77,OpenZeppelin,https://github.com/openzeppelin/openzeppelin-contracts,Boost Studios,@openzeppelin/contracts,1773,146,25275,11910,2016-08-01,Solidity,MIT License
78,OpenZeppelin,https://github.com/openzeppelin/openzeppelin-upgrades,Boost Studios,@openzeppelin/upgrades-core,721,87,634,270,2020-06-19,TypeScript,MIT License
79,Optimism,https://github.com/ethereum-optimism/ecosystem,Boost Studios,@eth-optimism/sdk,108,17,105,55,2023-09-11,TypeScript,MIT License
80,Optimism,https://github.com/ethereum-optimism/optimism,Boost Studios,"@eth-optimism/contracts, @eth-optimism/contracts-ts, @eth-optimism/core-utils",422,53,5915,3465,2020-02-06,Go,MIT License
81,Paraswap,https://github.com/paraswap/paraswap-core,Boost Studios,@paraswap/core,29,5,3,7,2021-07-30,TypeScript,
82,Paraswap,https://github.com/paraswap/paraswap-sdk,Boost Studios,@paraswap/sdk,30,5,721,106,2019-10-08,TypeScript,Other
93,Paul Miller,https://github.com/paulmillr/noble-curves,Boost Studios,@noble/curves,1579,146,734,69,2022-12-03,JavaScript,MIT License
98,Polygon,https://github.com/maticnetwork/matic.js,Boost Studios,@maticnetwork/maticjs,56,7,545,259,2018-08-23,TypeScript,MIT License
83,Prettier Solidity,https://github.com/prettier-solidity/prettier-plugin-solidity,Boost Studios,prettier-plugin-solidity,1095,117,731,75,2018-05-15,Solidity,MIT License
96,Rollup,https://github.com/rollup/rollup,Boost Studios,"@rollup/rollup-android-arm-eabi, @rollup/rollup-android-arm64, @rollup/rollup-darwin-arm64, @rollup/rollup-darwin-x64, @rollup/rollup-linux-arm-gnueabihf, @rollup/rollup-linux-arm-musleabihf, @rollup/rollup-linux-arm64-gnu, @rollup/rollup-linux-arm64-musl, @rollup/rollup-linux-powerpc64le-gnu, @rollup/rollup-linux-riscv64-gnu, @rollup/rollup-linux-s390x-gnu, @rollup/rollup-linux-x64-gnu, @rollup/rollup-linux-x64-musl, @rollup/rollup-win32-arm64-msvc, @rollup/rollup-win32-ia32-msvc, @rollup/rollup-win32-x64-msvc, rollup",1820,108,25560,1548,2015-05-14,JavaScript,Other
84,Solady (by Vectorized),https://github.com/vectorized/solady,Boost Studios,solady,82,15,2735,372,2022-07-16,Solidity,MIT License
85,Solhint,https://github.com/protofire/solhint,Boost Studios,solhint,1014,111,1055,172,2017-10-16,JavaScript,MIT License
95,UnJS,https://github.com/unjs/crossws,Boost Studios,crossws,646,72,439,18,2023-12-07,TypeScript,Other
86,Uniswap,https://github.com/uniswap/universal-router,Boost Studios,@uniswap/universal-router,74,10,423,227,2022-07-27,TypeScript,GNU General Public License v3.0
94,Vercel,https://github.com/vercel/turborepo,Boost Studios,"@turbo/gen, @turbo/workspaces, turbo, turbo-darwin-64, turbo-darwin-arm64, turbo-linux-64, turbo-linux-arm64, turbo-windows-64, turbo-windows-arm64",258,27,26874,1889,2021-10-05,Rust,MIT License
87,Wallet Connect,https://github.com/walletconnect/walletconnect-monorepo,Boost Studios,"@walletconnect/core, @walletconnect/ethereum-provider, @walletconnect/types, @walletconnect/universal-provider, @walletconnect/utils",1365,103,1495,732,2018-08-26,TypeScript,Apache License 2.0
