project_id,project_source,project_namespace,project_name,collection_id,collection_source,collection_namespace,collection_name
5m263kxquf8y2PdvAfN4keorV1Kv7oGw7g4UtMGaJcQ=,OSS_DIRECTORY,oso,forest-chainsafe,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
DfvotJofR5HQwMjVe9CFgceuzQyi-QMSY8vpym_1AL8=,OSS_DIRECTORY,oso,lurk-lab,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
zsRWW4H-bD-h4FQ564hlfHeKVwYZNav_mIjTuYBgq_U=,OSS_DIRECTORY,oso,hamster-shared,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
nOIWCthiB6XflFb6XB70iZY9IUnMVzjkXxA29ASvpo4=,OSS_DIRECTORY,oso,tokensoft_token-tokensoft,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
gTUyMLp3JsiT1NS24FwAaBzVpcjHmZBRBAmVPntPa9Y=,OSS_DIRECTORY,oso,twocents-os,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
GoLjb45_h2Qy5x8YlKUIG7CaCPmvrzM7HylZFFiZi0Q=,OSS_DIRECTORY,oso,volaverse,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
tdwyfwkdg-2A0vYu8s_gzi4kBUB9XfvvJi38pAGWXv4=,OSS_DIRECTORY,oso,agregore-browser-agregoreweb,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
YkX3iSdaKOMkdkd-HTJDv5U5HaV8yEZk7FHoufS1WiM=,OSS_DIRECTORY,oso,w3b3d3v,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
zULNH6FsiixYu16MRpvpRdZiMNWGYUSLJiIpTmM-i0o=,OSS_DIRECTORY,oso,basicbeasts,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
fgY1o5iRVwPaAltc4AJTaL0wZgCagOdu_EB3-U4ecxU=,OSS_DIRECTORY,oso,fil-wallet-llifezou,0o6NFk3L7x_vOovSMlU-d5oiVYzED0M85FolWidT4JI=,OSS_DIRECTORY,oso,filecoin-foundation
