project_name,display_name,repository_count,star_count,fork_count,fulltime_developer_average_6_months,new_contributor_count_6_months,repo_rank,starred,starred_by_top_devs,forked,forked_by_top_devs,age_of_project_years
farcaster-indexer-gskril,Farcaster Indexer,1,143,58,0.10989010989010989,6.0,2565.0,156.0,1.0,65.0,,2.1666666666667425
learnweb3dao,LearnWeb3,104,1077,1072,0.0,5.0,3388.0,1297.0,,1467.0,3.0,2.6666666666667425
llamafolio,LlamaFolio,7,196,57,0.7472527472527473,6.0,632.0,232.0,6.0,68.0,3.0,2.083333333333485
nicenode,NiceNode,15,191,33,0.7747252747252747,5.0,52.0,223.0,12.0,39.0,1.0,2.333333333333485
usedapp-truefieng,useDapp,1,1575,368,0.0,6.0,1145.0,1870.0,6.0,498.0,7.0,3.6666666666667425
kernel-community,Kernel,19,213,117,0.2967032967032967,2.0,2247.0,257.0,2.0,152.0,2.0,4.1666666666667425
solhint-protofire,Solhint,2,3579,671,0.0,13.0,600.0,4304.0,21.0,781.0,7.0,6.9166666666667425
useweb3,useWeb3,6,1032,308,2.010989010989011,15.0,893.0,1166.0,6.0,348.0,1.0,3.0
solady-vectorized,Solady (by Vectorized),1,2337,323,0.8626373626373627,19.0,164.0,2895.0,43.0,433.0,11.0,2.083333333333485
unlock-protocol,Unlock Protocol,69,1010,398,1.5054945054945055,27.0,675.0,1215.0,3.0,574.0,5.0,6.083333333333485
givestation,GiveStation,8,12,11,0.2692307692307692,1.0,16818.0,12.0,,17.0,,2.083333333333485
dexkit,DexKit,46,117,157,1.0054945054945055,0.0,5196.0,137.0,,174.0,1.0,3.833333333333485
ethereumphone,EthereumPhone,103,145,49,0.4835164835164835,0.0,4054.0,174.0,5.0,54.0,,2.75
dforce-network,dForce,41,100,74,0.0,0.0,7699.0,115.0,1.0,96.0,,5.1666666666667425
geo-web,Geo Web,40,98,49,0.08791208791208792,0.0,1052.0,107.0,2.0,76.0,,4.083333333333485
unruggable-labs,Unruggable Names,10,17,5,0.17582417582417584,1.0,6250.0,29.0,,3.0,,1.0
bonding-curves,Bonding Curves Research Group,5,13,0,0.0,2.0,18731.0,19.0,,,,1.333333333333485
smallbraingames,Small Brain Games,16,204,30,0.0,3.0,999.0,258.0,11.0,41.0,,1.75
gov-w3hc,Gov by w3hc,5,10,6,0.0,1.0,6488.0,20.0,,4.0,1.0,1.833333333333485
alphadayhq,Alphaday,5,3,0,0.0,0.0,13147.0,2.0,,1.0,,1.75
infinitywallet,Infinity Wallet,70,148,136,0.2032967032967033,1.0,13020.0,155.0,,85.0,,4.25
hildr-optimism-java,Hildr,1,39,11,0.0,2.0,28.0,49.0,13.0,10.0,3.0,1.25
goplussecurity,GoPlus Security,10,69,21,0.0,2.0,7261.0,74.0,,38.0,,1.833333333333485
arbiter-primitivefinance,Arbiter,3,675,66,0.21428571428571427,2.0,94.0,858.0,40.0,83.0,6.0,1.75
pairwise-general-magic,Pairwise,5,46,1,0.17582417582417584,6.0,4005.0,45.0,,1.0,,1.75
trueblocks,TrueBlocks,40,1203,270,0.8241758241758241,10.0,602.0,1509.0,36.0,358.0,5.0,8.0
goerli-eth-clients,Department of Decentralization,2,863,239,0.0,13.0,180.0,1012.0,26.0,261.0,10.0,5.9166666666667425
crate-crypto,Crate Crypto,28,351,128,0.5164835164835165,13.0,217.0,420.0,43.0,129.0,20.0,5.083333333333485
ezkl-zkonduit,EZKL,25,939,141,0.6538461538461539,19.0,141.0,1092.0,32.0,185.0,5.0,2.083333333333485
ethernaut-openzeppelin,The Ethernaut,2,1960,688,0.0,18.0,610.0,2481.0,13.0,933.0,8.0,6.75
lighthouse-sigp,Lighthouse by Sigma Prime,1,2852,712,0.0,62.0,47.0,3639.0,57.0,910.0,50.0,6.083333333333485
slither-crytic,Slither,1,5176,952,0.0,45.0,93.0,6288.0,44.0,1281.0,15.0,5.9166666666667425
kromatika-finance,Kromatika,12,17,14,0.0,0.0,3234.0,21.0,,42.0,,2.75
commonsbuild,Token Engineering Commons,54,92,80,0.0,0.0,4983.0,114.0,,93.0,2.0,3.833333333333485
arpa-network,ARPA Randcast,2,11,12,0.0,2.0,763.0,15.0,1.0,15.0,,2.083333333333485
bankless-card,Bankless Card,7,4,3,0.0,1.0,12003.0,7.0,,2.0,,2.0
g7dao,Game7 DAO,31,137,43,0.0,3.0,6973.0,159.0,,43.0,,2.4166666666667425
idriss-crypto,IDriss,20,254,42,0.532967032967033,2.0,11092.0,372.0,,42.0,,2.75
curvegrid-multibaas,MultiBaas,65,130,91,0.0,1.0,5486.0,168.0,,144.0,,7.25
lyra-finance,Lyra Finance,31,187,177,0.0,4.0,1126.0,244.0,6.0,267.0,1.0,3.1666666666667425
brightid,BrightID,48,471,141,0.0,1.0,3238.0,604.0,2.0,203.0,1.0,6.9166666666667425
candide-labs,Candide Labs,20,191,69,0.08791208791208792,5.0,3492.0,214.0,3.0,87.0,,1.9166666666667425
jiffy-labs,JiffyScan,17,41,39,0.17032967032967034,9.0,5665.0,41.0,,47.0,1.0,1.6666666666667425
ultrasoundmoney,Ultra Sound Money,19,441,119,0.2032967032967033,5.0,326.0,541.0,18.0,141.0,8.0,2.75
fe-ethereum,Fe,1,1594,179,0.0,6.0,495.0,2024.0,30.0,220.0,7.0,5.0
hypercerts,Hypercerts,18,96,34,0.4340659340659341,8.0,869.0,97.0,6.0,41.0,2.0,1.6666666666667425
hop-protocol,Hop Protocol,26,3389,562,0.9505494505494505,21.0,969.0,3818.0,13.0,614.0,3.0,3.583333333333485
revm-bluealloy,Revm,1,1519,492,1.0054945054945055,54.0,29.0,1818.0,55.0,585.0,48.0,2.9166666666667425
soulwallet,Soul Wallet,18,434,170,0.23626373626373626,0.0,1232.0,531.0,3.0,260.0,1.0,2.25
