project_id,project_source,project_namespace,project_name,collection_id,collection_source,collection_namespace,collection_name,project_id_1,project_source_1,project_namespace_1,project_name_1,display_name,event_source,days_since_first_transaction,active_contract_count_90_days,transaction_count,transaction_count_6_months,gas_fees_sum,gas_fees_sum_6_months,address_count,address_count_90_days,new_address_count_90_days,returning_address_count_90_days,high_activity_address_count_90_days,medium_activity_address_count_90_days,low_activity_address_count_90_days,multi_project_address_count_90_days
XFrUqpjp_oS9-UTjz77GxDM0yJm2WvBpA9FhmI64VPE=,OSS_DIRECTORY,oso,gammastrategies,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,XFrUqpjp_oS9-UTjz77GxDM0yJm2WvBpA9FhmI64VPE=,OSS_DIRECTORY,oso,gammastrategies,Gamma Strategies,BASE,434.0,70.0,28037.0,17475.0,6.05005547173795,0.374873243511337,940.0,224.0,85.0,139.0,8.0,23.0,190.0,206.0
XFrUqpjp_oS9-UTjz77GxDM0yJm2WvBpA9FhmI64VPE=,OSS_DIRECTORY,oso,gammastrategies,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,XFrUqpjp_oS9-UTjz77GxDM0yJm2WvBpA9FhmI64VPE=,OSS_DIRECTORY,oso,gammastrategies,Gamma Strategies,OPTIMISM,912.0,37.0,86968.0,26856.0,2.4324108070207524,0.84298611806826929,3389.0,301.0,148.0,153.0,7.0,91.0,203.0,250.0
XFrUqpjp_oS9-UTjz77GxDM0yJm2WvBpA9FhmI64VPE=,OSS_DIRECTORY,oso,gammastrategies,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,XFrUqpjp_oS9-UTjz77GxDM0yJm2WvBpA9FhmI64VPE=,OSS_DIRECTORY,oso,gammastrategies,Gamma Strategies,ARBITRUM_ONE,810.0,4.0,2521.0,30.0,1.1952860329828421,0.00023685901747870296,1298.0,9.0,6.0,3.0,0.0,0.0,9.0,8.0
XFrUqpjp_oS9-UTjz77GxDM0yJm2WvBpA9FhmI64VPE=,OSS_DIRECTORY,oso,gammastrategies,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,XFrUqpjp_oS9-UTjz77GxDM0yJm2WvBpA9FhmI64VPE=,OSS_DIRECTORY,oso,gammastrategies,Gamma Strategies,MODE,161.0,4.0,1023.0,1023.0,0.53397303289387188,0.53397303289387188,10.0,9.0,7.0,2.0,1.0,0.0,8.0,7.0
tcJvWiZJInhq79YFWAhvTjB-bNjhTM4evTflhFk1tNc=,OSS_DIRECTORY,oso,interest-protocol,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,tcJvWiZJInhq79YFWAhvTjB-bNjhTM4evTflhFk1tNc=,OSS_DIRECTORY,oso,interest-protocol,Interest Protocol,ARBITRUM_ONE,345.0,1.0,89926.0,34350.0,10.111435790462819,0.3653796187064956,63017.0,1764.0,1495.0,269.0,5.0,6.0,1752.0,1370.0
tcJvWiZJInhq79YFWAhvTjB-bNjhTM4evTflhFk1tNc=,OSS_DIRECTORY,oso,interest-protocol,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,tcJvWiZJInhq79YFWAhvTjB-bNjhTM4evTflhFk1tNc=,OSS_DIRECTORY,oso,interest-protocol,Interest Protocol,OPTIMISM,504.0,5.0,550.0,91.0,0.0066406303306454639,0.0010113757452858781,25.0,4.0,1.0,3.0,0.0,1.0,3.0,4.0
CQBRQ4zaisC8zHXLT-zorRZAtE_WHjqNtSQ-swQZw8A=,OSS_DIRECTORY,oso,premiafinance,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,CQBRQ4zaisC8zHXLT-zorRZAtE_WHjqNtSQ-swQZw8A=,OSS_DIRECTORY,oso,premiafinance,Premia,ARBITRUM_ONE,1066.0,30.0,288969.0,24426.0,13437.559223327293,0.58502248981568017,82995.0,244.0,33.0,211.0,3.0,29.0,212.0,189.0
CQBRQ4zaisC8zHXLT-zorRZAtE_WHjqNtSQ-swQZw8A=,OSS_DIRECTORY,oso,premiafinance,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,CQBRQ4zaisC8zHXLT-zorRZAtE_WHjqNtSQ-swQZw8A=,OSS_DIRECTORY,oso,premiafinance,Premia,OPTIMISM,819.0,1.0,42853.0,27.0,1.2667448342504228,4.2742463327675006e-05,2348.0,12.0,3.0,9.0,0.0,0.0,12.0,9.0
xzWBwbu5eZ6QN5D04BxHfZcNq4-9_khDdWiMLYZKhXk=,OSS_DIRECTORY,oso,stargate-finance,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,xzWBwbu5eZ6QN5D04BxHfZcNq4-9_khDdWiMLYZKhXk=,OSS_DIRECTORY,oso,stargate-finance,Stargate Finance,ARBITRUM_ONE,955.0,10.0,13496956.0,733883.0,1784.8313259000467,9.38026422785224,2447027.0,53492.0,9027.0,44465.0,9.0,184.0,53275.0,19391.0
xzWBwbu5eZ6QN5D04BxHfZcNq4-9_khDdWiMLYZKhXk=,OSS_DIRECTORY,oso,stargate-finance,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,xzWBwbu5eZ6QN5D04BxHfZcNq4-9_khDdWiMLYZKhXk=,OSS_DIRECTORY,oso,stargate-finance,Stargate Finance,BASE,467.0,28.0,3389655.0,656024.0,115.32059265124678,12.629413838686741,984609.0,39766.0,7103.0,32663.0,4.0,185.0,39549.0,31899.0
xzWBwbu5eZ6QN5D04BxHfZcNq4-9_khDdWiMLYZKhXk=,OSS_DIRECTORY,oso,stargate-finance,89Tit1JWeJvJFw5pp7BjqTlEOvLXRQIw7tgZUI1_pj4=,OSS_DIRECTORY,oso,optimism,xzWBwbu5eZ6QN5D04BxHfZcNq4-9_khDdWiMLYZKhXk=,OSS_DIRECTORY,oso,stargate-finance,Stargate Finance,OPTIMISM,955.0,14.0,8006646.0,499048.0,90.186194764679911,9.0379485688142616,1940209.0,23961.0,3308.0,20653.0,3.0,138.0,23785.0,11575.0
