date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-derive,forecasted_TVL_opchain-derive,forecasted_TVL-derive_v1_protocol,forecasted_TVL_opchain-derive_v1_protocol,forecasted_TVL-derive_v2_protocol,forecasted_TVL_opchain-derive_v2_protocol
2024-10-01 00:00:00,0.421543977213811,0.34234883817637934,0.34729462579577214,7.669589366548124e-06,0.0,0.0,56212584.81330903,54780488.06561518,1130193.6494245946,1311150.4873859158,38251432.33121268,50297913.49609562
2024-10-02 00:00:00,0.3570448886396618,0.2953525479203265,0.2967108543353169,4.147131958738397e-06,0.0,0.0,58084398.98003525,55354602.63152702,1194176.050369806,1352432.4333880567,34991436.28525321,55069760.813106045
2024-10-03 00:00:00,0.2881946273152881,0.30555639709047483,0.38162473031356914,6.462223259046184e-06,0.0,0.0,69927017.11531006,57453450.67876745,1098844.237848996,1420445.0791342144,37726969.99743665,56803551.241322316
2024-10-04 00:00:00,0.23026070864424364,0.27915593697466035,0.38083130570220297,1.0265783974733663e-05,0.0,0.0,62671056.420229875,59958516.72762864,1372961.3017703542,1461949.3760497833,34986479.75764105,57253619.91876402
2024-10-05 00:00:00,0.28337412814980056,0.2543316174466998,0.31628710153997275,7.797787573800767e-06,0.0,0.0,63962155.78365015,56450434.6362366,1042697.513045914,1305363.8430471641,40651649.544070095,53899479.772747494
2024-10-06 00:00:00,0.3145376195567286,0.436535634374536,0.2218917979136204,6.647676085580558e-06,0.0,0.0,68809262.35406703,62496231.03632983,1219296.1763872392,1433357.7029525815,37375541.8609407,57164729.670521036
2024-10-07 00:00:00,0.24031612999397123,0.30998290073955775,0.09717727506446867,4.456715174477603e-06,0.0,0.0,77963897.90738246,61647580.44885607,1069732.9822392068,1344655.1194738282,39558769.8073761,55272333.7309994
2024-10-08 00:00:00,0.3284297578186943,0.3263604577256945,0.11499437105603073,4.892894127428548e-06,0.0,0.0,74729364.7298298,60104857.181714,1138691.3276436934,1440058.5385280899,38709392.57320882,55073182.32991003
2024-10-09 00:00:00,0.316992821491373,0.27727097224262676,0.12368056909894112,2.524789980016813e-06,0.0,0.0,67795265.52997015,57302979.463596225,1000528.5817310669,1393579.481917207,42711372.95910174,57970824.64333727
2024-10-10 00:00:00,0.39255301356046185,0.28486784777573126,0.05481324080706764,9.604840264257824e-06,0.0,0.0,68976904.77251059,59983530.4307498,1136134.0144491342,1358079.4467806763,36864870.123869315,57387313.73406994
2024-10-11 00:00:00,0.5449185938799425,0.44646604135907997,0.07629888509995146,1.093240405102247e-05,0.0,0.0,80177696.90441567,56125494.744477086,1049417.8112350802,1338616.374044408,43603548.19604746,54482311.33743731
2024-10-12 00:00:00,0.4468843476146526,0.444385291540903,0.0724039642293345,6.0094826436748824e-06,0.0,0.0,72097135.26362363,64217541.302616596,1162760.3464231668,1433221.1214271628,44693227.86801093,57217308.96568113
2024-10-13 00:00:00,0.4577681120332353,0.4288696294083188,0.23628058912314936,7.648508023948959e-06,0.0,0.0,64763721.13004494,57247700.85710944,1038122.5633759315,1366947.1950287602,50847614.15856727,58894539.24673979
2024-10-14 00:00:00,0.38200151007015776,0.41098415649412756,0.08255162419397512,6.8787192776030276e-06,0.0,0.0,64951488.788486645,60582739.26997629,1157441.601732419,1412933.3050882758,46485545.212213084,55398710.2073796
2024-10-15 00:00:00,0.3244125423133913,0.40240149710794226,0.1794003098649781,1.0854281979988268e-05,0.0,0.0,65614648.62426591,58640214.069789715,1135215.9522235717,1314074.112073042,52571154.591443226,57517630.47980387
2024-10-16 00:00:00,0.3922623955692424,0.40511727787073415,0.190650353575921,1.3663114371058156e-05,0.0,0.0,65365843.00905321,58336924.650141925,1227018.5838761444,1375959.324277481,45021654.180544406,59854543.370539
2024-10-17 00:00:00,0.34023421111658186,0.2780083231289229,0.12212356079579033,1.2520385922059607e-05,0.0,0.0,57666708.549222976,63636234.13573981,1041035.2754034675,1443779.7188255354,50534854.310575195,54574207.05254663
2024-10-18 00:00:00,0.3183533697996199,0.24833775963224247,0.12388330929178924,1.3689880367713973e-05,0.0,0.0,59121832.06017736,59495465.740356214,1174790.7401599237,1299533.7113392472,48951367.09863078,58337941.442789026
2024-10-19 00:00:00,0.33264782194344944,0.2025256494964514,0.11831134000229278,7.858926032139875e-06,0.0,0.0,59735933.11895637,58765878.18972388,1142419.4097753156,1376175.8866892802,51321722.22737677,58035822.90562626
2024-10-20 00:00:00,0.3409574570158281,0.24217923331385405,0.0354039144586039,8.65304203631454e-06,0.0,0.0,54541394.48341988,57991313.66592318,1145439.375261248,1397510.4801124667,52522582.28781095,59596229.732652634
2024-10-21 00:00:00,0.31224790776407085,0.28901991196167665,0.0766099318155596,5.340086775427881e-06,0.0,0.0,58313044.56161132,62804289.61228584,979028.4364884245,1483025.7644747905,50146541.41088346,59998588.224341854
2024-10-22 00:00:00,0.23901817720874194,0.2290140218016601,0.1303916304375316,5.22144504345245e-06,0.0,0.0,58704630.870357364,56596810.13535778,1238936.3358943034,1298094.6328676792,48534452.836714506,52525869.63831064
2024-10-23 00:00:00,0.19920514347034607,0.3326713200030925,0.10659274667579711,7.925054592358111e-06,0.0,0.0,56706792.2983566,53866116.614239775,1118467.1877545835,1434046.6711066419,50400922.71132466,52215650.832389094
2024-10-24 00:00:00,0.39662336688015554,0.23197277326238563,0.10096277177431272,5.513573106337611e-06,0.0,0.0,63082765.67214924,59303527.872161984,1036960.5858175531,1317818.7043697883,53089854.3070602,57082855.11170941
2024-10-25 00:00:00,0.2779608666804863,0.2931474409585312,0.12138036995767576,7.284249937106329e-06,0.0,0.0,58692653.18776593,60248440.27937017,1084891.7129565203,1346320.930186359,52203729.84820088,57612446.65070988
2024-10-26 00:00:00,0.3238190674621304,0.265322669111998,0.15615055451070192,1.054099623129273e-05,0.0,0.0,62587638.95620066,55900329.17355009,1197279.0079973359,1347760.7679778254,53838613.261017196,59019245.80816807
2024-10-27 00:00:00,0.350275081167578,0.26089915418979953,0.12421827166479141,5.490812883102714e-06,0.0,0.0,59513013.33119584,61141498.50834673,1053666.5528566423,1384758.0552675445,49487176.622841656,55024134.79031455
2024-10-28 00:00:00,0.2900912956907599,0.3365703036432655,0.16338640121064635,3.064455313287267e-06,0.0,0.0,64240384.94831984,59374519.75846903,965950.5282623512,1377123.2423362806,46181550.82372354,57105336.37146223
2024-10-29 00:00:00,0.09611115337878973,0.27893729235259274,0.15022498042944762,3.605328357395028e-06,0.0,0.0,59554204.56277096,56138103.99406805,1039227.8811630846,1458071.6625206056,47386092.3011185,52215745.26313559
2024-10-30 00:00:00,0.3496952453790997,0.12997028557549964,0.14691972401781034,3.125396623434326e-06,0.0,0.0,59210332.56285313,57787163.25288664,1130747.325977695,1318814.4927308618,52990756.453604914,61725681.013919026
2024-10-31 00:00:00,0.35325508689406165,0.3581285501326103,0.25045994020161527,5.465010922414292e-06,0.0,0.0,61154510.4025845,58909731.68706591,980496.2490438404,1327320.3006058293,55491171.77065495,52388927.97212649
2024-11-01 00:00:00,0.33025715201969014,0.19377460310093014,0.013046478119097878,5.675760441305033e-06,0.0,0.0,56275877.12648811,56134767.4319863,972683.8229846626,1366219.3603990723,48949132.91980432,57729887.72067487
2024-11-02 00:00:00,0.2349085252696393,0.3104394944212006,0.173896822432737,9.008564518508444e-06,0.0,0.0,54805636.01223722,62291122.34930853,1091235.2148022484,1373036.6205422198,52332989.50930683,59739416.50855709
2024-11-03 00:00:00,0.30176338572760025,0.5707675722695468,0.16057634615892089,8.983699566152355e-06,0.0,0.0,51815197.205444954,57814077.24244933,1163460.4644561252,1447757.3068842245,54135844.597127415,53019273.514938444
2024-11-04 00:00:00,0.2513420445382693,0.29324724584597195,0.1481810276519017,1.1773247483608184e-05,0.0,0.0,54368494.11954387,60583082.17472664,1020030.0392231501,1210983.0174690995,53219122.28047745,57037979.71804462
