,Project Name,Grants Season or Mission,Status,Initial delivery date,OP Delivered,OP Total Amount,Intent,Link,Other metadata,html,oso_slug
661,ZK Toolkit for ZK Application Developers - WakeUp Labs,Grants Season 5,Sent to locked Multisig,,,70000.0,Intent 2,https://app.charmverse.io/op-grants/page-6994526778836425,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/page-6994526778836425"", ""L2 Address"": ""0xAABA37Fb284667647D315B9D45C1830598B24081""}",charmverse-page-6994526778836425.html,wakeuplabs
920,Nethermind CL Client - C#,Grants Season 5,Sent to locked Multisig,,,50000.0,Intent 1,https://app.charmverse.io/op-grants/nethermind-cl-client-c-14325524187153982,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/nethermind-cl-client-c-14325524187153982"", ""L2 Address"": ""0xDD71EbF2B1ce923E3e231388a8a7cDba253485c1""}",charmverse-proposal-nethermind-cl-client-c-14325524187153982.html,nethermindeth
921,op-besu - an OP Stack execution client based on hyperledger besu,Grants Season 5,Sent to locked Multisig,,,50000.0,Intent 1,https://app.charmverse.io/op-grants/op-besu-an-op-stack-execution-client-based-on-hyperledger-besu-2818630304747294,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/op-besu-an-op-stack-execution-client-based-on-hyperledger-besu-2818630304747294"", ""L2 Address"": ""0x56EdF679B0C80D528E17c5Ffe514dc9a1b254b9c""}",charmverse-proposal-op-besu-an-op-stack-execution-client-based-on-hyperledger-besu-2818630304747294.html,op-besu-optimism-java
929,The OP Fault Proof CTF,Grants Season 5,Sent,,200000.0,250000.0,Intent 1,https://app.charmverse.io/op-grants/the-op-fault-proof-ctf-39249094150592323,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/the-op-fault-proof-ctf-39249094150592323"", ""L2 Address"": ""0x171C4c003d9a53578A83702DA4b558A288CDe60c""}",charmverse-proposal-the-op-fault-proof-ctf-39249094150592323.html,unknown
932,Generalized mempool encryption interface for OP Stack chains and deployment of a mempool encrypted OP Stack testnet using threshold encryption.,Grants Season 5,Sent to locked Multisig,,,50000.0,Intent 1,https://app.charmverse.io/op-grants/generalized-mempool-encryption-interface-for-op-stack-chains-and-deployment-of-a-mempool-encrypted-op-stack-testnet-using-threshold-encryption-8763406955381605,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/generalized-mempool-encryption-interface-for-op-stack-chains-and-deployment-of-a-mempool-encrypted-op-stack-testnet-using-threshold-encryption-8763406955381605"", ""L2 Address"": ""0xB476Ee7D610DAe7B23B671EBC7Bd6112E9772969""}",charmverse-proposal-generalized-mempool-encryption-interface-for-op-stack-chains-and-deployment-of-a-mempool-encrypted-op-stack-testnet-using-threshold-encryption-8763406955381605.html,shutter-network
934,Batcher Gas Fee Optimization Research and Implementation,Grants Season 5,Sent to locked Multisig,,,40000.0,Intent 1,https://app.charmverse.io/op-grants/batcher-gas-fee-optimization-research-and-implementation-419013603973726,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/batcher-gas-fee-optimization-research-and-implementation-419013603973726"", ""L2 Address"": ""0x93177Ac28Ce5Fd1878Bd940081BA8D0D7bA3682c""}",charmverse-proposal-batcher-gas-fee-optimization-research-and-implementation-419013603973726.html,blocknative
935,Extend the Availability of EIP-4844 Blobs by Integrating OP Stack with EthStorage,Grants Season 5,Sent to locked Multisig,,,30000.0,Intent 1,https://app.charmverse.io/op-grants/page-36156815313550994,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/page-36156815313550994"", ""L2 Address"": ""0x83Ca8766Bac8018a5ff95A7E20F4a21370F147EC""}",charmverse-page-36156815313550994.html,ethstorage
936,OPcity stack,Grants Season 5,Sent to locked Multisig,,,30000.0,Intent 1,https://app.charmverse.io/op-grants/page-1306815702055122,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/page-1306815702055122"", ""L2 Address"": ""0x111D456edA93461D831cEA8A1598293e12B98393""}",charmverse-page-1306815702055122.html,zenbiteth
937,Research on using YubiHSM and AWS KMS hardware signer on OP Stack,Grants Season 5,Sent to locked Multisig,,,15000.0,Intent 1,https://app.charmverse.io/op-grants/research-on-using-yubihsm-and-aws-kms-hardware-signer-on-op-stack-41211765826072866,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/research-on-using-yubihsm-and-aws-kms-hardware-signer-on-op-stack-41211765826072866"", ""L2 Address"": ""0xc26E6125B3ec9255fF2b576258742d448e941635""}",charmverse-proposal-research-on-using-yubihsm-and-aws-kms-hardware-signer-on-op-stack-41211765826072866.html,upnodedev
941,blob-archiver-rs - a robust blob-archiver service in rust,Grants Season 5,Sent to locked Multisig,,,10000.0,Intent 1,https://app.charmverse.io/op-grants/blob-archiver-rs-a-robust-blob-archiver-service-in-rust-6388430437756178,"{""Incentive Program Launched?"": ""Builders"", ""Proposal Link"": ""https://app.charmverse.io/op-grants/blob-archiver-rs-a-robust-blob-archiver-service-in-rust-6388430437756178"", ""L2 Address"": ""0x56EdF679B0C80D528E17c5Ffe514dc9a1b254b9c""}",charmverse-proposal-blob-archiver-rs-a-robust-blob-archiver-service-in-rust-6388430437756178.html,blob-archiver-rs
