seed_repo_owner,seed_repo_name,package_name,package_repo_owner,package_repo_name,package_source
cryptosmartnow,stylus_bitsave,futures-timer,async-rs,futures-timer,RUST
offchainlabs,stylus-erc20,balanced-match,juliangruber,balanced-match,NPM
fluidity-money,long.so,jest-message-util,jestjs,jest,NPM
fracton-ventures,nitro-gacha,zstd-safe,gyscos,zstd-rs,RUST
offchainlabs,stylus-hello-world,zstd-safe,gyscos,zstd-rs,RUST
offchainlabs,stylus-erc721,@ethersproject/rlp,ethers-io,ethers.js,NPM
alt-research,nitro-near,more-asserts,thomcc,rust-more-asserts,RUST
fluidity-money,long.so,logkitty,zamotany,logkitty,NPM
offchainlabs,stylus-erc721,@nomicfoundation/ethereumjs-blockchain,ethereumjs,ethereumjs-monorepo,NPM
cryptosmartnow,stylus_bitsave,rand_chacha,rust-random,rand,RUST
theblokc,arbdevbootcamp-reference,httpdate,pyfisch,httpdate,RUST
offchainlabs,stylus-workshop-proxy-update,const-hex,danipopes,const-hex,RUST
cryptosmartnow,bs_arbitrum_main,const-hex,danipopes,const-hex,RUST
offchainlabs,stylus-vending-machine,tokio-macros,tokio-rs,tokio,RUST
alt-research,nitro-near,bytecheck,rkyv,bytecheck,RUST
offchainlabs,nitro,bytecheck,rkyv,bytecheck,RUST
offchainlabs,stylus-hello-world,ethers-etherscan,gakonst,ethers-rs,RUST
offchainlabs,stylus-chess,ethers-etherscan,gakonst,ethers-rs,RUST
offchainlabs,stylus-english-auction,ethers-etherscan,gakonst,ethers-rs,RUST
teeeeeo9,basket-swap-stylus,tokio-tungstenite,snapview,tokio-tungstenite,RUST
blockscout,cargo-stylus-test-examples,crypto-bigint,rustcrypto,crypto-bigint,RUST
offchainlabs,stylus-english-auction,crypto-bigint,rustcrypto,crypto-bigint,RUST
fluidity-money,long.so,ansi-styles,chalk,ansi-styles,NPM
alt-research,nitro,github.com/aws/aws-sdk-go-v2/feature/ec2/imds,aws,aws-sdk-go-v2,GO
offchainlabs,stylus-erc721,solidity-coverage,sc-forks,solidity-coverage,NPM
alt-research,nitro-contracts-2.1.0,github.com/rs/cors,rs,cors,GO
offchainlabs,stylus-chess,zstd,gyscos,zstd-rs,RUST
offchainlabs,stylus-by-example,@jridgewell/gen-mapping,jridgewell,gen-mapping,NPM
theblokc,arbdevbootcamp-reference,@ethersproject/networks,ethers-io,ethers.js,NPM
fracton-ventures,nitro-gacha,addr2line,gimli-rs,addr2line,RUST
offchainlabs,stylus-tutorials,punycode,mathiasbynens,punycode.js,NPM
offchainlabs,stylus-erc20-oz,derive_more,jeltef,derive_more,RUST
fluidity-money,long.so,d3-shape,d3,d3-shape,NPM
offchainlabs,stylus-erc20-oz,cipher,rustcrypto,traits,RUST
teeeeeo9,basket-swap-stylus,quote,dtolnay,quote,RUST
fluidity-money,long.so,quote,dtolnay,quote,RUST
blockscout,cargo-stylus-test-examples,libc,rust-lang,libc,RUST
cryptosmartnow,bitsave_stylus,libc,rust-lang,libc,RUST
seabrick,seabrick-contracts,cargo-platform,rust-lang,cargo,RUST
cryptosmartnow,stylus_bitsave,flate2,rust-lang,flate2-rs,RUST
theblokc,arbdevbootcamp-reference,@typescript-eslint/types,typescript-eslint,typescript-eslint,NPM
offchainlabs,stylus-quickstart-vending-machine,ark-ff,arkworks-rs,algebra,RUST
offchainlabs,stylus-by-example,ark-ff,arkworks-rs,algebra,RUST
blockscout,cargo-stylus-test-examples,serialize-javascript,yahoo,serialize-javascript,NPM
cryptosmartnow,stylus_bitsave,tower-service,tower-rs,tower,RUST
offchainlabs,stylus-erc20,@types/secp256k1,definitelytyped,definitelytyped,NPM
fluidity-money,long.so,prompts,terkelg,prompts,NPM
