artifact_name,project_name,metric_name,sample_date,amount
pyth-agent,pyth-network,GITHUB_active_developers_monthly,2023-08-01,1
polytracker,trailofbits,GITHUB_active_developers_monthly,2023-08-01,2
polytracker,trailofbits,GITHUB_active_developers_monthly,2023-06-01,1
macroni,trailofbits,GITHUB_active_developers_monthly,2023-08-01,1
kup,runtimeverification,GITHUB_active_developers_monthly,2023-11-01,1
charts,pyth-network,GITHUB_active_developers_monthly,2023-11-01,1
oso,opensource-observer,GITHUB_active_developers_monthly,2023-11-01,3
k,runtimeverification,GITHUB_active_developers_monthly,2023-11-01,1
dashboard,third-web,GITHUB_active_developers_monthly,2023-11-01,16
pyth-js,pyth-network,GITHUB_active_developers_monthly,2023-02-01,2
manticore,trailofbits,GITHUB_active_developers_monthly,2023-02-01,1
dynamic-contracts,third-web,GITHUB_active_developers_monthly,2023-02-01,2
ozdefender-autotask,third-web,GITHUB_active_developers_monthly,2023-05-01,1
avm-semantics,runtimeverification,GITHUB_active_developers_monthly,2023-05-01,1
redstone-app,redstone-finance,GITHUB_active_developers_monthly,2023-05-01,1
sholva,trailofbits,GITHUB_active_developers_monthly,2023-06-01,2
k-pldi-tutorial,runtimeverification,GITHUB_active_developers_monthly,2023-06-01,1
contracts,third-web,GITHUB_active_developers_monthly,2023-06-01,2
nyc-infosec,trailofbits,GITHUB_active_developers_monthly,2023-06-01,1
redstone-oracles-monorepo,redstone-finance,GITHUB_active_developers_monthly,2023-06-01,3
avm-semantics,runtimeverification,GITHUB_active_developers_monthly,2023-06-01,1
blight,trailofbits,GITHUB_active_developers_monthly,2023-06-01,2
graphtage,trailofbits,GITHUB_active_developers_monthly,2023-06-01,2
ethers-rs,arbos-foundry-bernard-wagner,GITHUB_active_developers_monthly,2023-08-01,1
redstone-landing,redstone-finance,GITHUB_active_developers_monthly,2023-06-01,1
docs,third-web,GITHUB_active_developers_monthly,2023-08-01,7
windows-acl,trailofbits,GITHUB_active_developers_monthly,2023-06-01,1
osquery,trailofbits,GITHUB_active_developers_monthly,2023-06-01,1
pyk,runtimeverification,GITHUB_active_developers_monthly,2023-08-01,6
deepstate,trailofbits,GITHUB_active_developers_monthly,2023-06-01,1
vlsm,runtimeverification,GITHUB_active_developers_monthly,2023-11-01,3
homebrew-k,runtimeverification,GITHUB_active_developers_monthly,2023-11-01,1
homebrew-tools,trailofbits,GITHUB_active_developers_monthly,2023-11-01,1
syndicate-node,syndicateprotocol,GITHUB_active_developers_monthly,2023-11-01,1
polytracker,trailofbits,GITHUB_active_developers_monthly,2023-02-01,1
test-fuzz,trailofbits,GITHUB_active_developers_monthly,2023-02-01,2
publications,trailofbits,GITHUB_active_developers_monthly,2023-02-01,2
support-discord-bot,third-web,GITHUB_active_developers_monthly,2023-12-01,1
redstone-oracles-monorepo,redstone-finance,GITHUB_active_developers_monthly,2023-12-01,3
homebrew-k,runtimeverification,GITHUB_active_developers_monthly,2023-12-01,1
pyth-client,pyth-network,GITHUB_active_developers_monthly,2023-12-01,1
k-editor-support,runtimeverification,GITHUB_active_developers_monthly,2023-12-01,1
syndicate-node,syndicateprotocol,GITHUB_active_developers_monthly,2023-12-01,1
tofn,fairblock,GITHUB_active_developers_monthly,2023-12-01,1
smart_wallet_demo,third-web,GITHUB_active_developers_monthly,2023-06-01,1
docs,third-web,GITHUB_active_developers_monthly,2023-06-01,12
empirehacking.nyc,trailofbits,GITHUB_active_developers_monthly,2023-06-01,1
fairyringclient,fairblock,GITHUB_active_developers_monthly,2023-06-01,1
knock,runtimeverification,GITHUB_active_developers_monthly,2023-08-01,1
uthenticode,trailofbits,GITHUB_active_developers_monthly,2023-08-01,1
pyk-merge-test,runtimeverification,GITHUB_active_developers_monthly,2023-08-01,2
redstone-cache-layer-integration-test-utils,redstone-finance,GITHUB_active_developers_monthly,2023-12-01,1
contracts,third-web,GITHUB_active_developers_monthly,2023-12-01,1
tofnd,fairblock,GITHUB_active_developers_monthly,2023-12-01,1
pe-parse,trailofbits,GITHUB_active_developers_monthly,2023-12-01,1
dylint,trailofbits,GITHUB_active_developers_monthly,2023-12-01,2
publications,trailofbits,GITHUB_active_developers_monthly,2023-12-01,4
necessist,trailofbits,GITHUB_active_developers_monthly,2023-12-01,2
fairyringclient,fairblock,GITHUB_active_developers_monthly,2023-12-01,1
haskell-backend,runtimeverification,GITHUB_active_developers_monthly,2023-12-01,3
macroni,trailofbits,GITHUB_active_developers_monthly,2023-12-01,1
kontrol,runtimeverification,GITHUB_active_developers_monthly,2023-12-01,3
redstone-docs,redstone-finance,GITHUB_active_developers_monthly,2023-12-01,1
redstone-docs,redstone-finance,GITHUB_active_developers_monthly,2023-06-01,1
blockchain-k-plugin,runtimeverification,GITHUB_active_developers_monthly,2023-06-01,1
cast_checks,trailofbits,GITHUB_active_developers_monthly,2023-06-01,1
redstone-evm-examples,redstone-finance,GITHUB_active_developers_monthly,2023-08-01,1
nailgun,runtimeverification,GITHUB_active_developers_monthly,2023-08-01,1
evm-semantics,runtimeverification,GITHUB_active_developers_monthly,2023-06-01,3
redstone-app,redstone-finance,GITHUB_active_developers_monthly,2023-06-01,1
welldonestudio.github.io,remix-arbitrum-welldonestudio,GITHUB_active_developers_monthly,2023-08-01,2
redstone-images,redstone-finance,GITHUB_active_developers_monthly,2023-06-01,3
pyth-client-py,pyth-network,GITHUB_active_developers_monthly,2023-08-01,1
avm-semantics,runtimeverification,GITHUB_active_developers_monthly,2023-08-01,1
k,runtimeverification,GITHUB_active_developers_monthly,2023-08-01,1
hs-backend-booster,runtimeverification,GITHUB_active_developers_monthly,2023-08-01,4
mx-semantics,runtimeverification,GITHUB_active_developers_monthly,2023-11-01,3
walnut-landingpage,walnuthq,GITHUB_active_developers_monthly,2023-11-01,1
gitbook-home,runtimeverification,GITHUB_active_developers_monthly,2023-11-01,2
publications,runtimeverification,GITHUB_active_developers_monthly,2023-08-01,1
gitbook-home,runtimeverification,GITHUB_active_developers_monthly,2023-08-01,1
pyth-client-py,pyth-network,GITHUB_active_developers_monthly,2023-11-01,1
codeql-queries,trailofbits,GITHUB_active_developers_monthly,2023-11-01,1
fairyringclient,fairblock,GITHUB_active_developers_monthly,2023-11-01,1
hs-backend-booster,runtimeverification,GITHUB_active_developers_monthly,2023-11-01,4
publications,trailofbits,GITHUB_active_developers_monthly,2023-11-01,8
cast_checks,trailofbits,GITHUB_active_developers_monthly,2023-11-01,1
ercx-vscode,runtimeverification,GITHUB_active_developers_monthly,2023-11-01,1
circomspect,trailofbits,GITHUB_active_developers_monthly,2023-11-01,1
insights,opensource-observer,GITHUB_active_developers_monthly,2023-11-01,1
program-authority-escrow,pyth-network,GITHUB_active_developers_monthly,2023-11-01,1
py-wasm,runtimeverification,GITHUB_active_developers_monthly,2023-11-01,1
redstone-showroom,redstone-finance,GITHUB_active_developers_monthly,2023-02-01,2
eatmynetwork,trailofbits,GITHUB_active_developers_monthly,2023-02-01,1
dylint,trailofbits,GITHUB_active_developers_monthly,2023-05-01,2
publications,runtimeverification,GITHUB_active_developers_monthly,2023-05-01,6
_audits_ethereum-optimism_pausability,runtimeverification,GITHUB_active_developers_monthly,2023-11-01,1
audit-reports,pyth-network,GITHUB_active_developers_monthly,2023-02-01,1
redstone-images,redstone-finance,GITHUB_active_developers_monthly,2023-05-01,1
walnut-sdk,walnuthq,GITHUB_active_developers_monthly,2023-11-01,1
engine,third-web,GITHUB_active_developers_monthly,2023-11-01,3
windows-ctl,trailofbits,GITHUB_active_developers_monthly,2023-11-01,1
test-fuzz,trailofbits,GITHUB_active_developers_monthly,2023-11-01,2
redstone-oracles-monorepo,redstone-finance,GITHUB_active_developers_monthly,2023-11-01,2
welldonestudio.github.io,remix-arbitrum-welldonestudio,GITHUB_active_developers_monthly,2023-11-01,3
contracts,third-web,GITHUB_active_developers_monthly,2023-11-01,3
polyfile,trailofbits,GITHUB_active_developers_monthly,2023-11-01,1
gitbook-kontrol,runtimeverification,GITHUB_active_developers_monthly,2023-11-01,2
pyk,runtimeverification,GITHUB_active_developers_monthly,2023-11-01,1
documentation,pyth-network,GITHUB_active_developers_monthly,2023-11-01,7
haskell-backend,runtimeverification,GITHUB_active_developers_monthly,2023-11-01,3
vast,trailofbits,GITHUB_active_developers_monthly,2023-11-01,2
kore-prof,runtimeverification,GITHUB_active_developers_monthly,2023-02-01,1
pyth-observer,pyth-network,GITHUB_active_developers_monthly,2023-02-01,1
polyfile,trailofbits,GITHUB_active_developers_monthly,2023-05-01,2
redstone-images,redstone-finance,GITHUB_active_developers_monthly,2023-08-01,1
widgets,third-web,GITHUB_active_developers_monthly,2023-08-01,1
k-pldi-tutorial,runtimeverification,GITHUB_active_developers_monthly,2023-11-01,1
dylint,trailofbits,GITHUB_active_developers_monthly,2023-02-01,2
pyth-crosschain,pyth-network,GITHUB_active_developers_monthly,2023-11-01,6
pyth-agent,pyth-network,GITHUB_active_developers_monthly,2023-11-01,3
built-on-thirdweb,third-web,GITHUB_active_developers_monthly,2023-02-01,1
windows-ctl,trailofbits,GITHUB_active_developers_monthly,2023-02-01,1
avm-semantics,runtimeverification,GITHUB_active_developers_monthly,2023-02-01,2
fantom-kyd,redstone-finance,GITHUB_active_developers_monthly,2023-02-01,1
wasm-semantics,runtimeverification,GITHUB_active_developers_monthly,2023-05-01,1
pyk,runtimeverification,GITHUB_active_developers_monthly,2023-05-01,2
nate,trailofbits,GITHUB_active_developers_monthly,2023-08-01,1
publications,trailofbits,GITHUB_active_developers_monthly,2023-08-01,2
dynamic-contracts,third-web,GITHUB_active_developers_monthly,2023-08-01,1
charts,pyth-network,GITHUB_active_developers_monthly,2023-08-01,1
test-fuzz,trailofbits,GITHUB_active_developers_monthly,2023-08-01,1
necessist,trailofbits,GITHUB_active_developers_monthly,2023-11-01,2
polytracker,trailofbits,GITHUB_active_developers_monthly,2023-11-01,2
pasta,trailofbits,GITHUB_active_developers_monthly,2023-11-01,1
beacon,pyth-network,GITHUB_active_developers_monthly,2023-11-01,1
docs,third-web,GITHUB_active_developers_monthly,2023-11-01,11
evm-semantics,runtimeverification,GITHUB_active_developers_monthly,2023-11-01,3
bpf_tutorials_code,trailofbits,GITHUB_active_developers_monthly,2023-02-01,1
protofuzz,trailofbits,GITHUB_active_developers_monthly,2023-02-01,1
algo,trailofbits,GITHUB_active_developers_monthly,2023-08-01,1
twa,trailofbits,GITHUB_active_developers_monthly,2023-08-01,1
cargo-unmaintained,trailofbits,GITHUB_active_developers_monthly,2023-11-01,2
vscode-foundry-test-runner,arbos-foundry-bernard-wagner,GITHUB_active_developers_monthly,2023-08-01,1
redstone-app,redstone-finance,GITHUB_active_developers_monthly,2023-11-01,1
smart_wallet_demo,third-web,GITHUB_active_developers_monthly,2023-08-01,1
eatmynetwork,trailofbits,GITHUB_active_developers_monthly,2023-08-01,1
fickling,trailofbits,GITHUB_active_developers_monthly,2023-11-01,2
fickling,trailofbits,GITHUB_active_developers_monthly,2023-08-01,1
kontrol,runtimeverification,GITHUB_active_developers_monthly,2023-08-01,1
