Project Name,Category,% of votes received,OP Received,Project Profile
Synpress,Tooling and utilities,0.9189,"91,886.73",https://app.optimism.io/retropgf-discovery/0xd35E119782059A27FEAd4EddA8B555f393650BC8
Cannon,Tooling and utilities,0.9024,"90,241.42",https://app.optimism.io/retropgf-discovery/0x07Aeeb7E544A070a2553e142828fb30c214a1F86
Translators collection,Education,0.8566,"85,657.06",https://app.optimism.io/retropgf-discovery/translators
Nimbus,Infrastructure,0.8402,"84,018.23",https://app.optimism.io/retropgf-discovery/0x4413E96F6b46e59326a7695eF871FA902Ff7935d
Lodestar,Infrastructure,0.7966,"79,662.51",https://app.optimism.io/retropgf-discovery/0x6Fa4C420E9567203Aa65eB38da5DBe361fD61ff2
Teku,Infrastructure,0.7820,"78,199.65",https://app.optimism.io/retropgf-discovery/0xFF7B65dDc2Ffb7f6AC527b4C2F048946B3A5eaF3
Revoke.cash,Tooling and utilities,0.7349,"73,489.50",https://app.optimism.io/retropgf-discovery/0xe126b3E5d052f1F575828f61fEBA4f4f2603652a
TrueBlocks,Infrastructure,0.7187,"71,866.56",https://app.optimism.io/retropgf-discovery/0xf503017D7baF7FBC0fff7492b751025c6A78179b
RadicalXChange,Education,0.7099,"70,988.29",https://app.optimism.io/retropgf-discovery/0x3945D766185E2264900C84faC10958B3619C2bD4
Otterscan,Infrastructure,0.6883,"68,834.84",https://app.optimism.io/retropgf-discovery/0xd31b671F1a398B519222FdAba5aB5464B9F2a3Fa
Blockscout,Tooling and utilities,0.6526,"65,259.35",https://app.optimism.io/retropgf-discovery/0x245cE6de47A5D44E5B73f923F1aDA4cc1688D22b
Where has the OP Gone?,Education,0.6506,"65,055.77",https://app.optimism.io/retropgf-discovery/0x4f41877773e44F2275dA1942FEe898556821bf66
Cryptocurrency and Friends,Education,0.6391,"63,907.22",https://app.optimism.io/retropgf-discovery/0xEc087478B0bC2F1a18Ff01717e381f44B791114A
EthernautDAO,Education,0.6344,"63,437.90",https://app.optimism.io/retropgf-discovery/0x3B3980936707A8299AFb5424Fa807c1CBac37cCb
Keccak hashing,Infrastructure,0.6284,"62,838.16",https://app.optimism.io/retropgf-discovery/0xD06CaC3a900Dd34FE9CCd32F15DCC75E2423b816
