,slug,# GitHub Repos,Date First Commit,Total Stars,Total Forks,Total Contributors,Commits Last 90 Days,PRs Created Last 90 Days,PRs Merged Last 90 Days,Issues Created Last 90 Days,Issues Closed Last 90 Days,Contributors Last 90 Days,Commits Last 90 Days,PRs Created Last 90 Days,PRs Merged Last 90 Days,Issues Created Last 90 Days,Issues Closed Last 90 Days
125,ethereumhn,12,2019-03-08 17:05:59+00:00,10.0,4.0,14,308.0,168.0,16.0,12.0,5.0,2,9.0,,,,
126,ethers-io,29,2016-05-03 06:14:57+00:00,7258.0,1806.0,1851,1224.0,598.0,27.0,2680.0,1999.0,67,57.0,28.0,,51.0,31.0
127,etherscore,0,,,,0,,,,,,0,,,,,
128,ethscriptions-protocol,4,2023-07-13 16:26:46+00:00,7.0,3.0,9,68.0,3.0,1.0,10.0,6.0,3,8.0,1.0,,,1.0
129,ethstaker,10,2020-09-15 15:17:43+00:00,384.0,160.0,219,3617.0,2054.0,1982.0,264.0,263.0,33,220.0,170.0,167.0,21.0,21.0
130,ethstaker-tax-serenita-org,1,2021-02-27 19:36:01+00:00,19.0,6.0,4,45.0,18.0,17.0,2.0,1.0,3,7.0,7.0,7.0,1.0,1.0
131,everyname-xyz,3,2023-01-06 19:00:24+00:00,8.0,2.0,3,118.0,30.0,25.0,5.0,3.0,0,,,,,
132,evm-diff,1,2023-08-14 14:36:44+00:00,,,1,2.0,,,,,0,,,,,
133,evmcrispr,2,2021-06-21 14:32:25+00:00,21.0,7.0,16,821.0,52.0,38.0,28.0,20.0,1,2.0,,,,
134,ezkl-zkonduit,12,2022-07-05 20:24:47+00:00,740.0,97.0,58,1290.0,720.0,649.0,104.0,99.0,19,224.0,125.0,122.0,9.0,13.0
135,f3-buidlers,3,2023-02-19 09:58:27+00:00,1.0,,4,33.0,2.0,2.0,,,0,,,,,
136,fabdaotw,1,,,,0,,,,,,0,,,,,
137,factland,4,2022-03-09 01:36:57+00:00,5.0,1.0,2,74.0,,,,,0,,,,,
138,fairdatasociety,87,2018-06-20 13:06:42+00:00,25.0,16.0,175,7125.0,1817.0,1223.0,1848.0,1196.0,15,97.0,66.0,45.0,33.0,27.0
139,fatcat-money,3,2023-04-15 11:33:27+00:00,,,3,34.0,,,,,0,,,,,
140,fiat-connect,6,2022-02-14 19:29:04+00:00,25.0,20.0,31,1014.0,1036.0,964.0,23.0,11.0,5,102.0,106.0,102.0,,
141,fileverse,12,2021-12-04 07:19:07+00:00,28.0,6.0,20,1101.0,307.0,288.0,12.0,5.0,6,75.0,36.0,36.0,2.0,
142,filosofiacodigo,34,2021-05-02 22:30:00+00:00,14.0,10.0,8,302.0,8.0,4.0,13.0,,1,1.0,,,,
143,fractal-visions,1,,,,0,,,,,,0,,,,,
144,fractalflows,3,2021-12-20 19:29:25+00:00,1.0,1.0,4,58.0,44.0,42.0,9.0,2.0,0,,,,,
145,fundaomental,9,2022-01-12 09:57:36+00:00,8.0,3.0,8,1076.0,37.0,36.0,6.0,,3,227.0,12.0,13.0,6.0,
146,fundpg,4,2023-02-27 02:09:30+00:00,5.0,1.0,2,65.0,,,,,0,,,,,
147,fusion-icons,1,2020-01-24 10:40:40+00:00,38.0,6.0,4,75.0,5.0,2.0,,,0,,,,,
148,fusionx-finance,4,2023-04-01 15:36:22+00:00,5.0,3.0,4,38.0,3.0,,1.0,,1,4.0,,,,
149,gaia-os,2,2023-01-18 15:27:46+00:00,11.0,2.0,6,74.0,8.0,6.0,1.0,,0,,,,,
150,gainforest,4,2022-07-05 07:27:06+00:00,,,2,6.0,,,,,1,1.0,,,,
151,gameland0,3,2021-09-02 08:45:29+00:00,,,4,198.0,,,,,1,14.0,,,,
152,gamepayy,5,2023-04-06 14:51:18+00:00,,1.0,71,568.0,13.0,11.0,,,0,,,,,
153,gamic-artist3-nft,2,2019-06-09 10:16:48+00:00,2.0,,38,2599.0,,,1.0,1.0,0,,,,,
154,gaoanetwork,0,,,,0,,,,,,0,,,,,
155,gaslockr,6,2023-04-06 05:56:31+00:00,1.0,1.0,4,210.0,,,,,1,68.0,,,,
156,geo-web,35,2020-07-10 09:49:04+00:00,23.0,15.0,35,2875.0,858.0,757.0,352.0,303.0,3,54.0,4.0,4.0,14.0,6.0
157,gitcoincn,0,,,,0,,,,,,0,,,,,
158,givepraise,11,2021-09-27 11:44:33+00:00,31.0,17.0,36,5036.0,627.0,594.0,726.0,616.0,2,18.0,4.0,4.0,,
159,giveth,110,2014-08-07 17:27:43+00:00,652.0,305.0,370,32971.0,6133.0,5234.0,8697.0,7588.0,28,430.0,230.0,220.0,203.0,305.0
160,glo-foundation,2,2023-05-04 08:54:15+00:00,3.0,1.0,12,1067.0,214.0,203.0,182.0,183.0,1,43.0,,,,
161,gooddollar,48,2018-08-06 13:27:47+00:00,93.0,52.0,212,16336.0,2913.0,2423.0,3439.0,3537.0,19,405.0,65.0,63.0,141.0,99.0
