chain_id,round_id,round_name,project_name,project_github,payout_address,status
42161,31,OpenCivics Consortium Round 02,Urbánika's bus: Circular Economy + Urban Governance,Urbanika,0x0442A9aBbc93058a873c371F21CC366338254A88,APPROVED
42161,31,OpenCivics Consortium Round 02,Bloom Network,BloomNetwork,0x5219ffb88175588510e9752A1ecaA3cd217ca783,APPROVED
42161,31,OpenCivics Consortium Round 02,Exploring Post-Capitalist Crypto Pathways,,0x9c66B74744A886779FE4436831e2aB47c0b73f5f,APPROVED
42161,31,OpenCivics Consortium Round 02,CitizenLab,citizenlab-tech,0x135232a8a430C022A83f032DfDeB535711E60795,APPROVED
42161,31,OpenCivics Consortium Round 02,The River Dôn Project,,0x4AFCFA229160ADFdDfF23e1aB34fDF2B7BB06BED,APPROVED
42161,31,OpenCivics Consortium Round 02,Metagov,metagov,0xc38B9fBB57b0c33f85Cb0A03669a9D6127538369,APPROVED
42161,31,OpenCivics Consortium Round 02,Moos: A Berlin hub for reimagining our cities,moos-garden,0xf8a4AbA83028F25D93888AC4c20ed6bbfc034fF9,APPROVED
42161,31,OpenCivics Consortium Round 02,Collaborative Evolutionary Protocol for the Design Science Studio,,0xb1e110783a01d650110565b28dddbf19063a0003,APPROVED
42161,31,OpenCivics Consortium Round 02,Self-Governance Commons,,0x5E80E8E79F7c06b1d40a47588fea3eA81BC8a22b,APPROVED
42161,31,OpenCivics Consortium Round 02,Protopian Civic Futures - Tales from regen·era,,0x910AB9DF8FBF03F47c47564309729571F9F7C780,APPROVED
42161,31,OpenCivics Consortium Round 02,Mycelial Civic Knowledge Networks,Myseelia,0x16d46098e455A04Cf7F3e43c3b2706614fDbEC85,APPROVED
42161,25,dApps & Apps ,Tape (formerly Lenstube),tapexyz,0x01d79BcEaEaaDfb8fD2F2f53005289CFcF483464,APPROVED
42161,25,dApps & Apps ,Hey.xyz (formerly Lenster),heyxyz,0x03Ba34f6Ea1496fa316873CF8350A3f7eaD317EF,APPROVED
42161,25,dApps & Apps ,Toaster Finance,toaster-finance,0x30CAEb399186E087668e85F4424ea39Baf4981aD,APPROVED
42161,25,dApps & Apps ,ENS Wayback Machine,BlossomLabs,0x6ea869B6870dd98552B0C7e47dA90702a436358b,APPROVED
42161,25,dApps & Apps ,Bloom Network,BloomNetwork,0x5219ffb88175588510e9752A1ecaA3cd217ca783,APPROVED
42161,25,dApps & Apps ,Event Horizon,HVAX,0xE67192302E444a8D28F60F6737a8bc7c672b8aC6,APPROVED
42161,25,dApps & Apps ,Rankify,rankify-it,0x8F29e5660d967c9e7308BE3697b9C7D5Ebd853aE,APPROVED
42161,25,dApps & Apps ,Bankless Academy,bankless-academy,0xe1887fF140BfA9D3b45D0B2077b7471124acD242,APPROVED
42161,25,dApps & Apps ,LexDAO,lexDAO,0x966a4b9d5D2E01799170a0865C2D1cBBc1904163,APPROVED
42161,25,dApps & Apps ,Tonspay,Tonspay,0x6B9939E7E970a4158Aa0a11e9B243B4A6b1106f2,APPROVED
42161,25,dApps & Apps ,Tokenguard - dApp Conversion Analytics,tokenguardio,0x4CB4593567075889cba9f71B23AD6c3D54698117,APPROVED
42161,25,dApps & Apps ,NERD DAO: Decentralized Science and Web3 Innovation,NERDDAO,0x7AEE7e0e5240E835090E23D2Beb556cB54fa6D0D,APPROVED
42161,25,dApps & Apps ,Dapp Agroforestry Toolkit,AgroforestDAO,0x317aF17f8B8e6D5C29318261c0CEb059C3Ef70CE,APPROVED
42161,25,dApps & Apps ,Streaming Quadratic Funding,streaming-funding,0xB3f2b4a0b5F2f99e6B6bfc71D5E18a59B92D5606,APPROVED
42161,25,dApps & Apps ,Metagov,metagov,0xc38B9fBB57b0c33f85Cb0A03669a9D6127538369,APPROVED
42161,25,dApps & Apps ,GovScore,gov-score,0x66D9640783719C13d6A106924000bC6153661a97,APPROVED
42161,25,dApps & Apps ,Citizen Wallet,citizenwallet,0x20451461D5b609C5a3256d78F64c4Afee860Dc32,APPROVED
42161,25,dApps & Apps ,JobStash,jobstash,0xf071e75C56eD5B162B5cb5e9D30d752BcD663f2D,APPROVED
42161,25,dApps & Apps ,GifmeBeer,Gifmebeer,0x974a548B29012AF6762fc31cD64027BA39cC7196,APPROVED
42161,25,dApps & Apps ,The Network Society Forum,The-Network-Society-Forum,0x846E2FE068d33CE621375580Ce144F4F3377294C,APPROVED
42161,25,dApps & Apps ,Her Nation ,lemonadesocial,0x622667af000Be4125d833AB36d86c8a4C1f726e9,APPROVED
42161,25,dApps & Apps ,Carmine Finance,CarmineOptions,0xa4ad2Ee4f67C3C83a0081060b6AeA2c88dFc36f3,APPROVED
42161,25,dApps & Apps ,Hypercerts Foundation,hypercerts-org,0x627D54B88b519A2915B6A5A76fA9530FD085cE26,APPROVED
42161,25,dApps & Apps ,Venn Protocol,australopitech,0x1FF256A1b3d20a93925ebf43DaBFC29d4353447a,APPROVED
42161,25,dApps & Apps ,AikiSend,aikilabs,0x2e2316088c015F4BF27D86A1458A707af536A324,APPROVED
42161,25,dApps & Apps ,RWA x Public Goods | BASIN,basin-global,0xEAF9830bB7a38A3CEbcaCa3Ff9F626C424F3fB55,APPROVED
42161,25,dApps & Apps ,Kiwi News,attestate,0x1337E2624ffEC537087c6774e9A18031CFEAf0a9,APPROVED
42161,25,dApps & Apps ,OpenCann Network,Open-Cann,0x4fB544dEdD9583B156A60e8AfE9afb45DCc3be56,APPROVED
42161,25,dApps & Apps ,BCard,bankless-card,0xd281c47d59dC3d7275e16Dbef94a995077596F7b,APPROVED
42161,25,dApps & Apps ,Quack,lenspost-labs,0x77fAD8D0FcfD481dAf98D0D156970A281e66761b,APPROVED
42161,25,dApps & Apps ,Spark | Deresy & Hyperminter,ImpactScribe,0x02165CFB4260D0afA1f4809702C5979D9e0cD420,APPROVED
42161,25,dApps & Apps ,Chora Club,ChoraClub,0xA2D590FEe197C0b614Fe7c3E10303327F38C0dc3,APPROVED
42161,25,dApps & Apps ,wagmi fund,wagmifund,0x191A02b27C288B52c7906F3D751D9a158e24040A,APPROVED
42161,25,dApps & Apps ,Using ZK for game optimization in Dark Forest,dfarchon,0xf0dBDe527c63B63178576578777f0b7E24755ABb,APPROVED
42161,25,dApps & Apps ,GrantsScope - Grantee Discovery Using LLMs,grantsscope,0x2dd2036C9Db2ADA2739509AF0047c00C8b9291EF,APPROVED
42161,25,dApps & Apps ,The Ecofrontiers Regen Atlas 🌱,Regen-Atlas,0x56769249e1461434836646417138F0AC7bBc2DD6,APPROVED
42161,25,dApps & Apps ,Amet Finance,Amet-Finance,0xE0d3523Bf2351dE8a24D56C7255FbC3b20a3D7dc,APPROVED
42161,25,dApps & Apps ,ShapeShift DAO,shapeshift,0x38276553F8fbf2A027D901F8be45f00373d8Dd48,APPROVED
42161,25,dApps & Apps ,UNIT,toknowwhy,0xA3E3e7277d4eba425EB4e51bc2a2DD50F853EC9c,APPROVED
42161,25,dApps & Apps ,Dig DAO,dig-dao,0x6681722aD4CFC003A536Ac541DafFAE381aa8e03,APPROVED
