,project_name,project_github,oso_github_slug,grant_address,oso_address_slug,round_id,round_name,chain_id,program_address,round_date,amount_usd,match_usd,total_usd,oso_slug
1469,Chaineye,defieye,defieye,0xd250018939931691ef30fae31b3cbfdffaa14091,defieye,0x30c381033aa2830ceb0aa372c2e4d28f004b3db9,Global Chinese Community for Public Goods - GR18,10,0x3ad90c107d207a0866d20ef1696b6ee0c8bb0afe,2023-08-29 19:59:00,235.81387651,375.265937799359,611.079814309359,defieye
1470,Chaineye,defieye,defieye,0xe6d7b9fb31b93e542f57c7b6bfa0a5a48efc9d0f,defieye,0x8de918f0163b2021839a8d84954dd7e8e151326d,Web3 Open Source Software,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,3104.56480952,3039.392844155928,6143.957653675928,defieye
1511,"Blockscout Block Explorer - Decentralized, Open-Source, Transparent Block Explorer for All Chains",blockscout,blockscout,0xc97f252c07111c058129a9d68622f7d5c418c737,blockscout,0x222ea76664ed77d18d4416d2b2e77937b76f0a35,Ethereum Infrastructure,424,0x413d934a627fbd26fcb7ae52c2c4f40022470289,2023-08-17 08:00:00,3709.52073026,7869.023594354653,11578.544324614653,blockscout
1512,"Blockscout Block Explorer - Decentralized, Open-Source, Transparent Block Explorer for All Chains",blockscout,blockscout,0x242ba6d68ffeb4a098b591b32d370f973ff882b7,blockscout,0xa1d52f9b5339792651861329a046dd912761e9a9,"Ethereum Core Infrastructure, Research, and Development",137,0xd04d5b0257a9f2068a4f4ebd88748b2bb47da4ca,2023-11-29 18:59:00,1348.48916696,6587.018490330001,7935.507657290002,blockscout
1513,"Blockscout Block Explorer - Decentralized, Open-Source, Transparent Block Explorer for All Chains",blockscout,blockscout,0x242ba6d68ffeb4a098b591b32d370f973ff882b7,blockscout,0xdf22a2c8f6ba9376ff17ee13e6154b784ee92094,Ethereum Infrastructure,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-21 19:59:00,4162.85298066,3283.664448659957,7446.517429319957,blockscout
1526,4EVERLAND,4everland,4everland,0xa0f92821c3ac20fa71a701efc5ca5d3c82e29fee,4everland,0x274554eb289004e15a7679123901b7f070dda0fa,ZK Tech Round,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-21 19:59:00,2174.59660114,14997.54415804654,17172.14075918654,4everland
1527,4EVERLAND,4everland,4everland,0xa0f92821c3ac20fa71a701efc5ca5d3c82e29fee,4everland,0x8de918f0163b2021839a8d84954dd7e8e151326d,Web3 Open Source Software,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,1782.91793885,1574.947118966877,3357.865057816877,4everland
1528,4EVERLAND,4everland,4everland,0xa0f92821c3ac20fa71a701efc5ca5d3c82e29fee,4everland,0x9c3b81967eafba0a451e324417dd4f3f353b997b,Web3 Social,1,0xd0610d3a5aecf8043e32272036927d2a1cde464c,2023-04-21 19:59:00,588.01924409,1998.749961139269,2586.769205229269,4everland
1529,4EVERLAND,4everland,4everland,0xa0f92821c3ac20fa71a701efc5ca5d3c82e29fee,4everland,0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,Web3 Open Source Software ,424,0x8294ea30a691b47bb73e4b64225e52a080dc9ec7,2023-11-29 18:59:00,1270.86421125,1574.809042542896,2845.6732537928956,4everland
1545,Just-DNA-Seq,dna-seq,dna-seq,0xbc7beb2d44eb0cddf6c0f2560a21475c2e2ac19c,dna-seq,0x6e8dc2e623204d61b0e59e668702654ae336c9f7,DeSci (Decentralized Science),1,0x3d778a4c4280b96b3004ef611036ce6865efcf56,2023-04-24 19:59:00,4606.94857769,2028.646354410597,6635.594932100597,dna-seq
1566,Supabloom,edendao,edendao,0x58b36156a268ec1e28ac781554c556e5152f7450,edendao,0x421510312c40486965767be5ea603aa8a5707983,Climate Solutions,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-21 19:59:00,106.27265074,1361.076226885864,1467.348877625864,edendao
1595,Digital Gaia: A Science-Based Co-Pilot to Defeat Moloch and Regenerate the Planet,gaia-os,gaia-os,0x4bd87f86824a1577e705489780376da5ad309180,gaia-os,0x421510312c40486965767be5ea603aa8a5707983,Climate Solutions,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-21 19:59:00,143.70016032,4058.759248456209,4202.459408776209,gaia-os
1619,Urbanika,urbanika,urbanika,0x0442a9abbc93058a873c371f21cc366338254a88,urbanika,0x421510312c40486965767be5ea603aa8a5707983,Climate Solutions,1,0xa1b6245d7ba4b126adf7ee1e05e96bfda974990c,2023-04-21 19:59:00,306.95792072,18228.33501328937,18535.29293400937,urbanika
1620,Urbanika,urbanika,urbanika,0x0442a9abbc93058a873c371f21cc366338254a88,urbanika,0x8aa06b3b8cac2970857f4e0fd78f21dc01aade94,Metacrisis,1,0xc3214a5e103025359dd866bcdd3f665be5a6afca,2023-04-21 19:59:00,217.94734031,300.2985861001941,518.2459264101941,urbanika
1660,IDENA: Proof-of-Person protocol,idena-network,idena-network,0x8917418abe36e6e788068e96ef5a47d7484c06b1,idena-network,0x8de918f0163b2021839a8d84954dd7e8e151326d,Web3 Open Source Software,10,0xa1e8c5a8ca033ac3cb738506c6f1ad15bf54a730,2023-08-17 08:00:00,5457.64167771,12630.82189778287,18088.463575492868,idena-network
1779,Bankless Academy,banklessdao,banklessdao,0xe1887ff140bfa9d3b45d0b2077b7471124acd242,banklessdao,0x984e29dcb4286c2d9cbaa2c238afdd8a191eefbc,Gitcoin Citizens  Round #1: Retroactive funding ,10,0x5b66441ec198280a6cdcc50f47c9e5ac241d5215,2023-06-04 19:59:00,7817.28144208,2000.881806150305,9818.163248230305,banklessdao
1792,BanklessDAO's Gitcoin Citizens,,,0x745ce2af76e9a6eba65cc0cacaa9ea109bb7fabd,banklessdao,0x984e29dcb4286c2d9cbaa2c238afdd8a191eefbc,Gitcoin Citizens  Round #1: Retroactive funding ,10,0x5b66441ec198280a6cdcc50f47c9e5ac241d5215,2023-06-04 19:59:00,8317.73645271,2000.881806150305,10318.618258860304,banklessdao
1793,Lefteris Karapetsas,,,0x9531c059098e3d194ff87febb587ab07b30b1306,rotki,0x984e29dcb4286c2d9cbaa2c238afdd8a191eefbc,Gitcoin Citizens  Round #1: Retroactive funding ,10,0x5b66441ec198280a6cdcc50f47c9e5ac241d5215,2023-06-04 19:59:00,1366.71698784,220.729054711302,1587.446042551302,rotki
1834,Geo Web,geo-web-project,geo-web,0xe9222b92790cb72ec31a96df3eedf3fe8da5eb10,geo-web,0x3e92c56dac4a262efcafce7a78381622092754fd,Geo Web + Spatial Computing Public Goods,10,0x9ae234cff7778d58901a011d37f36b37adbafa38,2023-07-31 19:59:00,160.87054392000002,2043.813706585562,2204.684250505562,geo-web
