date,forecasted_Transaction Count,forecasted_Active Users,forecasted_Unique Users,forecasted_Gas Fees,forecasted_Total Transferred,forecasted_Net Transferred,forecasted_TVL-compound_finance,forecasted_TVL_opchain-compound_finance,forecasted_TVL-compound_v1_protocol,forecasted_TVL_opchain-compound_v1_protocol,forecasted_TVL-compound_v2_protocol,forecasted_TVL_opchain-compound_v2_protocol
2024-10-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.14460382909669756,1370632842.6022906,2042093801.6994019,2361958.011168568,3286703.4221302774,426372865.0611376,600574411.6058427
2024-10-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.1784381140225807,1399618258.2478158,2076198215.0761797,2486019.9593498497,3811447.3570634928,415825946.5762307,671588590.5853448
2024-10-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.18811467512104338,1313983704.8815684,2080502997.0526514,2669430.4295538445,3727848.696286935,402712349.7353609,721791248.0769036
2024-10-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0.22335632088643007,1448582168.5319424,1819074371.1400576,2290317.570887735,3498571.030341761,439869993.57124096,692242970.7679193
2024-10-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.14822991981680572,1304521149.549377,1833867274.9803252,2447072.144960859,3645657.791612735,428051615.46789426,597819980.4758743
2024-10-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.31344648863490815,1431773172.5728078,2041120147.2203648,2487691.498511607,3540092.267990888,436756270.03342575,699143192.2301487
2024-10-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.14945211881535922,1309007958.3642468,2010412327.0215423,2178712.64680365,3586009.2824867815,438140600.7019439,666272150.6455369
2024-10-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.29774855535339256,1364383673.383487,2023319778.682128,2216825.0471714814,3940426.027478628,422555798.0094513,674404340.6504836
2024-10-22 00:00:00,0.0,0.0,0.0,0.0,0.0,0.46909086089116797,1369961262.0014486,2141824892.4414747,2081201.5125119088,3568636.733727516,398987190.3771407,646775376.8317411
2024-10-23 00:00:00,0.0,0.0,0.0,0.0,0.0,0.15306728610611683,1257348400.6854825,2040614517.3146281,2022085.438017293,3312643.184050323,410983938.7964161,665696861.7229651
2024-10-24 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2856581301707342,1264437056.6285722,1822603909.9052835,2179273.1811040193,3308701.0253619803,402348629.5104223,618768563.4485164
2024-10-25 00:00:00,0.0,0.0,0.0,0.0,0.0,0.18971698652536437,1169186668.778048,1774624385.8911297,2057291.7455661802,3309535.5629238384,407459700.21887046,661887379.2095258
2024-10-26 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2097084233004788,1294770379.5405514,1952598130.6777961,2088809.1328439824,3184014.362581689,402978591.9242593,601080492.9868952
2024-10-27 00:00:00,0.0,0.0,0.0,0.0,0.0,0.17373455207695185,1178971907.7175639,1796234465.8243659,2174530.9554076637,3048675.221425998,404426382.8232684,586976732.1681823
2024-10-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.24903823683688903,1255945924.618097,1827699190.9869893,1926959.0197033936,3142484.8224225454,410239844.4431376,629434556.0378304
2024-10-29 00:00:00,0.0,0.0,0.0,0.0,0.0,0.3139421757219961,1096757694.735222,1899885890.0697567,1855591.2875302366,3263811.029820816,413766280.08869755,596360751.9507886
2024-10-30 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2650872310086694,1084880904.5770776,1957683759.366692,1977179.2007878497,3399062.406824688,396391267.4004078,553821450.1738589
2024-10-31 00:00:00,0.0,0.0,0.0,0.0,0.0,0.17273951921646116,1104260053.720825,1817453970.8212976,1838226.171002642,3464812.837212108,394455224.2995143,584366989.2686815
2024-11-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.16415639183859754,1181729571.3794203,2135031197.90411,1954287.4208820818,2844098.0256121326,405909297.7943167,606676441.0321779
2024-11-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.18952334481678826,1019428365.8514233,1814691726.7698588,1980367.138639158,3042277.910052167,356532219.91749835,528085900.5949433
2024-11-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.29345755073917984,1053966029.1853476,1750591244.0343163,1903493.2641260636,3095022.6177489506,399490603.5907428,481364119.3470759
2024-11-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2569931051433941,1026842192.876105,1718471690.2182963,1933031.8033040422,2807602.213984553,375572026.5877976,534161128.4881459
2024-11-05 00:00:00,0.0,0.0,0.0,0.0,0.0,0.27147026220379067,992284609.2548733,1634361685.4173863,1836195.6240089356,2731969.7471825383,391276705.3894948,538226731.3097024
2024-11-06 00:00:00,0.0,0.0,0.0,0.0,0.0,0.14245965337200903,945811428.4377922,1768321851.4777272,1840139.1376019868,2840915.0917325495,409605336.9854878,564418464.8576146
2024-11-07 00:00:00,0.0,0.0,0.0,0.0,0.0,0.19206037864652908,925420405.6238842,1870064045.037112,2057179.870849392,3108290.9522038363,376828425.62151575,619463217.2018455
2024-11-08 00:00:00,0.0,0.0,0.0,0.0,0.0,0.15105599660918792,1017939283.2748682,1816409194.6532724,1878278.816138431,3457909.647443619,382873172.6675411,638060742.1714897
2024-11-09 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2623421536487297,957223648.9690025,2058605885.4597561,1798039.3263537856,3459710.3610143545,404541708.9950993,569578593.4274005
2024-11-10 00:00:00,0.0,0.0,0.0,0.0,0.0,0.2802306061482605,908381426.2536402,1920323989.5716681,1969730.5644631374,3780107.708424504,358820146.5083877,712598577.0946347
2024-11-11 00:00:00,0.0,0.0,0.0,0.0,0.0,0.24982514186562046,1035830040.7645181,2052648460.8441114,2066678.743103802,3623044.3412293894,392240666.6744571,724424598.3774706
2024-11-12 00:00:00,0.0,0.0,0.0,0.0,0.0,0.19094323904477195,909780113.1171578,2062242957.9050915,2095562.011520198,4448472.176478689,348731789.3051876,829454058.3568882
2024-11-13 00:00:00,0.0,0.0,0.0,0.0,0.0,0.17514582628569522,1072887320.0233861,2192151032.6731157,2059920.7427432986,3904627.0669744615,363790760.1083611,786928161.6297743
2024-11-14 00:00:00,0.0,0.0,0.0,0.0,0.0,0.13351139058749298,1018019052.3691074,2071114842.6882966,1890779.8335733043,3843428.670000638,380618124.1829827,772381466.7129844
2024-11-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.30597469259228605,1023066198.3172317,1996655879.6846776,1902371.782235001,4024800.7024527793,337896957.20800906,737483600.9556178
2024-11-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.27177696791706285,1087583732.3387682,2126942846.829535,1919175.1938885474,3808357.364278141,358639043.8621001,721447465.9081376
2024-11-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0.4340502682589349,1011926390.3118621,1966018648.1275744,1927609.6236608147,3701850.6759195803,358670655.6406379,769407696.2192767
2024-11-18 00:00:00,0.0,0.0,0.0,0.0,0.0,0.23504046584108743,1084685756.487562,1951915276.9271393,1994114.1902557518,3779587.7993491143,322748521.9359379,735120865.1646712
2024-11-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.21357203916692066,980264805.4475405,2155632969.4383636,2015548.358747526,4153579.9823697987,350179903.5359127,790130104.8861785
2024-11-20 00:00:00,0.0,0.0,0.0,0.0,0.0,0.21354487311401835,988669375.6654856,2217099893.63333,1932232.9221215944,3921918.4945069025,347688130.88470834,634291037.0216373
2024-11-21 00:00:00,0.0,0.0,0.0,0.0,0.0,0.12016186435351779,990733987.4896092,2053563403.7847629,1968433.713220529,4111085.5317695653,297920180.18433845,708642172.1690204
